Profile Name,Date,Data,Star
ChrisD,"23 hours ago | Sep 6, 2024 4:18 PM",Purchased for my elderly mother who lives in a building with lousy radio reception.  Now she can listen to her radio stations effortlessly with great audio.,Rated 5 out of 5 stars
Bobj,"1 day ago | Sep 6, 2024 11:50 AM",Great price and product works great with Alexa. Was agreat deal too,Rated 5 out of 5 stars
EdnaM,"1 day ago | Sep 6, 2024 9:01 AM","Easy to install, clear sound, my daughters love it.",Rated 5 out of 5 stars
Bill,"3 days ago | Sep 4, 2024 8:20 AM",Good sound and the perfect option for my home office.,Rated 5 out of 5 stars
Costa,"3 days ago | Sep 4, 2024 12:21 AM",Super easy to set up. Has great sound would recommend getting a wall stand.,Rated 5 out of 5 stars
JessicaF,"5 days ago | Sep 2, 2024 3:08 PM",Great echo use it every day it’s amazing. Thanks.!,Rated 5 out of 5 stars
MsLucy,"5 days ago | Sep 2, 2024 6:13 AM",I truly enjoy my echo and it helps me get up on time,Rated 5 out of 5 stars
JessieG,"1 week ago | Aug 31, 2024 3:29 AM",Got for granddaughter so she could listen to her music she. Loves it,Rated 5 out of 5 stars
Slickmacnic,"1 week ago | Aug 30, 2024 10:41 PM",Great product that enhances the entrainment of my home…great expansion,Rated 5 out of 5 stars
Sajtoi,"1 week ago | Aug 30, 2024 1:11 PM",Bought it for my daughter. I love the teal color its very nice.,Rated 5 out of 5 stars
dvaldez,"1 week ago | Aug 30, 2024 11:41 AM",Not bad at all! This little device pops. Comes in a variety of nice colors  and very easy to use with Alexa. A must buy.,Rated 4 out of 5 stars
MatthewW,"1 week ago | Aug 30, 2024 10:56 AM",Works great blah blah blah blah blah blah blah blah 50 minimum characters,Rated 5 out of 5 stars
Mary,"1 week ago | Aug 30, 2024 10:52 AM","This was a great deal...I already have the Echo show, so this was an addition for my guest room sounds awesome...I have purchased several for family members prior and decided I need to check this out for myself & I'm glad I did!!",Rated 5 out of 5 stars
JillA,"1 week ago | Aug 30, 2024 10:41 AM",Love the size and color. the sound is outstanding for such a small unit. Put this one in the den to stream music in the morning while I read.,Rated 5 out of 5 stars
