Profile Name,Date,Data,Star
Howie and/or Cyndy,"Reviewed in the United States on August 22, 2023","I recently purchased the this dehumidifier, and I must say, it has exceeded my expectations in every way. This incredible appliance has been a game-changer for maintaining a comfortable environment in my home, particularly on the upstairs level. It does kick out some heat and I learned quickly to run it only on the low fan speed.

One of the standout features of this dehumidifier is its exceptional ability to reduce humidity levels effectively. Prior to using this device, my upstairs level was plagued with excessive moisture, even though the space was air-conditioned. No matter what I tried, I could never get the humidity level below 60. However, since incorporating this dehumidifier into my home, I have witnessed a remarkable transformation. For the first time ever, the humidity level on my upstairs level has dropped to an impressive 40. It is truly amazing!

One of the reasons I opted for this particular dehumidifier was its convenience and ease of use. While it does come with a pump, I personally have not utilized it. Instead, I have been emptying the tank twice a day. The tank is user-friendly and straightforward to remove and empty. It's a minor inconvenience in exchange for the fantastic results I have experienced.

In terms of performance, this dehumidifier has been flawless. It operates quietly, allowing me to enjoy a peaceful and undisturbed living environment. Additionally, the energy efficiency of this device is worth mentioning. It runs smoothly without consuming excessive energy, which is not only beneficial for the environment but also helps keep my electricity bills in check.

Considering the outstanding performance and the significant improvement in humidity levels, I can't help but regret not purchasing this dehumidifier sooner. It has undoubtedly made a positive impact on the overall comfort and quality of life in my home. The difference in air quality is noticeable, and I no longer have to worry about the negative effects of excess moisture, such as mold and musty odors.

In conclusion, I highly recommend this dehumidifier to anyone struggling with high humidity levels in their home. It is an incredibly effective and reliable appliance that has tackled the excess moisture in my home like a champ. With its outstanding performance, ease of use, and energy efficiency, this dehumidifier has become an invaluable addition to my household. Don't make the same mistake I did by waiting—invest in this dehumidifier and experience the comfort and peace of mind it brings.",5.0 out of 5 stars
Randall W. Rasner,"Reviewed in the United States on March 14, 2023","Honest review of Frigidaire FFAD5033W1 Dehumidifier, High Humidity 50 Pint Capacity with a Easy-to-Clean Washable Filter and Custom Humidity Control for maximized comfort, in White

I ordered this to replace one of another brand that failed to consistently drain via the hose into a sump well. This one had great reviews and a dependable name brand. I am using it in a damp basement that I do not frequent, so the continuous drainage option was a must for me.

Likes:
Very easy to set up and get to dehumidifying; it was basically plug and play, if you will.
Easy to learn controls; very self-intuitive.
Easy-to-Clean washable filter
Automatic shut off when the bucket is full if you use the bucket drain option. Plus, it shuts off when reaching the targeted humidity level
Front loading bucket with carrying handle and splash guard. I have not used the bucket, but it is easily removed and replaced. Plus, it has a red float to show the tank’s water level and can easily be seen on the front of the unit
The casters roll easily and in any direction
It has a pull-up carrying handle, which functions well and is not difficult to raise or lower
The cord is sufficiently long
Humidity control (but only in increments of 5%)
3-speed fan
I did not think that it was overly loud (my video has my phone very close to the unit)
Continuous drainage option (hose NOT included) that uses a standard garden hose or washing machine hose to easily screw onto the port in back of the unit
The continuous drainage has worked very well. I have the unit sitting on concrete blocks to ensure it is elevated above the required level to properly drain
It has a 50-pint air flow capacity, which is higher than many at this price range
Frigidaire is a brand I know and trust
1 year manufacturer’s warranty (I brought the additional 4 year warranty because I don’t have good luck with electronics and just over $10 per year is not too bad)

Dislikes:
There was not a drainage hose included (I bought a cheap and short garden hose to use)

Meh:
If it allowed 1% incremental humidity settings, that would be great, but it’s not a deal breaker to me
It is heavy (44 LBS) so it’s good that it’s on casters, but moving it up and down stairs is a chore

Hopefully this honest review helps someone decide about this product.",5.0 out of 5 stars
Dane,"Reviewed in the United States on November 23, 2023","This dehumidifer seemed so promising, it looked so promising, it sounded so promising. It seemed like the perfect dehumidifer from what I thought was a good brand. I've had a full kitchen of appliances at 2 different locations from Frigidaire and so I thought what better company to purchase a dehumidifer from than them right? Wrong.
The stats were great. It looks better than most. It's energy efficient. It just all seemed so promising. I ordered it and when it was delivered I unpackaged it and in the basement it went. The basement never drops below 64F even in the winter.
It was quiet. It hummed along. It pushed a good amount of air even on low. The bucket had a window so you could easily see the level of water. The bucket was super easy to pull out and put back in, trust me on this. Becuase the replacement one I purchased from another brand works 100x better, but it doesn't look as good, doesn't feel as good, and the bucket is a bit more clumsy.
But then everything started to fail.
I noticed a stain in the bucket, but I didn't think much of it. I thought it was just something with the water. However, after doing some research it's the refrigerant leak that caused the stain...
After about 6-8 months of use set to 45% humidity and it was never running straight out, it would cycle on and off pretty healthily., it sprung a leak. The unit started icing up. I tried everything, but unfortunately they are not user servicable. It was still under the 1 year factory warranty so I called Frigidaire. And boy, this has been a horror show.
When I called them and explained to them the situation and gave them all of the information they needed, they deemed it needing a replacement and thank goodness I was still under warranty.
They email this site that isn't even related to them to to fill an online form to get a replacment. I did all that. Weeks pass by and I finally get an email that says my replacement has been approved I'll get another email in 3-5 business days when the warranty replacement ships.
Fast forward a month, and still nothing! So I call them back and spend 2 hours on the phone being transferred multiple times. Being told to call this company and that company. Having to call them back. Being pushed around again. No one knows anything! No status update, no replacement unit on the way yet. I try again a few days later using online messaging and nothing. Spent another few hours on that as they ""researched my concern"" to no avail.. It's been 2 months, I still don't have my warranty replacement. I filed a Better Business Bureau complaint against Frigidaire (Electrolux) and we shall see what happens. Totally disgusted...",1.0 out of 5 stars
DECEMBER,"Reviewed in the United States on April 25, 2023","I live near Portland, OR, and the humidity is always around 75-85% in my apartment. I also have an indoor vegetable garden, which adds to the already high humidity of the area. I was getting mildew on the windows and window sills.
I have 3 guitars and 3 basses, 4 amps, and lots of other electronics, recording gear, and a computer. My guitars kept developing fret buzz. I'd level the frets and adjust them, get rid of the buzz, then it would come back in a few months. It took me too long to learn that constant exposure to humidity levels like this were destroying the instruments. Gave up on these ruined cheapish guitars and bought one nice expensive guitar.
But I got this dehumidifier first. Not gonna let this one get ruined by humidity. It works well, keeps the humidity down to 45%, in the living room of a 1,050 sq ft 2 bedroom apartment. The bucket fills up within 36 hours, usually (about 2 gallons). I use it to water the garden.
It turns off when it hits the target humidity, and back on as needed. I had a different dehumidifier first which kept the fan running constantly, even when the dehumidifier was disengaged. And it kept freezing up, grill covered in ice, so I returned it. This one has been running for 3 months now, no ice, no problems, and no noticeable impact to the electric bill.
It is a tad loud, but not an irritating abrasive sound. The sound doesn't bother me at all, but when I watch TV I like to keep the volume as low as possible, so I have to turn the dehumidifier off. To hear the TV with the dehumidifier on, I have to put it louder than I like, but not any louder than most people I know have their TVs set normally.",5.0 out of 5 stars
Sunny Schubert,"Reviewed in the United States on April 1, 2024","We bought the 50-pint dehumidifier. It's worked really well pretty much filling up daily for the last 3-years. It is getting a bit noisier so we've moved it out of the bedroom and into the bathroom. My only complaint is that the air that comes out of it is about 78-80 degrees F. It was starting to warm the bedroom in an uncomfortable way. However, the bathroom being a little warmer is very nice on cool spring mornings. I would say it'll work great for us for another 2 years. I think in a basement or attic it would work great for a long time. We have a small apartment and you can hear this thing in any room. It's a dull roaring white noise sound. Similar to a bathroom fan. I usually shut it off at night because it did keepe up on occasion. I do think it started getting louder after 2 years. These are a necessity in central Texas in the summer.

If you're looking for something for the bedroom I'd suggest a smaller quieter unit you keep closer to your person to reduce humidity in a room.

I'm removing 1 star because of the noise and the what produced. Otherwise it's a great product that still works as intended 3-years later.",4.0 out of 5 stars
Julez,"Reviewed in the United States on May 17, 2024","This is a 50 pint Frigidedaire (Electrolux) dehumidifier. It does what it's supposed to do. It's new so I can't say much about its longevity, but overall, nearly any brand dehumidifier I've had in the last 15-20 years has been about the same and seems to die after a number of years. One feature that isn't promoted much on the website is that it does have a built-in air ionizer. So you have a little added bonus there.

The second part of this review has to do with something that I'm generally not thrilled with in most appliances and that's the available wifi and associated application for the device. Usually, these apps are trash and the wifi barely works. I thought, well maybe at a minimum it can at least part time tell me if the bucket is full, the cost wasn't much more, so might as well.

I'm so glad I went with the wifi option. Frigidaire created a clean and well built app. I'm actually impressed. I've added screenshots of the app.
It will direct you to the site you need to register the appliance with for warranty/recall purposes.
Shows you current humidity and humidity over time via graph.
You can toggle it on/off.
You can set a child lock so no one can play with the buttons.
There's a task scheduler for it and other appliances that are registered with it.
Nearly all control can be done from the app.
Push notifications.
And has all the associated personal assistant options.
I'm impressed with this, and I generally don't impress easily when it comes to IoT or appliance apps and their implementations.

However, this is still an IoT device and absolutely should NOT go on your internal network. It belongs on a guest or isolated network like every other IoT device you own. Nest, Ecobee, Kidde, Echo, Ring, Eufy, Phillips, any appliance manufacturer, etc... should always be isolated away from your computers, laptops, phones, printers, network storage, etc... devices.",5.0 out of 5 stars
Hunter Holmes,"Reviewed in the United States on July 25, 2023","Energy efficiency , similar to wattage, can be misleading. This Frigidaire tested at full and continuous mode, used a little more energy than most of it's competitors. However it was found when used at a more typical setting, maybe 45%, rather than continuous. This machine now used less energy then it's competitors. As far as removing water, it's the best, I researched a lot. I have a Black and decker, same price range, it's lousy compared to this. These machines change almost every year, appearance, or cheapness or improvements. Ex: about 6 years ago, I had the same model Frigidaire and it was best back then, except one thing the water tank was just too small, Well guess what, now this Frigidaire has the biggest water tank of all of them. Also the hot air is less hot then they used to be, it's quieter than it used to be, by a considerable amount, more of a wind sound than a compressor motor sound. I think they actually found a better method, to quiet the compressor ( I'm not positive?) Anyway, it's a great unit. I would even go as far as to call it the industry standard. It removes a lot more water and at a quicker rate. It was the best 6 years ago,( at removing water) and it's a lot better now, all around. Except one drawback, the side slits that can be used for handles are not there, so it's a little harder to pick up, but the wheels are made well. You need not waste time looking further this is the best unit in it's price range, and like I said in the beginning, the energy used on all these products is only measured from one perspective, and perhaps it's not the best perspective. At typical settings this machine is more efficient than its competitors, except when it's measured at full throttle CONTINUOUS mode. And even then, it didn't score a lot less. I did get a lot of this information from, ( I can't remember,) but I also own this unit and have compared for myself.) I believe the competitors will be trying to copy, what Frigidaire has done here. At this price, I would call this product the industry standard! Look no further! Hunter Holmes -- Addendum -- I missed this at first. This unit has a handle that is sort of hidden. A recessed black plastic carrying handle that pulls out from the top of the unit with a 2 inch clearance and it's about 8 inches long. In this price range THIS HAS GOT TO BE THE INDUSTRY STANDARD! HUNTER HOLMES - ADDENDUM #2 - It's been about 3 months, and I still can't believe how quiet this machine is compared to, what was the same unit by FRIGIDAIRE 6 years ago, this current 2023 unit, I mostly hear fan and very little compressor refridgerator noise, the attenuated sound puzzles me in a great way. LOOK NO FURTHER!",5.0 out of 5 stars
RSH,"Reviewed in the United States on June 27, 2023","For as long as I've owned a home I've bought Frigidaire dehumidifiers.

The units are NOT built to last. The codes are always the same. Fatal. F0 (Freeze Out) or EC (Evaporator Coil / Sealed System).

It appears to be a two-year ritual to search my mail for emails to electrolux.com and to re-familiarize myself and start a warranty claim... which I am once again in the process of doing. This time however I am writing this review.

When you receive a new unit it works exactly as expected. Hail the power of condensing water from air! Positive reviewers rejoice! It works its magic and all summer long you reap the rewards of a drier, less humid environment.

Then comes winter. The unit is stored, either powered on but sitting idle or fully powered off, eager for the next summer/fall blast of humidity and a call to action.

... except - next summer it no longer works. It's starting to get humid here in the Northeast and that is when I need this unit to work. It doesn't. It powers on. It runs the blower. You can even perhaps hear the compressor churn. Condensation. Nope. Pull the bucket. Bone dry. Eventually the unit cries foul and throws the F0 / EC code.

FAD704DWD (2014) - F0
FAD704DWD (2016) via RMA spring 2016 - F0 -- lasted that summer
FFAD7033R1 (2017) - EC
FFAD7033R1 (2019) via RMA summer 2019 (5 year sealed system warrant on 2017 purchase) - EC
FFAD5033W1 (2022) via RMA summer 2022 (a month short of 5 year sealed system warranty on 2017 purchase) - EC
FFAD5033W1 (2022) - separate purchase May 2022 - still running for now, now outside the 1 YR standard warranty

A part of me wonders if these units are simply designed with planned obsolescence in mind. Why build a unit that lasts one to two seasons? in the Northeast you generally would purchase one of these when humidity rises (late spring/summer) and you get a few months use then pack it up for winter with the expectation when you need it next it works.

So aside from the possibility of seeing if Frigidaire / Electrolux will replace the FFAD7033W1 (2022) that was newly manufactured December 2021 and only lasted the 2022 summer season... I do not believe my dollars are best spent on this brand any longer.

To Frigidaire's credit, the 5 year sealed system warranty is good and the RMA replacement process is usually painless. Fill a form. Get approved. Unit shows up at your doorstep. The problem is, the replacement process shouldn't be so painless in a way. It's like they've gotten really good at shipping replacements. REALLY good.

... I'd rather have the unit last 5 years and get a sense I got my money's worth than the hassle of a humid basement for a couple of weeks during the replacement process.

EDIT: So today I contacted Frigidaire by phone. It was not a good experience. I explained to them I had a FFAD5033W1 manufactured December 2021, bought May 2022 and put into service last summer for only a few months. It has been off all winter; no need. It of course is now June 2023. The first time I needed it was this month. It is returning EC code after repeated power cycles. Warranty Claim DENIED. They no longer have a 5 year sealed system warranty. The unit now has a single 1 year warranty from the date of purchase. I wonder why that is ... </sarcasm>

The unit is 18 months old from its date of manufacture... bought and ran for at most 3 months last year and is now dead.

EDIT: September 2023. The FFAD5033W1 purchased May 2022 is now returning EC code constantly. The unit is in pristine condition in a clean area and ran daily during the summer. In a room with ~60% RH and 70 degree room temperatures it has reached its end. This unit lasted essentially two summers and that's it.

I see Amazon touts ""sold 1K units last month"". I'm sure they did and Frigidaire loves you for it. While their reputation precedes here, folks are soon going to find out their money is well spent elsewhere.

NEVER will I buy anything Frigidaire again.",1.0 out of 5 stars
patti,"Reviewed in the United States on September 3, 2024",I had no idea I had so much moisture in my house. I live in a small three bedroom ranch started off using it in my room. I get a full bucket of water every day. It’s easy to move around not too heavy and it’s on wheels. This is really helped me breathe better at night when I’m sleeping. I noticed that it’s gone up quite a bit since I bought it a couple months ago so I’m glad I got it when I did.,5.0 out of 5 stars
M J Mueller,"Reviewed in the United States on July 6, 2024","I bought this for my basement, which is important for this review. It is pretty loud. It gives off a fair amount of heat, but most humidifiers do. I would recommend for a basemen, but not a bedroom. It is rated for 4K. I was a annoyed that I had to buy a discharge tube when I specifically asked about that.",4.0 out of 5 stars
trish,"Reviewed in the United States on May 7, 2024","I'm having the opposite problem than many other reviews... this unit won't stop running!
I purchased this unit in July 2023. Ran great and lowered humidity as promised. Put it away for the winter in a closet. Brought it back out a few weeks ago and again seemed to be working well. Matched my Hygrometer reading within a couple degrees. However, I have noticed over the last several days that it just keeps running. The compressor turns on , it runs for awhile, then turns off, but then turns right back on again. So this evening I'm trying to sleep and it keeps doing this (I have it set at 45%). I have two Hygrometers in my room that both say the humidity is at 40%. The unit keeps running... so I set it to 50%, and it still just keeps running even though the humidity level is still down at 41%. I finally changed the setting to 60% and it finally has stayed shut down. And guess what?, both Hygrometers still say it's only at 41% in the room 30 minutes later. And thankfully the temperature has dropped 2 degrees to 73°. Guess I'll be calling to see if I can get a replacement. Fingers crossed! 🤞😬
Also wanted to mention the fact that for 3 mornings I kept waking up completely dehydrated. Mouth so dry that I could barely swallow. Wish I had clued in sooner that the problem was the dehumidifier, not that I wasn't drinking enough water. (Derp!)

*Also want to say it's pretty loud

But also should mention that my son has this exact same one since last year as well, and has not had any issues with it. Go figure. 🤷🏻‍♀️",3.0 out of 5 stars
Seez52,"Reviewed in the United States on May 1, 2024","This is my 4th Frigidaire unit. This one lasted almost two years. I run it 24/7 all year long. It does a good job. This particular model is really quiet and it seems to work as it should. I use a direct drain and I like the setup Frigidaire uses for this. Occasionally the hose will become obstructed and the bucket fills. I purchased the model with wifi hoping it would tell me when the bucket is full but apparently that is not a push option on the app. Really that's the only useful thing the app could do.

I've had several brands of these: Maytag, LG etc. they all last about the same amount of time. Usually they fail just outside the warranty period typically 18-24 months. I do have another Frigidaire just like this one that's going on three years, wow! I learned about three units ago that you always purchase the extended warranty that Amazon offers during checkout. I get the 4 year one it's usually $50.

This one is a replacement for the same model purchased in June of 2022. I submitted a claim through Amazon on my phone and within 5 minutes had a credit on my account for what I originally paid. Ordered this one, it was a little more expensive, and it was here in two days. It was an easy and quick way to get up and running again. Never buy one of these portable dehumidifiers, regardless of the brand, without a 3 or 4 year extended warranty. They are all made in China and simply are not intended to be long term use appliances. Once you understand that, and get the extra warranty, your satisfaction with the product is a lot better, LOL.",3.0 out of 5 stars
Judy L.,"Reviewed in the United States on March 17, 2022","We have a large basement with 3 rooms that I grow a number of vegetables and herbs in. Prior to getting this dehumidifier, the humidity in our basement was continuously in excess of 70% caused by evaporation of water in the pots. Unfortunately, we were told this caused humidity in our attic that wasn't noticed until we found mold growing. This was a very expensive lesson for us as we had to have the roof and all of the wood below it replaced at a cost of over $15K.

I am not going to get into any technical stuff like the efficiency of the condenser, but will say this dehumidifier has helped to solve our humidity problem. In searching for a dehumidifier to meet our needs, I had to learn the capacity of humidity remove was different than the size of the tank to be emptied. The 50 pint ( or 6.25 gallons) capacity of this dehumidifier is the amount of moisture that will be removed from the air in a 24 hour period. I would guess the water tank holds about 2 gallons of water as we need to empty it 3 times in a 24 hour period.

Since the humidity in our basement is high because of the plants, we have this unit set to continuous, but you can also set it to run until a desired humidity is reached. When the water container is full, it automatically stops until the container is emptied. You can also set the fan to high or low. When the filter gets dirty, a light shows on the top of the unit. Cleaning the filter is a matter of spraying it clean with a faucet spray and drying it with a towel.

This unit is in a room 30' x 15', and the humidity has been reduced from over 70% to 40%. We have had this dehumidifier for over a month, and are very happy with it. It consistently keeps the humidity down and is very easy to maintain.

UPDATE 5/27/22:
Since our basement is very large with 3 rooms, two of which contain plants, we decided to buy another one of these dehumidifiers so we could one in each of the plant rooms. The humidity in both rooms is staying around 40% and out attic is now staying dry. This has also helped to reduce the humidity in the house which make it much more comfortable during the summer.

UPDATE 09/24/23:
We bought 2 of the dehumidifiers, and they worked well for about 15 months. After the 15 months, both units started leaking which was, of course after the warranty had expired. We finally replaced both of them. Considering the cost, these dehumidifiers should last longer then 15 months, in my opinion. We replaced them with a different brand, and also bought the extended insurance just to be safe.

I hope this review was helpful for you.",3.0 out of 5 stars
