Profile Name,Date,Data,Star
dragonlord,"Reviewed in the United States on July 14, 2024","The dehumidifier has been a fantastic addition to my basement. It efficiently covers up to 3000 square feet, maintaining a comfortable humidity level with ease. It states it can go more, but that was the most I could test The auto humidity control is a standout feature, allowing the device to adjust its operation based on the room's needs, which has been great for energy efficiency.

The included drain hose and 2.0-gallon bucket offer flexible options for continuous drainage or manual emptying. I especially appreciate the WiFi connectivity, which allows me to monitor and control the dehumidifier remotely. This has made managing the humidity levels in my basement much more convenient.
While the dehumidifier is a bit large, this is expected for a unit capable of handling such a vast area. It runs relatively quietly and doesn't disrupt the household, which is a significant plus. A downside is making sure you get it leveled for the drain plug as I did have some problems getting just right so it would properly drain.
I believe this is a powerful and user-friendly product for decently large spaces. Its efficient performance, coupled with smart features, makes it a highly recommended choice for anyone needing reliable humidity control.",5.0 out of 5 stars
Matthew,"Reviewed in the United States on August 27, 2024","I have quite a few govee products, including various lighting, cooking, and heating/air related ones. So when it came time to replace my dehumidifier, I was excited to give the govee one a try.
Unfortunately when I received the dehumidifier, I could tell something wasn't right. It wasn't collecting any moisture and the condenser would make a loud thunking grind type noise when it turned on and off. So I reached out to Govee, and after a bit of support trying to identify and resolve the issue, Govee customer support agreed that a new product was necessary. They sent a new dehumidifier and it worked perfectly after I set it up, no chunky grinding sound with the condensy and literal buckets of water collected as it dehumidifies. It's a great product, the smart features are useful and I have it hooked up with a drainage hose to a separate condensate pump-- works like a dream
This is only the second time I needed Govee customer support with the over 20 products I own now, and both times I found the support to be helpful, patient, and thorough.
I give this 5 stars even though the first one ended up being broken, because the customer support is top notch and the replacement has been working great!",5.0 out of 5 stars
D. Smith,"Reviewed in the United States on July 18, 2023","This arrived in perfect condition and quickly. I unboxed it and left it in an upright position for 24 hours BEFORE plugging it in to prevent compressor damage and extend the service life of the unit, as you should do with any product that has a compressor, to allow the oil to resettle back into the compressor from the lines due to movement during transit.
It connected quickly to my Android smartphone via their app, available for free from the Play Store and integrated seamlessly with my Alexa ecosystem, which is robust to say the least. Easily turned on, off, raised and lowered the fan speed via voice, which is primarily what drove me to purchase this product. As a bonus, I had a small Govee remote sensor for temperature and humidity that paired with the unit to provide remote sensing capabilities, which was very handy when trying to keep a large space properly dehumidified.
The app is easy to use and customer service is handled through the app, which is VERY nice and super convenient. I thought I had an issue with the compressor not turning on and off but via messaging through the chat in the app, they were able to see the log of the machine's components and determine it was my misunderstanding of how the Auto function worked.
The unit itself works well to remove excess humidity from our home. With the unit on high and the relative humidity being 60%, it fills the tank in around 10 hours, making our home feel more comfortable at 74F and 52% RH than at 72F and 60% RH. It does emit heat though, as is the case with any dehumidifier, so mitigating that is simply a case of having the fan on our central AC unit come on for 15 minutes every hour to help move the dehumidified air and warmer air out of the room. We keep the unit in the living room, our largest room in our 1700 sqft. living space and it definitely helps keep the entire space more comfortable, again using the central air fan only function to move air around the entire space.
The water tank is one of the largest I could find at 2 gallons. I didn't want to hang a hose out of the window to automatically drain the unit, but I did try out the auto drain function and it does work really well to pump the water out without the use of the integrated water tank, a nice feature for sure, especially if you have a floor drain or put the unit in close proximity of the window. The unit is easy to maintain - a washable filter screen on the back of the unit makes keeping the coils clean and the unit in top working condition a breeze.
We are very happy with this purchase. We've had it up and running for about a month now and have already noticed shorter run times on the central AC due to not needing to crank the temperature down to get the 'stickiness' out of the air. We live in the 'deep south' on the coast and high humidity is just a way of life. This helps the house feel much more comfortable and that's important to us.",5.0 out of 5 stars
Placeholder,"Reviewed in the United States on July 13, 2024","Short version: Great appliance, highly efficient, easy integration with the Govee app, extensive amount of control through app, high capacity 2 gal tank that’s easy to empty or connect to garden hose or use provided adapter to use drain tube provided (or go to Lowes/Home Depot to get longer tube and avoid ugly garden hose in the house), not overly loud - can’t tell it’s on when the A/C is running, makes it far more comfortable and takes strain off the A/C during extreme temps & high humidity.
Long Version:
Originally fell in love with Govee LED lights and grew to trust the brand more over the years through various warranty replacements and honestly outstanding customer service through any issue/concern.
I’ll admit, I was semi skeptical when they began venturing into various home appliances.
The app is great and works flawlessly with every Govee product I own (Many lights, Hygrometer/Thermometers, Space Heater and now Dehumidifer).
The dehumidifier is extremely efficient, I can track my energy usage through my smart meter and it typically pulls about 800-850 watts on high and roughly 780 watts with fan on low. For comparison - my central air pulls 2,400 watts.
I love the ability to pair any of my Hygrometers to control the humidity in any one particular area and set it to maintain whatever set point you select within the app. Also, when paired with a Hygrometer and connected to WiFi, you have more visibility/control into your environment remotely in the app, as it allows you to check the humidity/temp from anywhere instead of only within Bluetooth range.
On high, it removes a LOT of moisture relatively quickly. I live in a 1,200 sqft apartment and leave it by my master bath which pumps out the most humidity from my scalding showers lol. Within about 30-45mins, the humidity drops from 82% to 50% and provides peace of mind knowing it’s preventing mold in poorly ventilated areas.
It’s a great assistance to the A/C during extremely hot & humid days as well, and prevented my coils from freezing up during a recent severe heatwave. Also, to be able to open the windows on cooler, but humid nights/days and run the dehumidifier instead of the A/C, using a fraction of the energy is very nice and provides a bit of versatility as an alternative to “overcooling” to dehimidify.
My one complaint and only reason for 4 stars instead of 5 is the way the “maintain” feature works when you want to maintain a particular threshold instead of running it 24/7.
As the humidity gets closer to the desired set point, the unit decreases the fan speed to low once it’s about 3% away from its target. From a logical prospective, the fan is the cheapest component of the unit to operate as the condenser is not variable and therefore either on 100% or off.
Once the fan speed decreases, it takes notably longer to reach the target set point vs allowing it to run on high continuously until the target is reached, which ultimately decreases the overall efficiency.
If Govee updated the firmware to “maintain” the threshold by running the fan on high continuously until the target is reached, I would immediately update this to 5 stars.
Aside from that, I have zero complaints and plan to purchase another unit for my parents if the price is right on Prime Day.",4.0 out of 5 stars
jsgraydon,"Reviewed in the United States on August 2, 2024","This summer has been brutally hot and humid, but this dehumidifier has been great. It is highly efficient, even in a poorly insulated cottage on the shoreline. It is easy to empty, sends notifications when it needs emptying, and has a few other smart features that improve quality of life. My two complaints: it is a little loud and the air it emits is warmer than other dehumidifiers I have used. Still, I would recommend it.",5.0 out of 5 stars
SW2,"Reviewed in the United States on July 15, 2024","Was looking for a dehumidifier with a good size bucket when I came across this. I have quite a few govee devices that I am pleased with. This was priced right and fit my criteria. It works very well. It has 3 different fan speeds but I usually just leave it on low. Fan noise is a bit loud at medium and high. Bucket fills in about 10hrs. Comes with a short hose if you wanna run it to a drain. App works very well. You can turn off/on, set timers, adjust fan, see humidity level, etc. There is even a graph that shows your humidity level history, as well as temperature. I have been running this pretty much nonstop for the last few months. Haven't had a single issue.",5.0 out of 5 stars
Brian Whitehead,"Reviewed in the United States on July 19, 2024","★★★★★
Are you tired of your basement feeling like a damp dungeon straight out of a medieval horror movie? Do you find yourself wondering if creatures of the deep are lurking in the shadows? Fear not, for the GoveeLife Smart Dehumidifier has arrived to save the day (and your sanity)!
First of all, let’s talk size. This dehumidifier is a beast – but in a good way! Covering up to 4,500 square feet, it’s like having a tiny superhero stationed in your basement, constantly battling humidity villains. It’s so efficient that I half expect it to don a cape and start calling itself “Captain Dry.”
The auto humidity control is a game-changer. No more guessing games or fiddling with settings – this dehumidifier is smarter than my high school science teacher. It knows exactly what your basement needs and adjusts itself accordingly. I swear, it’s like it’s reading my mind (or at least my moisture levels).
The drain hose and 2.0-gallon bucket are a match made in heaven. Whether you’re a hose person or a bucket enthusiast, this dehumidifier has got you covered. Personally, I’ve never been so excited to watch water drain away. It’s like a weirdly satisfying magic trick every time.
And the WiFi feature? Absolute genius. I can now control my dehumidifier from my phone while lounging on the couch, sipping a margarita, and pretending I’m not a grown adult obsessed with humidity levels. It’s the pinnacle of modern convenience.
Energy Star Most Efficient? More like “Energy Star Most Awesome.” This thing works tirelessly, day and night, without making a dent in my electric bill. I’m convinced it runs on good vibes and determination.
In conclusion, the GoveeLife Smart Dehumidifier is not just a device – it’s a basement’s best friend. It’s reliable, efficient, and surprisingly entertaining. If your basement needs a hero, look no further. Five stars and a standing ovation from me and my now-dry basement!",5.0 out of 5 stars
MJ85,"Reviewed in the United States on August 21, 2024","I really do love this dehumidifier. We recently moved to a new place on the first floor and were having humidity problems. After buying a dud online I hunkered down and did a ton of energy star research on the top dehumidifiers of 2024.. Landed ob Gasbye (?) and Duracomfort. 1 was wifi enabled, the other was not. Once i got hooked on wifi/app enabled features I found Govee. Not on a 2024 best buy list but 2023. Im good with that!. The specs in the amazon add matched perfect;y with tested spec on the Energy Star site unlike most Chinese brands . (theyd say 22 or 50 pints a day and turns out its 1-3.. 99% of these are false marketing, you cant trust amazon , they wont verify or take them down. I even poated negative reviews with all the inaccurate specs directly from Energy Stars website showing consumers how badly they were being lied to but Amazon removed them. they want to get paid, they dont care how..... and thats how you become a 200billionaire... i digress) Govee was legit. I tested this thing out and it cranks!. it removes 50+ pints a day as advertised. Its hard to keep up with it. The app and features are great. I love having charts to monitor the humidity over time. youre gonna get everything you want in a dehumidifier here for a better price than the competition. the ONLY con is the noise. On med or high this thing is loud. it drowns everything. even on low is pretty loud. Dont expect to put this in a bedroom while you sleep. Even on low it sounds like the loudest fan so im removing 1 star for that. I also dont know how long this device lasts. Ill update over time. But again, it works phenomenal, just have to be ready for some noise",4.0 out of 5 stars
Danielle Sachok,"Reviewed in the United States on September 1, 2024",This was my second dehumidifier I purchased. The first one didn't work in my space at all. This is a heavy duty dehumidifier. I feel it doesn't make much noise and sounds like as if you have a fan blowing. This dehumidifier works! It quickly lowered my humidity in my basement from as high as 84% down to 30%. You can easily move it around as it has wheels. My finished basement is split into 3 separate rooms so I haven't used the hose and drain feature. The bucket fills up daily. It is easy to remove but the handle feels extremely weak when the bucket is filled and I have to carry it from the bottom. This is not ideal as it fills up to the top and the cover does not completely cover the bucket so I have spilled water on the way to the laundry room sink. The app and smart phones features are great because I can check the temperature and humidity from anywhere in the house.,5.0 out of 5 stars
Anna Franklin,"Reviewed in the United States on August 25, 2024","Designed with thoughtful features like a tank that's sealed on top and easy to remove and empty while avoiding spillage. It's quiet and powerful as well, getting humidity down from ~70% to ~55% in a ~300 sq ft space in roughly an hour.
Connectivity with remote Govee hygrometer is easy and helps machine to have a more accurate reading of humidity by not limiting to its internal sensor and thus a small radius around the unit itself. App is easy to use, higly customizable, and tracks data in easy-to-digest reports.
I wish automatic mode (in which machine runs until a preset humidity level is reached) could be run on low or medium fan settings, so that I could leave it run in my bedroom at night when sleeping. Hoping this feature will be added in a future software update.",4.0 out of 5 stars
