Profile Name,Date,Data,Star
FST,"Reviewed in the United States on September 2, 2024",I typically don't write reviews This fan or as Dyson markets it as an air multiplier is fantastic. Other reviewers claimed cheap plastic. I don't. Cars are made of plastic now. I don't need a product at twice the weight. Thank you Dyson!,5.0 out of 5 stars
Brent Whitsitt,"Reviewed in the United States on August 7, 2024",Product monitors the air quality and lets you know when it is clean. Nighttime quiet mode is really nice!,5.0 out of 5 stars
Aj,"Reviewed in the United States on June 5, 2024","I purchased this air purifier/fan combo thinking it would be one of the best that's being sold but sadly I was mistaken. This overpriced piece of plastic feels cheaply made; the build quality did not seem like it was going to last so I ended up returning it. You would think a $500+ item would at least have some metal in it or at least feel like it would be built to last but I have plastic storage containers that would hold up better than this thing.
As far as it working, the fan was ok, nothing special. Also, it was pretty noisy, and the fan speed wasn't the best. When the oscillating feature would be turned on, you could literally hear the plastic moving and making sounds. Overall my biggest grip is with the built quality. No way is this worth the price its at or even half the price.
The other thing that is a horrible design is the fact that the remote controller is the only way to control the unit and the controller was already acting up after just having it for a few days. buttons would be hard to press, and you would need to be pretty close to the unit in order to change anything. I even thought my controller was bad so I looked up how much a new one was and they were over $60+. I thought I should return the unit before I got stuck with this thing. Overall, just a horrible, overpriced product.",1.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on August 25, 2024",Fan arrived just in time for summer heatwave. Loved the timer feature so it shut off overnight. Remote is perfect. Very quiet.,5.0 out of 5 stars
average joe,"Reviewed in the United States on August 10, 2024","Overall this definitely circulates the air in my 300sqft room but if you wanted to use it as a means to cool down on a hot day, this simply doesn’t have the pushing power you’re looking for.

General air circulation/filtering = Good
Cooling fan = Bad",4.0 out of 5 stars
Bh,"Reviewed in the United States on July 30, 2024",This air cleaner with cool fan is awesome! On low speed it’s very quiet and it does the job! Plus it’s very cool looking and seems to be a conversation starter with guests!,5.0 out of 5 stars
Laura Dombrowski,"Reviewed in the United States on August 8, 2024","I purchased the fan cause my daughter loves hers.
The bonus is it eliminates most of the desert-dust. I’ve lived in Las Vegas 40 years and surrendered to it.
The Dyson is pricey but well worth it.",5.0 out of 5 stars
Matt P,"Reviewed in the United States on July 22, 2024","This is a typical, very high-quality Dyson product. Easy to use, whisper, quiet, effectively moves the air around the room, making a difference Over just a ceiling fan. Highly recommend.",5.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on August 20, 2024","I have had this machine for about a month now and aesthetically it is like all Dyson products; sleek, streamline, clean looking. I bought it because I live on a warm third floor so I wanted some thing to help the AC along. The claims of this being a cooling product don’t feel quite accurate. However as far as a purifier goes it is incredible and comes with tons of features/info to help clean up your space. Just not really a fan in my opinion.",4.0 out of 5 stars
Rissa S,"Reviewed in the United States on May 8, 2024","It’s allergy season and I’m allergic to the giant tree in my backyard. I have a Dyson in my room that I love this one was on sale sale and it’s a little bit different It has a screen on the Dyson itself and doesn’t have the capability to view or change things from the app on your phone, unfortunately It has a little monitor on the device itself that shows the level of cleanliness and it can go up and down
The remote magnetically to the top, which is you need the remote for this if you lose it, you’re screwed It’s nice that its magnetized on top. It’s quiet and I can feel the cleanliness in the air as opposed to feeling more stuffy before I got this",4.0 out of 5 stars
