Profile Name,Date,Data,Star
Jeffrey Remmel,"Reviewed in the United States on August 24, 2024",Extremely impressed with the quality of this machine. Stylish design and works very well. I have had others and nothing compares to AirDoctor. I will be purchasing another very soon when my budget allows. Definitely worth the price.,5.0 out of 5 stars
Peter,"Reviewed in the United States on August 19, 2020","There are so many purifiers out there, and it's difficult to make a decision. This one is the best bet for the cost, can clean a fairly large space, and can capture particles even finer than most other purifiers available. Yes, there are better units available, but they're going to cost at least twice as much. This unit outperforms everything else in its price point.

It is very quiet. There are a few reviews of people complaining about the noise level. The lowest two settings are barely noticeable. The highest two settings are louder, but it's the whoosh of the volume of air that it's moving. The noise is not mechanical or that of fan blades, it's purely the air noise. You can't change physics. Don't know what these people are on about. Honestly, I'm glad that it is able to move so much air that you can hear it; but you don't need to run it on high or turbo for long amounts of time, anyway.
Filter costs are very reasonable - you will spend about $140 a year. A lot of people are sticker shocked by filter costs, but these are an amazing value when put against the competition.
When I ran this for the first time, I left it on turbo for about an hour. All odors in the house were completely gone. The smell, if there is one, from the purified air would be best described as fresh, perhaps faintly sweet.
It's well made, and when coupled with high-end filtration in your central air system, it will keep your house clean and fresh.",5.0 out of 5 stars
TheQ,"Reviewed in the United States on January 14, 2023","I have noticed some big improvements to my air quality here. I have mine in the middle of my home in a hallway. It's on default setting all the time runs quietly (which was why I bought it). The thing that pleasantly surprised me one morning was when it went red and in high gear... I stood there for a few seconds wondering what set it off. Then it hit me. I had done my hair. That thing was cleaning the hairspray out of the air. Then another night, I was ready to go to bed and I heard it kick into high gear. I was thinking, ""no, I didn't just do my hair....hmm."" Then I heard the dishwasher changing cycles. I forgot I had started it up. The Air Doctor sensed the dishwasher soap in the air and was cleaning that too. I also loved coming back from a trip and walking into my house and not noticing the cat smell I'm used to it when I am home all the time. This time, I didn't notice it after my trip. My smoke alarms don't go off anymore when I cook smokey things in the kitchen these days either.",5.0 out of 5 stars
Chris,"Reviewed in the United States on June 19, 2024",The AirDr is exactly the product they claimed it was. Easy to set up. Wonderfully sensitive to any changes in air contamination and made an immediate difference in the quality of my home’s environment! I can breathe without sneezing or coughing! FANTASTIC! Thanks guys!,5.0 out of 5 stars
BF,"Reviewed in the United States on December 3, 2023","We’ve gotten two of the 3500 units for our home and they work incredibly well. I feel so much better when I wake up; my throat isn’t all dry and my nose is not stuffy. One of my children is medically complex and it feels great to know this purifier will filter our air so we know what we’re breathing is clean and free of irritants. We leave ours on auto and it turns up to the yellow or red setting when we’re doing nebulizer treatments, running the dishwasher, and sometimes while cooking in the kitchen; usually if we’re using a high temp for the oven or stove top. I turned it on high manually the other day when I was sweeping and dusting and it literally sucked up everything; I could see it moving right towards the purifier from across the room because the sun was shining at that time. I’ve even turned it up if we have visitors that are wearing too much scent like perfume. It’s easy to set up and very sleek looking too. We got them late in the fall so I am curious how they’ll do at the start of next fall when the ragweed affects my entire family. I’m hopeful based on what we’ve noticed so far. My mom has bought one since we got ours too and she’s not usually into products like this but I can’t help but rave about it to everyone. Highly recommend, thank you!!
Update 4/7/24: The light just came on to replace the carbon filter for the first time. So it lasted almost exactly 6 months as expected. You do have to manually reset the change filter light which can be done by holding down the timer and ion buttons for 3 seconds. Easy. Thank you!",5.0 out of 5 stars
Fredrick Burlakoff,"Reviewed in the United States on August 5, 2024","The outside of the box says Designed In California-Made In China. Usually such deception would warrant a one star, Ive made an exception. I'll make this short. At first a bit of odor but after running for a couple of hours any odor is gone. it does have an ionizer. i love the WiFi. The carbon filter is substantial. I was suspicious when it went immediately to blue. So, I took one of my wife's face creams, opened it and placed it near the sensor, in a few seconds it turned orange, I was impressed. So, this unit stays in the living room; it's a beast and my living room is large.",4.0 out of 5 stars
Russ Ellinger,"Reviewed in the United States on August 21, 2024",It does keep our finished basement smelling clean. The filters are easy to vacuum the dust out of them. It was easy to set up .,5.0 out of 5 stars
kathleen slaughter,"Reviewed in the United States on July 26, 2024",works great and provides me with clean air,5.0 out of 5 stars
Wendellyn G. Plummer,"Reviewed in the United States on August 30, 2024","I have been happy with the product. However, the cost of the filters, yes, plural, is way expensive. I have been trying to vacuum the filters so I can keep the filters longer. I have a long-haired dog and she has a lot of dander. I clean the filters about once a month.",4.0 out of 5 stars
John C Sherman,"Reviewed in the United States on July 9, 2024",This is the third air doctor we own and we’re very satisfied with all of them. We first got one during the pandemic so we do have years of experience. We always buy the expensive factory filters with no reason to buy cheaper they work,5.0 out of 5 stars
eezeebakeoven,"Reviewed in the United States on June 26, 2024",Wanted the apartment to smell fresher especially after cooking. Haven’t noticed a big difference yet.,4.0 out of 5 stars
ryan,"Reviewed in the United States on June 23, 2024",Our bonus room always smelled like our pets. The odor is now gone! Will be buying another unit soon for another part of the house,5.0 out of 5 stars
John Sanders,"Reviewed in the United States on June 21, 2024",Very smart air cleaning. If you put on cologne it will increase fan speed until it clears the smell. Worth the expense.,5.0 out of 5 stars
Jayne,"Reviewed in the United States on May 14, 2024","I set this up to run for a few hours before going to sleep and I woke up for the first time in many years without a stuffy nose. I am amazed at how effective it is. The ionization feature is great!
I only wish there were a travel version!",5.0 out of 5 stars
Scrambled Eggs,"Reviewed in the United States on June 15, 2024",I wanted to love this machine. The power to move the air was great but as soon as I opened the front to remove plastic cover over the charcoal filter a strong chemical odor over took me. It gave me instant sinus pain. It was a very strong chemical smell coming from HEPA filter. I immediately closed it and placed right back in the box to return. The smell was chemical in nature and directly coming from the filter. It gave me such pain that I knew I couldn’t keep it. Very disappointed.,3.0 out of 5 stars
Robert S. Berner,"Reviewed in the United States on March 7, 2024","I have owned many air purification devices in the last 30 years. This one is clearly the best as far as its ability to quickly react to changing environments. If we change the cat litter pan, or cook in the kitchen (far away from the unit) the purifier senses the change and goes on high mode to more quickly purify the room.
Cheaper units closer to the kitchen do not react as quickly if at all. I first saw this unit at my dentists office waiting room and witnessed the same results there.
Pricey, but with the cost better results.",5.0 out of 5 stars
AM Lovejoy,"Reviewed in the United States on September 5, 2019","Bought this to try and clean out an apartment unit that was absolutely pungent with second/third hand cigarette smoke from the neighbor. What pulled me in was the promise of the large treatable area (over 1000 sq ft) and the ultra HEPA filter that filters particles smaller than usual - small enough to filter smoke particles. With that and the ionizing feature and the coconut carbon filter, I thought I'd be set.
Upon setting up the purifier in the unit's living room, I, like a few others, noticed a plastic-y smell the first time I turned it (and a second unit I also tested) on...but it went away within a day. I was going to leave it on ""Auto"" mode but the air quality light went from red to blue in less than two minutes (turning the fan on the lowest setting)...even though the place was clearly contaminated with who-knows-what from the smoke seeping in...so I manually left it on high. The entire apartment unit is only ~850 sq ft, so I expected it to be able to filter everything...and it definitely helped...but I just didn't get the quality I was expecting. The unit still smelled pretty bad upon entering, and I couldn't stand to be in it for more than about 40 minutes before feeling ill (which is a big improvement over not being able to stand it for 10 minutes previously).
So I thought, okay, maybe the space is just too open and/or the contaminant (which renews itself quite frequently) is just too strong. So I gave up and put it in the bedroom, which is no more than 300 sq ft, but also along the wall shared with the smoking neighbor. Left there for two days on the second highest setting and with the ionizer on...it completely transformed that room and its closet into a livable space. I was astounded. My clothes, which previously reeked of cigarette smoke, actually went back to smelling good...no trace of smoke at all. It was amazing. There is now, at least, one room in the apartment where I can breathe without complications.
Unfortunately, I don't have the funds to dish out for 2-3 more of these to fill the apartment unit with, so I'll likely be keeping one of these and returning the other (and moving out!). Though, speaking of funds, you can find these off Amazon for almost half the price advertised on the AirDoctor website if you just search around a bit.",4.0 out of 5 stars
Robert,"Reviewed in the United States on February 21, 2024",Would be nice to be able to dim the lights on it.,4.0 out of 5 stars
Christina S,"Reviewed in the United States on December 20, 2023","Love this air filter as it works great. However, I would’ve purchased a different one had I known the filters were so expensive! Do your research to find the correct filters as some search results show the incorrect ones.",4.0 out of 5 stars
Susan C.,"Reviewed in the United States on September 3, 2023","My husband has severe asthma, so a friend of ours recommended the AIRDoctor 3000. We both LOVE IT!! We keep it on Auto and boy does work! Typically it runs on a low and extremely quite volume, but when our two lab mix dogs come in after wrestling in the grass, the machine kicks in full throttle, which tells me to get the pups back outside for a good brushing. I take the filter out once every two weeks and vacuum it. It’s unreal how much dust, dog hair, dander it picks up. I’m sure there’s more than just what I see!
My husband appears to be doing better with it running 24/7 also! I pups highly recommend this product!!",5.0 out of 5 stars
Howard,"Reviewed in the United States on April 4, 2024","The air purifier looks nice and I believe it does a good job of cleaning the air. The light on the front indicates the cleanliness of the air. It has a dim button to turn the lights off, but it doesn’t quiet the fan. For sleeping, it remains loud even on the lowest setting. If you value quiet sleep, you won’t want this machine in the room with you. Be sure to check prices. The manufacturer is selling this same unit for $190 less than Amazon.",3.0 out of 5 stars
Jason L. Bushnell,"Reviewed in the United States on February 4, 2023","I bought this for a few reasons. We have 3 dogs, one is half husky and I'm positive my wife and I are mildly allergic to dander. My wife is also very sensitive to cooking smells when it involves something like frying anything. Bacon would be a good example. I set this up.last night and the air quality indicator was on blue most of the time. My daughter came down with us for awhile and at one point it turned yellow briefly. Of course I said it was her fault lol. This morning i got up and decided to fry some sausage and eggs. Well I got sidetracked while the sausage was going. This thing kicked in and turned red, fan went to high. After about 30 minutes we are back to blue and low fan speed. I guess time will tell. If I remember, I'll come back and update I'm a month.",4.0 out of 5 stars
Jim & Janet,"Reviewed in the United States on May 28, 2023","The AIRDOCTOER air purifier solved my problem. I bought this more expensive air purifier as it filters 0.0003 microns of stuff in the air. I had overdose my house on bug powder and thought I would never get rid of it. I had wiped the floor, counters, and everything else in my house many times with no luck. One week of running this air purifier on the second speed and the powder was gone. As one reviewer said - it did not work by using Auto as it would go off in two minutes. I just put in a room, set it on the second speed and ran it for several hours. The room was free of the powder. I move it to another room each day now just to enjoy a dust free house. Noise at speed two was no problem.",5.0 out of 5 stars
Ralph W. Reid,"Reviewed in the United States on August 19, 2022","This filter was just what I needed in my home office. I placed the unit on the floor next to the side of my desk. I can hear the fan running while working in my office chair, but the noise level is very low--lower than a desktop computer running on the top of my desk. I feel a draft in the room while the unit is running, even when it is on low speed. My home office is less than 144 square feet, so this filter is more than enough for the space, so it almost always runs at low speed. As a blind person, I had to guess where the sensors were on the control panel because it is a touch panel (no mechanical buttons or switches), but I have it figured out well enough so my nose runs less and I do not sneeze so much while working at my desk. I hope to get many years of use out of this air filter.",5.0 out of 5 stars
Colette Litchfield,"Reviewed in the United States on January 19, 2024",This filter was recommended by Dr Mark Hyman. It's nice looking. It is a bit noisy and I've had to turn it to low as it blows cold air. It still works well even with it set on the lower setting.,5.0 out of 5 stars
Lynne,"Reviewed in the United States on February 18, 2024",Works very well put in my bedroom and has captured stuff in bedroom. Filter has it all on it Love it,5.0 out of 5 stars
Byron Center,"Reviewed in the United States on December 30, 2023","Easy to operate, simpler step by step instructions. The fan is not loud, sensor on the side will turn off if someone is walking by it. There are three different quality monitor lights. Blue is good quality air. I highly recommend purchasing one.",5.0 out of 5 stars
Jodi Dazzo,"Reviewed in the United States on December 17, 2023",I LOVE this air purifier!!! So worth it having peace of mind knowing this one has an auto function. It turns on when the air needs more cleaning. It’s quite on the lower setting does get a little bit louder when on high but it doesn’t bother me.,5.0 out of 5 stars
Tacarri,"Reviewed in the United States on December 11, 2023","I have only had this product for about 10 days. However, I love the sleek look and the fan volume is very quiet. So far, it appears to be a very high quality filter. I also love that you can switch it to the ionization filter when needed.",5.0 out of 5 stars
Mark Jeffrey Stefik,"Reviewed in the United States on October 5, 2023","When the wild fires smoked our neighborhood three years ago we bought 2 units. We used them for 2-3 months and they worked great.
Recently we took them out of storage. One of them would not turn on. After some correspondence with the company, they sent us a replacement unit. The three units are pictured here -- including the new replacement. We are very pleased with their customer support.",5.0 out of 5 stars
Anna,"Reviewed in the United States on December 23, 2023","The air purifier seems to do very well, I had purchased it a year and a half ago and it is going strong without any problems, and I hope it will last for few more years.",5.0 out of 5 stars
Curtis Womack,"Reviewed in the United States on November 16, 2021",After my wife got sick from taken the covid shot . She started having allergy's to everything in and out side along with food allergy's. So I started looking to buy a purifier to help. I came across the AirDoctor Purifier and did my home work. So I bought it and I have no regrets because when I order it it came in three days. I got it out of the box and read the instructions and then I plugged it in and it is great. The third day I open up the shads on the window and I didn't see anything in the sun rays like before I bought the Airdoctor and the air is clear and we both feel great. We live five miles in the county off a dirt road so we have a lot of dust in the house of 1600 ft. This is a must buy.. Five stars.,5.0 out of 5 stars
