Profile Name,Date,Data,Star
Dan Baxley,"Reviewed in the United States on May 13, 2023","05/13/2023: A really, really nice smartwatch. My wife has an Apple watch and it is nice, but I have to say that this Samsung 4 is a notch better. Her watch cost $280 after a deal with her phone service. My Samsung 4 was just under $90 from Amazon, and it is a real beauty. I am still learning some things about it, but love it, love it. Quality plus. But, another BUT -- like the Apple Watch, the battery life is terrible. You have to charge it every day -- that is, unless you shut everything off, or down. There is a feature on the watch, where you can select Battery Saver features. Still, so disappointed in battery life. I have a cheap smartwatch that gets me 5 plus days, and it does nearly all of the things needed to keep track of sleep and Heart rate. The cheap watch also has a Blood Pressure reading -- yep, BP. On the other hand, the Samsung 4 has ECG, which is pretty cool, and it keeps a running record that you record for your doctor. I will be trying the different settings on the Samsung, after all, I do not need all of the features that come with the Samsung 4. But, like many others, I do wonder why the cheap smartwatches are able to get so much use out of their batteries, as opposed to these HIGH priced, name-brand watches. As it is, if you plan on using the sleep feature, then you will need to charge every day, or night before going to bed. Getting 2 days of use is a pipe dream if you use the watch to track your movements and monitor your cell phone and massaging, which I do not really need, but it is pretty handy. Maybe you could get 2-3 days, if you shut everything but the TIME off. I will find out. Remember, by shutting all of the AUTO features off, you still have access to manually use, or turn on a feature you want to use for the moment. What a nicely built watch -- more later --

05/15/2023 Update: Battery life is terrible. You can extend the battery life by shutting everything off, but that defeats the purpose of having one of these Smartwatches, right? Last night, as I went to bed, shut everything down, leaving only the sleep mode on, with a full charge. Got up this morning and it had 86% left. I turned everything back on, played with the settings, on, off, and other features, etc. Also, had to reconnect to my phone to record my sleep activity. I have been up for 2 hours now and the battery reads, 45%. I got up, just under 2.5 hours ago, activated the watch, turned wifi back on to communicate with my Samsung Galaxy 22 phone, and have already used up half the battery capacity. My wife says it is not big deal, after all, she has to recharge her Apple watch every day. Great, so that makes me NOT feel better, not after owning some cheapy watches that never needed charging for 5-7 days, and they tracked my sleep, my BP, my steps, and, really, the cheapy apps were easier to navigate. Seriously, the Samsung is a beauty, but am I really buying jewlery?",5.0 out of 5 stars
swt,"Reviewed in the United States on April 9, 2023","This is my 3rd ""Smart Watch"". My 1st was a Garmin which was very basic and bought by my wife. I was an avid runner and that was the Garmin's main intended purpose. However, shortly after receiving it, I had to give up running due to prolonged issues with my hip. So, it became a very expensive heart rate monitor - a function at which it excelled. My 2nd watch was a Fossil watch which was an impulse buy. It was visually attractive but excelled at nothing else. It sits on my bedside table and is rarely worn - poor integration with my phone and poor battery life make it slightly better than useless. [A cautionary tale against impulse buying.] I have been hesitant to pull the trigger on a more expensive smart watch but I lost the Garmin watch and really missed having a continuous HR monitor when I exercised. I am an old dude but my fitness is very important and HR zone targets have a proven benefit. It also keeps me on track in the gym. Well, I saw the ""renewed"" version of this watch, and the price point made it an almost painless proposition to give it a try. So far I love it. I have a collection of watches and usually rotate them for work but since buying this watch all of my other watches are collecting dust. The setup was painless. I have begun using an exercise app that has a continuous HR monitor and workout timer. This is the feature that is most important to me but I love playing with the other features. I emphasize ""playing"" because none of the other features are terribly important to me - they are merely novelties. But over time I feel some of the features will become second nature. I love being able to see my messages on the watch while at work but with Android I can just as easily see my messages on my laptop while at work [can't do that with Apple!]. Overall, a solid watch. MAJOR CON: battery life. Given the small footprint of this watch, and all that it is doing in the background, I feel a bit like an entitled brat complaining about the battery life but, if I could change one thing, that would definitely be it.",5.0 out of 5 stars
Jooho K.,"Reviewed in the United States on September 2, 2024","I bought this watch to see how it would perform, and I'm completely fascinated. It has great performance, is very comfortable, and is quite lightweight. The only downside is that the battery usually doesn't last me more than a day and a half.",5.0 out of 5 stars
Laura L,"Reviewed in the United States on August 17, 2024","This watch is amazing. So nice looking and so many cool features. I love that you can add your own pictures to be a watch face. Love all the things it tells me and the coaching. Only downfall is the battery life is short but I imagine that's to be expected with all it does.
Highly recommend this watch. The accuracy of it is perfect.",4.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on April 18, 2024","The watch itself, is stunning! It's by far the best looking in all of it's features i.e., color of watch band, texture of the band and over all style of the round clock face and accents. LOVE the cost! I paid $149.99. LOVE that I can answer incoming calls and the reception is clear as a bell! Texting on it as well, is phenomenal. So many watch face choices and customizing features, I can't keep count. The colors on the screen and all it offers are more than I will ever use. I have only one HUGE complaint! After everything I was shocked to love and discover, the BATTERY LIFE IS TERRIBLE! I was so shocked. One charge lasts 24 hours. Even when I follow all of the suggestions about how to conserve the battery life. Of all the watches I've had over the years, the is by far the worst for battery life. My last 2 watches were Garmin Fitbit Versa 2, and the battery life for that watch would last 3 days at a minimum! I am honestly perplexed that Samsung could figure out to match the battery life as in a Fitbit.",5.0 out of 5 stars
Jh,"Reviewed in the United States on August 21, 2023","The Samsung Galaxy Watch 4 has truly been a game-changer for my wonderful mother-in-law. From the moment she started using it, her excitement and joy have been evident, and it's easy to see why. This smartwatch has seamlessly integrated into her lifestyle, offering a multitude of features that cater to her needs and preferences. Here's why my mother-in-law absolutely loves her Samsung Galaxy Watch 4.
Elegance and Style:
The Galaxy Watch 4's elegant design has instantly won my mother-in-law over. Its sleek, modern aesthetic appeals to her sense of style, and she loves how it effortlessly complements both casual and formal outfits. The choice of customizable watch faces allows her to personalize the watch to match her mood and look.
Comprehensive Health Monitoring:
My mother-in-law's well-being is a top priority, and the health monitoring features of the Galaxy Watch 4 have become invaluable to her. From heart rate tracking and sleep analysis to blood oxygen monitoring and ECG readings, the watch provides a holistic view of her health, empowering her to make informed decisions about her lifestyle.
Fitness and Activity Tracking:
Staying active is essential to my mother-in-law, and the fitness tracking capabilities of the Galaxy Watch 4 have become her trusted companion. Whether she's walking, cycling, or practicing yoga, the watch accurately records her activities and offers real-time insights to keep her motivated and engaged.
Convenient Notifications and Connectivity:
The watch's ability to receive notifications from her smartphone is a feature my mother-in-law adores. She no longer misses important calls, messages, or calendar events while she's on the go. The watch's seamless connectivity has simplified her daily routines and keeps her informed at all times.
Intuitive User Experience:
Navigating the features and functions of the Galaxy Watch 4 has been a breeze for my mother-in-law. The user interface is intuitive and user-friendly, ensuring that she can access the information she needs with ease.
Versatile Lifestyle Companion:
From tracking health metrics to answering calls on the go, the Galaxy Watch 4 seamlessly integrates into my mother-in-law's daily life. It's the perfect balance of functionality and convenience, offering features that cater to her varied interests and activities.
Long Battery Life:
My mother-in-law appreciates the watch's impressive battery life. With reliable performance throughout the day, she doesn't have to worry about recharging frequently, allowing her to stay connected without interruption.
Enhancing Every Moment:
Above all, the Samsung Galaxy Watch 4 has enhanced my mother-in-law's everyday experiences. It empowers her to prioritize her health, stay connected with loved ones, and enjoy the convenience of smart technology—all while looking stylish and sophisticated.
In conclusion, the Samsung Galaxy Watch 4 has brought immense joy to my mother-in-law's life. Its blend of elegance, health features, fitness tracking, connectivity, and ease of use has seamlessly integrated into her daily routine. As a loving family, we're thrilled to see how the watch has become an essential part of her life, enhancing her well-being and keeping her connected to the things that matter most. It's a testament to the watch's ability to cater to a range of needs and preferences, making it a truly remarkable accessory for anyone seeking style, functionality, and connectivity in one elegant package.",5.0 out of 5 stars
Sammie,"Reviewed in the United States on May 10, 2022","because it is kinda like an iphone on your wrist, it takes up a lot of batteries. If I turn on power-saving mode and pick the most simple watch-face, then from 6am-8pm I will have 64% left when I don't receive text message or text back.
Images are good, almost like looking at my phone, contrast, colors, and accuracy of pixel is good.
Texting- I like how I can text talk and it'll respond in what I say. This usually drops my battery life most. Btw, the texting language has to be the language of the programmed language of the watch, so don't try to respond using voice-texting in a diff language than the one programmed on the watch. Like if I programmed it as ""English"", I can voice-text only in english and not Vietnamese or Spanish.
Sleep-monitoring- in the morning it'll tell me how many hours of sleep, light-sleep, REM, and more. It's good, through the pulse-oximeter reading of my sleep patterns, I learned I had sleep apnea. It gives a range of your Pulse-Ox when you sleep at night like 85-95% detailing perhaps that night I was more stressed and didn't work out, so lung capacity decreased. It's a good monitoring tool.
Water-resistant- I'm a nurse at a hospital, I wash my hands all the time, so far no water issues. I never had to turn on the water resistant option, and use it all the time. Though, after 12 hours, the heaviness of the watch drains me, so I like to give my wrist a break and take it off to charge.
Battery life- I have to charge daily with this, can't go a day without it. But the upsize is that it charges QUICKLY. Within 15 minutes of charging, it can go from 15% to 50%, and from 85% to 100%. It charges quickly, but drains quickly too.
Phone reception- I used it once or twice bc I don't use my phones for calls much but more for instant messaging. Clear reception, my mom heard me well, and we were able to carry a convo while I shopped at Walmart. Wouldn't recommend using this option in confined space though.
Steps- it over calculates my steps, giving me the impression that I've walked longer, but no.
EKG- It's good, idk how accurate it is, but so far it's good.
Benefits- when you are on GPS mode, it'll have it on your watch, and beeps or vibrates when a turn or stop is needed. Really cool, in case you lose your phone while driving, or don't have a phone holder in your car, this function is cool.",5.0 out of 5 stars
Jon,"Reviewed in the United States on April 29, 2024","As a tech enthusiast and fitness aficionado, I've had my fair share of smartwatches, but the Samsung Galaxy Watch 4 has truly exceeded my expectations. Let me break down why this watch deserves every star in this 5-star review:
🏃‍♂️ Fitness and Health Tracking: Your Personal Wellness Coach
- Body Composition Analysis: The Galaxy Watch 4 is a game-changer. It provides real-time data on body fat, skeletal muscle, body water, basal metabolic rate, and Body Mass Index (BMI). No more guesswork—just science-backed insights.
- Heart Health: Accurate ECG monitoring ensures I stay informed about my heart's rhythm. Plus, the Samsung Health Monitor app lets me share personalized readings with my doctor.
- Sleep Tracking: Wake up refreshed! The watch continuously monitors sleep cycles and SpO2 levels. It's like having a sleep scientist on your wrist.
🌐 Smart Software and Design: The Perfect Blend
- Slimmer Profile: The Galaxy Watch 4 looks sleek and sophisticated. It's a fashion statement without compromising functionality.
- Wear OS + One UI: Samsung nailed it. The software feels like Tizen (a good thing!) but now comes with more apps. It's pragmatic and precise.
- Classic Model: The rotating bezel is back! The Galaxy Watch 4 Classic combines elegance with cutting-edge features.
⌚ Battery Life and Durability
- 40-Hour Battery Life: It keeps up with my active lifestyle. From workouts to notifications, it's reliable.
- 5ATM Water Resistance + MIL-STD-810G: Swim, shower, or hike—the Galaxy Watch 4 can handle it all.
🎧 Audiophile Bonus
- Pair it with your favorite wireless earbuds for music on the go. The Galaxy Watch 4 seamlessly syncs with your tunes.
In summary, the Samsung Galaxy Watch 4 isn't just a smartwatch; it's a holistic wellness companion. Whether you're tracking runs, analyzing sleep, or simply staying connected, this watch delivers. Don't settle for less; upgrade your wrist game today! ⌚🔥",5.0 out of 5 stars
Anonymous,"Reviewed in the United States on December 5, 2021","Reviewing 40mm LTE Silver option, which comes with a white band in small/medium size
(Samsung's website lets you pick either the small/medium or medium/large band in whatever color you want, FYI)
The most recent update (not sure of exact date) causes the double-press shortcut to randomly be lost. I have it set to Google Wallet (formerly Google Pay) and of course this bug always happens when I'm trying to pay and I have to pull my phone out to pay anyway.
2022/04/24 UPDATE (2 STARS): The latest update broke more things in LTE mode (including ""Remote connection"" and Google Voice support) and sending/receiving texts in LTE mode still hasn't been fixed since the last update broke it. I've also discovered the heavy battery loss is when the watch is out of cell network range in LTE mode (e.g. inside a building with no cellular signal). When paired with the phone, it works great now, but I don't recommend the LTE model. They're still haven't figured it out yet and I'm doubtful it will be fixed by the time the Watch 5 comes out, if ever.
2022/02/12 UPDATE (2 STARS): Samsung sent an update to the watch which fixed group chat in Samsung Messages but sending or receiving texts in LTE mode does not work now. I don't always receive calls in LTE mode now either. Google Messages still can't send or receive texts in LTE mode either. The update did at least fix the problem of not being able to receive Google Voice calls in LTE mode. Samsung seems to not understand the purpose of having LTE because the only thing that I've found to reliably work in LTE mode is the phone app (outgoing calls only), but if you use the phone app your battery will die rapidly. I also finally got a response from a fellow user in the Samsung forums (not the various Samsung tech support agents I spoke to, who know nothing about the Watch) to fix getting notifications from the phone in LTE mode: go to Settings > Advanced > turn on ""Remote connection"" (it's at the bottom and appears to be under the ""Gestures"" heading, but it's actually just in it's own section without any heading, which is how I initially missed it).
2022/01/23 UPDATE (2 STARS): I've had the watch 2 months now and haven't had any updates in December or January to fix any of the bugs. The same problems persist and occasionally the battery life drops significantly with the same usage. Sometimes the battery life has been as short as 8 hours without using LTE. In LTE mode, I've had it lose 60% in 3 hours when I haven't even been using the watch. I'll update this review if Samsung ever decides to finish the software for this device properly.
2021/12/05 ORIGINAL REVIEW (3 STARS):
► TAKEAWAY
Samsung has a great concept here, but I can't help but feel I'm still testing a beta product that has been launched prematurely (and this review is being written more than 3 months after its release). Many problems could be resolved with alternate apps and future software updates, but even if all the software issues are fixed, you're still left with a watch that can only sometimes get you through a full day of use. In my opinion, the LTE model is not ready for market yet, and it's quite a bit more expensive when you factor in the monthly charge that at least some carriers charge for it. If you're okay always having your phone nearby, you'll probably enjoy this watch, but that kind of defeats the purpose for me.
► DESIGN
The design of the watch itself, as well as the interface, is clean and simple. The watch is thicker than I'd like (about twice as thick as a non-smartwatch), but that's a necessary sacrifice to fit a battery in. The watch is slightly bigger compared to my non-smartwatch and I'm really glad I got the 40mm version, as the 44mm one would have been too large proportionally to my wrist. I'm a 6-foot tall, 175 pound male, so even the 40mm version will probably be comically large on a smaller person.
The included band is soft and supple, far more than I expected (not stiff at all). The clasp is well-designed and looks great.
The display is not as crisp as I was expecting it would be, but it's not bad enough to really bother me either. The display surface is not very scratch resistant. After one week of use it already has a scratch. I've had my Galaxy S9 for over three years without a scratch.
An unexpected feature of the display is a toggle to turn on extra sensitivity so it works with ordinary non-conductive leather gloves. Leaving the setting on all the time doesn't hurt use without gloves either so you can set it and leave it. To turn the feature on, swipe down from top of the display, press the power icon, scroll down to the bottom, and turn ""Touch sensitivity"" on. Something I didn't consider when buying the watch is that you could have screen burn-in, depending on the watch face(s) you use. Turning ""Always On Display"" off should help with this.
► BATTERY LIFE
The battery life is nowhere near the 40 hours advertised. Many of its other limitations could conceivably be corrected with future software updates, but I just don't think the battery life is going to get better by the leaps and bounds it needs to hit the 40-hour mark. The initial setup, which included 2 software updates and a few app installs, drained the battery from 100% to 19% in 3 hours.
In normal usage I get at best 24 hours, but that's only possible when LTE isn't being used. I'm normally seeing battery life in the 14- to 18-hour range using mostly Bluetooth and LTE in auto mode, but even less if any calls are made (it loses nearly 1% per minute of talk time). Having the ""Always On Display"" turned off and using Bluetooth almost exclusively puts me in the 16- to 23-hour range, typically. In the 14 charge cycles I've tracked so far, there has been a lot of fluctuation. Bear in mind that batteries degrade over time, so this is likely the best it'll ever be.
The battery takes 90 minutes to charge from 0% to 100%.
► APPS
The next biggest problem this watch has is a shortage of useful, functional apps. The Samsung Messages app can't respond to group chats like the Android version can on my Samsung Galaxy S9, and it's not fun to get messages from 9 other people in a group chat saying ""you only sent this to me"". You can install Google Messages and it's a much better developed app, but it doesn't work in LTE mode using your main phone number (even when set to SMS mode only). I experienced a bug in setting Google Messages as the default app via the app prompts, but was able to set it in Settings > Apps. There is no Google Voice, Google Translate, nor Google Assistant (and the built-in Bixby app can't do much at this point). Useful smarthome apps like Alarm.com and myQ are also unavailable. You can't install the Ring app, but notifications with snapshots do come through to the watch so long as it is paired to a phone (notifications don't come through at all in LTE mode).
The built-in Outlook app is really buggy. You can't delete an email in a notification (even though there's a ""Delete"" button, it doesn't work). Outlook doesn't work at all in LTE mode either, unfortunately. There's no compose option, but you can reply to emails (without being able to change the subject line). The Google Keep app is handy to have my grocery list on while shopping hands-free, but there's no ability to edit notes, only create and tick off list items and read notes. Gboard is also available and is a must have for this watch because Samsung really bungled the default input (although the Gboard voice input doesn't work in LTE mode). Google Maps is awkward to use while driving, but would probably be good for walking directions. However, the app requires processing from your phone and therefore doesn't work at all in LTE-only mode, so you might as well just use your phone.
The nicest app for me – and one of the main reasons I bought the watch → is Google Pay. Contrary to information I found online, you do not need to unlock the watch before making each transaction. You just have to enter your pin one time when putting the watch on and it stays unlocked until the watch is next removed from your wrist. The only downside is that you have to open the app first before each transaction, unlike on an Android phone where you just have to hold the (unlocked) phone near the NFC point to make the transaction. I made Google Pay one of my shortcut keys to open the app, though, so I just double-press the home button and hold my wrist near the NFC point to make a transaction. I've tested the app at several terminals without issue in both paired and LTE modes without issue, but it doesn't work in any mode at one business I shop at; at that place, I have to get out my phone and pay. The inconsistency doesn't inspire confidence about leaving my phone behind.
I didn't buy this watch for the health features and don't really intend to use them much. Assuming they're accurate (a big assumption on any smartwatch), the simple apps for measuring steps, pulse, etc. seem fine. The built-in music app works and connected to my Bluetooth headphones without issue, but transferring music to the watch is painfully slow. Nevertheless, it'd be handy to have for workouts or running, if that's your thing. Pressing and holding the home/Bixby button works great for setting reminders, timers, and alarms.
► LTE
Both AT&T and Verizon charge $10/month (AT&T, at least, is about $15/month after hidden taxes and fees) to use the watch as a standalone device, despite vague language on both of their sites about connecting it to your phone's plan and sharing its data (seemingly implying it's not its own extra line). It makes the cost of this $250 watch more than $600, and that's if you only keep it for two years (and assuming they don't raise the monthly fee).
Getting it connected to AT&T was an ordeal. I chatted with a rep on the AT&T website and they said I needed to go into the store to activate it, but the two guys trying to help me in the AT&T store couldn't figure it out and said I needed to do it online. They mentioned that activating Samsung wearables has been an ongoing problem for AT&T for some time. I did eventually get it to work online, using the groundwork they established in the store.
To me, having the option to leave my phone at home and use this as a stand-alone device is the coolest feature, but it just doesn't work practically. For one thing, using the LTE mode drains the battery too quickly (and in an incredible fashion if you want to actually make a call), and then you're stuck somewhere without a working watch or a phone. Also, when I was testing the watch with brief calls, it dropped one of the calls and displayed a message about overheating (and this was in cooler weather).
I had weird glitches with the built-in Messages app in LTE mode as well: messages that wouldn't send, messages that appeared to send but didn't, messages sent hours later, and messages not received. As mentioned above, the Google Voice app isn't available for the watch, so I can't send texts or make calls through Google Voice either. I use my Google Voice number for work and I can receive calls to it on the watch, but cannot make outgoing ones. Without having my phone on me, I'd be limited to just my personal number for making calls/texting.
When in LTE mode, an annoying always-present icon shows up at the top of the display to let you know you are no longer connected to your phone.
► INPUT
Texting is a real pain with the default functions. I thought I'd just be able to use the microphone to speak my texts, but the speech recognition is not that great. What's worse, is after it makes a mistake, there's no keyboard to manually make corrections. You can backspace over words, but going back to the keyboard option clears the message you spoke. The keyboard is awkward to use, combining 3-4 letters per button like an old phone. It does have handy preset responses you can use/create, though, and you can edit and reorder them.
I use Google Gboard on my phone, and thankfully there is a Gboard app for the watch as well, which you will almost certainly want to install. It has a QWERTY keyboard, which of course is crazy small on a watch, but it still worked pretty well for me, including swiping words. Best of all, it has its own microphone button as part of the keyboard, so you can use both speech and keyboard input when composing messages. Unfortunately, the microphone doesn't work in LTE mode, only when the watch is connected to your phone.
► WATCH FACES
Almost all the watch faces you can get for this watch are a train wreck. The few built-in watch faces are ugly and/or awkward to use, and there aren't a lot of options on the Google Play Store right now either, especially since I want a 24-hour watch. 3rd party watch face stores offer a lot of choices and there might be a good one there if you can find it in the 100,000+ options. From what I've read, though, the 3rd party watch faces can reduce the battery life, and that's already a big problem for the watch. I settled on the ""Pixel Minimal Watch Face"" from the Google Play Store until I can find or make a better one.
► OTHER THOUGHTS
● The included band was white instead of silver (as of this writing, photos on this product page showed both colors for the LTE model). If you order directly from Samsung's website, you can pick whatever band you want.
● The watch I received appeared to have been previously opened. There was dust and scuffs on the watch, band, and box when I opened it (that cleaned off, thankfully). This is yet another reason I would recommend buying directly from Samsung's website instead of Amazon (Samsung offers an education discount, FYI).
● As of this writing, Samsung representatives I've talked to on their website say they do not sell replacement wireless charging pads for the Watch 4, so you're limited to the one that comes with the watch unless you want to get a 3rd party wireless charger, or maybe one of the charging pads for the previous Watch models will work (there's no indication they'll be compatible or not on their website).
● Samsung chat support is terrible. They know nothing about the product or its services, but will tell you whatever you want to hear regardless of its veracity. For example, I was told an impending update would ""fix everything"" including the app and battery issues I was experiencing. I'm not holding my breath for that miracle update and you shouldn't either. Perhaps multiple updates over the next 6 months will fix many of the issues.",2.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on August 24, 2024","It's made my life so much easier. I had tried a knock off watch and it was very limited on what it could do, so that was a no go for me. I returned it and bought this Samsung watch and I am absolutely in love with it. I could reply to texts, which was my issue, by mic or typing it out and has all the emojis. It does so many cool things. So many different watch faces, you could change the color on the numbers as well. I was scared about the battery life reading other's reviews but I have my watch on all day, about 7 am til 9-10 pm and it's usually between 50-60%. I do charge it every night just like I do my phone, and it charges so fast. I am extremely happy with my Samsung watch 4. I bought different bands because my wrist was getting sweaty and I didn't like the feeling. I know it's a couple of years old, now I believe the watch 7 is out but it works perfectly for what i need it for. The range is also pretty great!",5.0 out of 5 stars
