Profile Name,Date,Data,Star
Anonymous,"10 hours ago | Sep 7, 2024 7:17 AM",Miles above the competition and the stock operating systems found in new Smart TVs. Very fast and responsive. No more waiting to load apps!,Rated 5 out of 5 stars
MiroslavD,"1 day ago | Sep 6, 2024 12:44 PM",Got two of those already! The best tv box ever! Don’t think on it and get it asap. So easy to use. One love,Rated 5 out of 5 stars
PamelaR,"1 day ago | Sep 6, 2024 12:09 PM",Amazing… will buy 2 more for the house. I really enjoy that I don’t have to use but one remote.,Rated 5 out of 5 stars
rqb2001,"1 day ago | Sep 6, 2024 10:27 AM","Love this thing. Got it to replace my Nvidia Shield. It's hooked up to a 77"":c3. UI is buttery smooth. Very easy to operate.",Rated 5 out of 5 stars
Lipinreader,"1 day ago | Sep 6, 2024 8:14 AM","Great device! Glad I made this purchase. The device is fast, eliminating the lag I was seeing with my older Apple TV box. Great picture and easy to setup and use. Also, the remote is another improvement to the package.",Rated 5 out of 5 stars
HakanG,"1 day ago | Sep 6, 2024 6:20 AM","This is an excellent streaming product. The quality of the videos is perfect. The most valuable feature to me is integrated with my watch, phone, and laptop all Apple products.",Rated 5 out of 5 stars
DanielF,"2 days ago | Sep 4, 2024 9:12 PM","Watch all my streaming sites on this device and
Connects well to my phone",Rated 5 out of 5 stars
PS12,"3 days ago | Sep 4, 2024 1:16 PM","The item arrived on time, it was the correct item, which was good, and its an Apple TV 4K, if it works we know its good. But the way this item was packaged was terrible, i read and watched so many reviews about how bad best buy packages their items, and they were all right.. See picture. To Best Buy… guys we work hard to be able to buy these nice things that cost good money, the least you can do is make sure these items are not able to kove at sll in the box and have a chance to get damaged. When i picked ip the box, it was moving all over the place",Rated 2 out of 5 stars
DavidE,"4 days ago | Sep 3, 2024 12:02 PM",I’m very impressed with the Apple TV it makes my tv run faster than it ever has,Rated 5 out of 5 stars
EstelaC,"5 days ago | Sep 2, 2024 3:46 PM",Love this Apple TV so easy to use and the price is not bad,Rated 5 out of 5 stars
AbigailS,"5 days ago | Sep 2, 2024 3:16 PM",I love the Apple TV. Have several other ones and they don’t compare to any other system.,Rated 5 out of 5 stars
Laffin,"6 days ago | Aug 31, 2024 10:15 PM","Simple, easy to use, small footprint, and gives me quick access to the apps and programs I like to watch.",Rated 5 out of 5 stars
Vinny,"1 week ago | Aug 31, 2024 12:38 PM","Great streaming device, especially if you are already in an Apple eco-system.",Rated 5 out of 5 stars
nintendo,"1 week ago | Aug 30, 2024 4:17 PM","Best picture and sound amazing ,dolby atmos sounds excellent.",Rated 5 out of 5 stars
JamesP,"1 week ago | Aug 30, 2024 1:43 PM",Great! Delivered on time.works as should. Good deal.,Rated 5 out of 5 stars
MichaelQ,"1 week ago | Aug 30, 2024 10:53 AM",This is the second Apple TV product I have purchased and it is awesome. I love the newer remote functions.,Rated 5 out of 5 stars
Dale,"1 week ago | Aug 30, 2024 10:51 AM",Much better than previous versions. Easy to install,Rated 5 out of 5 stars
AbrahamSentertament,"1 week ago | Aug 30, 2024 10:45 AM",Is excellent device is very easy to use provides my needs,Rated 5 out of 5 stars
Shelby,"1 week ago | Aug 30, 2024 10:23 AM",Honestly this is an all around better product than any other streaming stick or device. I have had others in the past that tend to overheat and even using the apps on a smart tv have been finicky in the past. But I have had no problems with this whatsoever. Has great picture quality and is worth the price for what you get.,Rated 5 out of 5 stars
DavidC,"1 week ago | Aug 30, 2024 10:17 AM",I love Apple products! This device is perfect! Makes all apps easy to access and worth the money!,Rated 5 out of 5 stars
ThomasA,"1 week ago | Aug 30, 2024 10:14 AM",really like the enhancements. need to do netflix ..,Rated 5 out of 5 stars
Torres,"1 week ago | Aug 30, 2024 8:52 AM",I like because with Apple TV you don’t need upgrade your tv,Rated 5 out of 5 stars
ScottG,"1 week ago | Aug 30, 2024 8:38 AM","It’s just hands down a fast and smooth streaming experience. Up Next keeps track of where you are in all of your most recently watched episodes. It does it instantly and never fails. No ads, no bloatware, just a clean user interface with outstanding picture and audio quality. Of course whatever user is signed in will have access to their Music, Photos, Podcasts, Etc…. If you want to just create a generic user so your personal information is not available to whoever watches the tv, you can do that too. And, one of the best features in my opinion, if you have more then one Apple TV connected and signed in with the same user it will give you the option to keep the Home Screen identical on all those Apple TV’s. So if you change the layout, add an app or delete an app in makes those changes to the home screen on all of them.",Rated 5 out of 5 stars
csa45,"1 week ago | Aug 29, 2024 10:52 PM","I really like the Apple TV. It seems to launch and open faster than my nvidia shield.
I also like it to control my smart home.",Rated 5 out of 5 stars
BradleyH,"1 week ago | Aug 29, 2024 4:19 AM",Overall im happy with my purchase. It offers many free tv options.  Takes a little getting used to. A couple negatives. Requires apple tv user account. Requires apple tv subscription.  Remote seems odd at first.,Rated 4 out of 5 stars
MKaka,"1 week ago | Aug 26, 2024 4:20 PM",Excellent to make your TV smart. Default operating system is too slow and often filled with ads. Apple TV resolves that issue with smooth operating system and no ads,Rated 5 out of 5 stars
BartB,"1 week ago | Aug 26, 2024 10:49 AM",Works like a charm. Can’t wait to get one for our family back east.,Rated 5 out of 5 stars
JohnnyF,"1 week ago | Aug 25, 2024 3:27 PM","Great Device, easy to setup and connected to my apple devices effortlessly!!",Rated 5 out of 5 stars
Mary,"1 week ago | Aug 25, 2024 2:44 PM","My old Apple TV was tired. This one I connected via Ethernet and the picture is Amazing! No more blinking either. Love it! Easy delivery from Best Buy to my house. Set up in five minutes, literally.",Rated 5 out of 5 stars
Brandon,"2 weeks ago | Aug 24, 2024 10:59 AM",So far I am enjoying the apple tv 4k. I like it but I do also really like the nvidia shield tv pro. I have both and use both daily for the same thing just in different rooms of the house. The shield is more responsive.,Rated 5 out of 5 stars
MarkC,"2 weeks ago | Aug 23, 2024 5:23 PM","The best streaming device on the market, couldn’t recommend it enough",Rated 5 out of 5 stars
JackE,"2 weeks ago | Aug 23, 2024 10:36 AM",Does exactly what it’s supposed to do What more do you expect from an Apple TV?,Rated 5 out of 5 stars
ChaseP,"2 weeks ago | Aug 23, 2024 10:31 AM",We just used the smart tv before and all the apps we scattered. This just makes everything so much easier,Rated 5 out of 5 stars
DeeDee,"2 weeks ago | Aug 23, 2024 10:28 AM",I had the earlier model and was struggling with some channels coming in this later version has allowed me to utilize all my channels and some.  Love the device and have them in most rooms plan to get a couple more to complete in all rooms,Rated 5 out of 5 stars
pankus2,"2 weeks ago | Aug 23, 2024 10:16 AM",The Apple TV is a staple in my house.  Love the ease of use and convenience of having everything in one place.,Rated 5 out of 5 stars
Wilfreeltimido,"2 weeks ago | Aug 21, 2024 8:51 PM",The best streaming device period so smooth so beautiful it just get the job done,Rated 5 out of 5 stars
BBGuy,"2 weeks ago | Aug 21, 2024 8:20 AM",This device is a must have. Its interface is smooth and the picture is excellent. In my opinion it’s the best streaming device on the market.,Rated 5 out of 5 stars
Jfb423,"2 weeks ago | Aug 20, 2024 5:07 PM",I absolutely love my Apple TV.  No connection issues at all.  Always a clear picture and so convenient to control with my phone.,Rated 5 out of 5 stars
