Profile Name,Date,Data,Star
MaryM,"8 hours ago | Sep 7, 2024 7:11 AM","Good for a small space, an office or if you like to listen to music relaxed. I liked it",Rated 5 out of 5 stars
LuisN,"4 days ago | Sep 3, 2024 10:44 AM",Love it. Gave it to my Mother-in-law for her birthday she also loves it.,Rated 5 out of 5 stars
BillyC,"4 days ago | Sep 3, 2024 3:03 AM",The best echo dot that I’ve ever got before so happy,Rated 5 out of 5 stars
AdrianaR,"5 days ago | Sep 1, 2024 4:31 PM","Excellent product. Alexa is a great ally and helps you with everything you need to do on a daily basis. This is because you can ask her to make an appointment, check the calendar and remind you of meetings with alarms",Rated 5 out of 5 stars
DanitaT,"1 week ago | Aug 30, 2024 3:52 PM",I use mine everyday and will be getting another one for another room,Rated 5 out of 5 stars
TheresaD,"1 week ago | Aug 30, 2024 12:56 PM",The clock is very dim; returned & got the echo spot & clock is so much better. The Alexa features are fine on both. Gave this one 2 stars only because of the clock which I really needed.,Rated 2 out of 5 stars
RonniB,"1 week ago | Aug 26, 2024 7:23 PM","Very nice!  Sounds good, is attractive and good functionality.",Rated 4 out of 5 stars
WilliamS,"1 week ago | Aug 24, 2024 6:39 PM",This little thing has some great sound for the size and works very well listening to whatever you say the answer,Rated 5 out of 5 stars
Snickers,"2 weeks ago | Aug 23, 2024 11:57 PM",Great and not too hard to connect your smart bulbs,Rated 5 out of 5 stars
MaryC,"2 weeks ago | Aug 23, 2024 3:40 PM","Excellent, love Alexa ! It wakes me up in the morning with music.",Rated 5 out of 5 stars
AnnieOB,"2 weeks ago | Aug 23, 2024 11:05 AM",I pressure this item for my daughter and she love it,Rated 5 out of 5 stars
YeseniaS,"2 weeks ago | Aug 23, 2024 10:58 AM",This device is amazing this is my first Alexa and it’s a great device,Rated 5 out of 5 stars
MaryD,"2 weeks ago | Aug 23, 2024 10:47 AM",I absolutely love the Amazon - Echo dot especially this one that has a clock.  The speaker is of a very quality and the sound is great.  I would definitely recommend purchasing this.,Rated 5 out of 5 stars
Topdog,"2 weeks ago | Aug 23, 2024 10:30 AM","Had the first generation tower which could no longer pair to a new router, so I was forced to replace the echo. Very pleased with this unit, speaker is not as good as the original tower but there's only a slight difference. Overall I'm pleased with the software functionality, color and size. It's a nice unit and would recommend purchasing it.",Rated 5 out of 5 stars
IgnacioH,"2 weeks ago | Aug 23, 2024 5:54 AM","Great for house, nice sound and very cheap price..",Rated 5 out of 5 stars
Mstringer81,"2 weeks ago | Aug 19, 2024 5:16 PM",I like the screen. Shows time and weather. Use it for timers and music.,Rated 5 out of 5 stars
Okmike,"2 weeks ago | Aug 18, 2024 9:51 AM",The best thing you can ever purchase with not regret,Rated 5 out of 5 stars
BigDog,"3 weeks ago | Aug 17, 2024 8:51 AM",It looks great and works just as very good. I want one of these for every room.,Rated 5 out of 5 stars
ticocasa1,"3 weeks ago | Aug 16, 2024 10:58 AM",It’s good quality sound and love the clock on front.,Rated 5 out of 5 stars
BigAl,"3 weeks ago | Aug 14, 2024 8:27 AM",Nice sound for a little thing. The clock is a nice touch,Rated 5 out of 5 stars
RandaD,"3 weeks ago | Aug 13, 2024 7:41 PM",I bought it as a gift but my friend didn't like it so I returned it,Rated 5 out of 5 stars
JoshuaK,"3 weeks ago | Aug 12, 2024 5:26 PM",I love these echos i have 20 many different versions and all with battery bases,Rated 5 out of 5 stars
unicorn,"3 weeks ago | Aug 12, 2024 10:08 AM","Amazon's 5th Generation Echo Dot with Clock has been very good to me. Alexa's response to my questions and commands is immediate and coherent and the illuminated clock is great at night, with very clear digits. I've had several Amazon Dots in past years (with my first one only costing $10) and I've love them all, and this is no exception.",Rated 5 out of 5 stars
Electronicguy53,"3 weeks ago | Aug 11, 2024 5:33 PM",This Echo Dot with clock display is a nice smart speaker.  I purchased it to replace an Insignia Google smart speaker with clock due to a lack of continued support.  It would no longer set an alarm.  I am very pleased with this Echo Dot.  It has good sound quality and I am able again to use my smart speaker to set alarms.  It controls my entire home’s smart devices.  The only thing I don’t like is that I can’t go to sleep with rain sounds in a continuous loop without paying a monthly fee for it.  I kept my old Google speaker because it plays sleep sounds for free.  I also like the look and size of this Echo Dot.,Rated 5 out of 5 stars
PushpaG,"1 month ago | Aug 9, 2024 7:53 PM","Amazing product. So easy to set up, you can play games on there and play lots of songs. tells you the time on the alexa, and the time is visible at night. Also, you can play guess the songs there and so much more. The colors nice and pretty cheap for this device.",Rated 5 out of 5 stars
Kevin,"1 month ago | Aug 9, 2024 3:33 PM",Good but seems to go offline more frequently than my other echos.,Rated 4 out of 5 stars
Jmorales,"1 month ago | Aug 4, 2024 2:14 PM",Love it! I have it in the bathroom to keep track of time while getting ready for work. One of the features I like is that at time it self dims to keep the light from showing out of the bathroom.sound is also better the the last generation.,Rated 5 out of 5 stars
AppleisbetterthanSamsung,"1 month ago | Aug 4, 2024 11:30 AM",Does exactly what it’s meant to do. Having a clock that is also a smart home device is really cool.,Rated 5 out of 5 stars
VictoriaE,"1 month ago | Aug 3, 2024 7:56 AM",great especially for price good sound good voice recognition.,Rated 5 out of 5 stars
Leann,"1 month ago | Aug 3, 2024 6:19 AM",I like the product a lot It is very easy to use...,Rated 4 out of 5 stars
MeraflorH,"1 month ago | Jul 30, 2024 3:14 PM",Tiny but mighty. Sound was excellent. Perfect for indoor & outdoor activities.,Rated 5 out of 5 stars
SharylM,"1 month ago | Jul 28, 2024 7:20 PM",We really like our Echo. It does take some time setting up.,Rated 5 out of 5 stars
JeffV,"1 month ago | Jul 27, 2024 5:04 PM",worst Alexa device I've owned. doesn't stay connected to wifi. tossed it into the trash.,Rated 1 out of 5 stars
Chris,"1 month ago | Jul 27, 2024 9:13 AM","Similar to the echo dots and others like it, this one is just a tad bigger with more accessibility",Rated 4 out of 5 stars
RichardB,"1 month ago | Jul 26, 2024 2:45 PM",It was so easy to set up and link with my other devices.,Rated 5 out of 5 stars
DonaldC,"1 month ago | Jul 26, 2024 1:06 PM",This was a very nice purchase recommend it to anyone,Rated 5 out of 5 stars
JRdayton,"1 month ago | Jul 20, 2024 10:33 PM",Great Alexa ball.  Nice speaker and the click feature is great.   Will also show you the temp when you all for weather info,Rated 5 out of 5 stars
ANTHONYSLAPTOP,"1 month ago | Jul 20, 2024 8:30 PM",The Echo Dot is awesome! It has helped me in so many different ways just by  easily\ telling Alexa what you need like setting alarms and many different trings.,Rated 5 out of 5 stars
shafikov,"1 month ago | Jul 20, 2024 5:22 PM",I love the clock display and how easy it is to integrate with other Echo at home. Must have.,Rated 5 out of 5 stars
First2TB,"1 month ago | Jul 20, 2024 3:15 PM",Excellent product and delivery services. Happy to buy and refer. I will buy in future from Best Buy for next Kindle products.,Rated 5 out of 5 stars
NancyE,"1 month ago | Jul 19, 2024 10:37 AM","Our new lil blue Alexa...she is very helpful with her reminders, etc...We love her!",Rated 5 out of 5 stars
