Profile Name,Date,Data,Star
TechnoG0d,"1 day ago | Sep 6, 2024 4:23 PM","Great integration if you have Apple products in the house , might pick a swcond one when on sale for a stereo sound",Rated 5 out of 5 stars
RobertP,"1 day ago | Sep 5, 2024 8:05 PM","Replaced 1st Gen HomePod, vocals are much clearer and bass is just as good.  Love using it paired with another for Apple TV speakers!",Rated 5 out of 5 stars
RickySolo,"4 days ago | Sep 2, 2024 7:52 PM",Really good sound quality and looks nice. Occasionally will lose connection and not be able to connect to my phone which can be frustrating.,Rated 4 out of 5 stars
DerekS,"6 days ago | Sep 1, 2024 12:54 PM","People attempt to compare this newest model to the original, saying it's not as good, but I totally disagree.  The bass from this speaker is unreal and you'd never expect it from a speaker of this size.  The speaker produces clean highs and mids, and is able to fill a room without issue, especially when set up as a pair.  After I purchased just one and was able to see what it could do, I had to immediately order another to make it a pair.  If you already live in the Apple Ecosystem, this is a great addition and I have no regrets.",Rated 5 out of 5 stars
MarkS,"1 week ago | Aug 30, 2024 11:06 PM",Super easy to setup and the sound is spectacular. Would be fun to have 2 to pair. But works seamlessly with all my other Apple products.,Rated 5 out of 5 stars
EduardoM,"1 week ago | Aug 28, 2024 9:23 PM",Fantastic sound super clear . Apple products are awesome I have bought a total of 4 of these already . Highly recommended!!!,Rated 5 out of 5 stars
Chica,"2 weeks ago | Aug 23, 2024 12:31 PM",I enjoy this speaker in the main room while the other two rooms has the smaller home pods. great sounds.,Rated 5 out of 5 stars
Rourke,"2 weeks ago | Aug 23, 2024 11:33 AM","I am in absolute love with all the Apple HomePods. The sound quality as a stereo pair is wonderful. HomePods make using Apple HomeKit so easy. Plus, I don't feel like they spy on me as much as Alexa. You know you mention something near Alexa and suddenly it is on your Amazon feed?",Rated 5 out of 5 stars
John,"2 weeks ago | Aug 22, 2024 9:45 PM","I love Apple products.  I think the quality is top of the line.  When my Echo showed signs of dying, I investigated the HomePod for an AI Assistant replacement.  The HomePod has the best sound when playing Apple Music.  It's amazing what comes out of this thing and I was impressed; however, I'm used to Alexa/Echo answering my questions.  Sometimes I ask cooking and recipe questions, or measurement conversions, etc.  I hold a conversation with Alexa.  Not with Siri.  I asked it for a cooking temperature for steak I was grilling and it told me to ask it again on my iPhone and it would send me to a website to show me.  I then began asking it typical questions I would ask Alexa.  It kept directing me to my iPhone to ask it there so it could send me to a website with the information.  Close to 300.00 to act as a mediator to direct me to my phone.  If you're looking for a speaker, it has superb sound, but as an extension to your AI uses, it's completely useless.  I purchased Amazon's Echo Studio and it's definitely the replacement I wanted with some great sound.",Rated 2 out of 5 stars
Hello45,"3 weeks ago | Aug 17, 2024 10:24 AM",Love this. Sounds great. Will get another to use in pair as a TV stereo soundbar.,Rated 5 out of 5 stars
JesusG,"3 weeks ago | Aug 11, 2024 3:36 PM",Sound is amazing. Best speaker Ive ever bought. Apple ecosystem makes the experience better,Rated 5 out of 5 stars
DHCHJHPH,"3 weeks ago | Aug 10, 2024 5:25 PM",Sound quality is very nice.  Connects with my TV and phone.  Connects to other pods through the home and output sound is very clear.  Base is great on it also.,Rated 5 out of 5 stars
Arby,"3 weeks ago | Aug 10, 2024 5:10 PM","So not buy if you plan interact with Siri through the HomePod. Some genius engineer at Apple decided that Siri can only speak at a volume between 30-100, which means if you use the HomePod in any relatively small room (office, bathroom, etc.) that Siri literally screams at you. It took Apple support almost 2 months and 4 support tickets to figure out that Siri just can’t speak at a volume below 30 - it’s hard coded in the software. The Apple support person suggested I sell my HomePod and buy something that had Alex. That tells you everything you need to know about the current state of Apple and Siri. Spend your money son literally anything else.",Rated 1 out of 5 stars
MarkR,"1 month ago | Aug 10, 2024 3:33 PM","Amazing speaker, and if you buy two for stereo setup.. even better!",Rated 5 out of 5 stars
JadynB,"1 month ago | Aug 10, 2024 6:36 AM","Very excellent speaker, I brought two of them to pair with one another and the sound is loud and efficient. Definitely recommended buying two for heightened quality.",Rated 5 out of 5 stars
