Profile Name,Date,Data,Star
Maxlee,"Reviewed in the United States on August 8, 2024","This unit has the best sound. Hard to beat spatial speakers. It does a lot of fun things. displays your photos, plays Amazon music, works well with the Ring doorbell system. Alexa can perform simple task but has difficulty finding music albums that I ask for, and do not ask her a technical question. She dies on the vine. I gave mine to my granddaughter. The decision to dump it was it started playing commercials over my photographs. I did not purchase this unit to see adds over my photos. Good by Echo Show. Not ever again.
Doesn't Amazon make enough money elsewhere? Also, you must know you cannot place the screen face down. It goes crazy changing music every few notes. The screen starts flashing and nothing works. I had a hard time getting to the programming buttons to reset it back to factory and start over. It works well after that. A very weak control board!",5.0 out of 5 stars
Jackie Garcia,"Reviewed in the United States on August 23, 2024",I put this in our guest room for the clock and music features. We turned off the camera as it is not the best feature on the Alexa product. The camera works but does not move so it is kinda useless. We love all the other features.,5.0 out of 5 stars
Remy McNamara,"Reviewed in the United States on August 23, 2024","I've been using the Amazon Echo Show 5 (3rd Gen, 2023 release) for a few weeks now, and I am thoroughly impressed with its performance. The Echo Show 5 has always been a reliable smart display, but this latest version truly steps up the game, especially in terms of sound quality.

**Sound Quality:**
One of the standout features of this Echo Show is its upgraded sound system. With 2x the bass and clearer sound than its predecessors, the audio quality is surprisingly robust for such a compact device. Whether I'm listening to music, catching up on the news, or watching videos, the sound is rich and immersive. It's perfect for smaller rooms, like the kitchen or bedroom, where you want good audio without the need for a larger speaker.
**Display and Design:**
The 5.5-inch screen is sharp and vibrant, making it great for watching short clips, checking the weather, or making video calls. The compact design fits easily on any shelf or counter, and the Charcoal color gives it a sleek, modern look that blends well with any decor. The screen's adaptive brightness is a nice touch, adjusting automatically based on the room's lighting.
**Smart Features and Alexa Integration:**
As expected from an Echo device, the Alexa integration is seamless. Voice commands are picked up easily, even from across the room, and the responses are quick and accurate. I use it to control my smart home devices, set reminders, and even follow along with recipes. The new smart display features also make it easier to see and control multiple smart home devices at once, which is a huge plus for someone like me who has a lot of them.
**Privacy and Security:**
Amazon has included a physical shutter for the camera, which provides peace of mind for those who are concerned about privacy. There's also a mic/camera off button, which is easy to use and effectively disables both the microphone and camera.
**Overall Performance:**
The Echo Show 5 (3rd Gen) is a fantastic addition to any smart home setup. It offers a great balance of audio quality, smart features, and privacy controls. Whether you're new to smart displays or looking to upgrade, this device is definitely worth considering. It's small but mighty, and I find myself using it more than I expected for everything from checking my calendar to watching cooking videos.",5.0 out of 5 stars
iHaveaProblem,"Reviewed in the United States on July 13, 2023","TL;DR:
The Echo Show 5 is a compact and versatile smart display with enhanced features. It offers an improved visual experience, powerful audio output, and seamless integration with Amazon Alexa. However, the camera resolution and limited app support may be potential drawbacks for some users. When compared to other smart display options, the Echo Show 5 stands out for its compact size and affordability.
Review:
The Echo Show 5 is a compact and versatile smart display that combines the convenience of a smart speaker with the added benefits of a screen. With its enhanced features, it offers a range of capabilities for users seeking a visual and interactive experience.
One of the standout advantages of the Echo Show 5 is its improved visual experience. The 5.5-inch display provides clear and vibrant visuals, making it ideal for tasks such as video calling, watching videos, browsing recipes, and viewing information at a glance.
The audio output of the Echo Show 5 has also been upgraded, delivering powerful and immersive sound. Whether you're listening to music, podcasts, or streaming content, the device offers an enjoyable audio experience.
The integration with Amazon Alexa, the voice assistant, is seamless and allows for convenient hands-free control of various smart home devices, streaming services, and more. You can control compatible smart devices, set timers and reminders, check the weather, and access a wide range of Alexa skills.
In terms of affordability and compact size, the Echo Show 5 stands out compared to other smart display options. It offers a more budget-friendly choice without compromising on essential features and functionality.
However, it's worth noting that the camera resolution on the Echo Show 5 may not be as high as some other devices on the market. While it still provides adequate video calling functionality, those seeking higher-quality video may prefer alternative options.
Additionally, the app support on the Echo Show 5 is somewhat limited compared to other devices. While popular streaming services like Amazon Prime Video and Netflix are supported, the availability of third-party apps may vary. This could be a consideration for users who heavily rely on specific apps or services.
When comparing the Echo Show 5 to other smart display options, its compact size and affordability make it an attractive choice. It offers a good balance between features and cost, making it suitable for users who prioritize convenience and value.
In summary, the Echo Show 5 is a compact and versatile smart display with enhanced features. Its improved visual experience, powerful audio output, and seamless integration with Amazon Alexa make it a valuable addition to any smart home. However, the camera resolution and limited app support may be potential drawbacks for some users. When compared to other smart display options, the Echo Show 5 stands out for its compact size and affordability.
Pros:
- Improved visual experience with a clear and vibrant 5.5-inch display
- Powerful audio output for an enjoyable listening experience
- Seamless integration with Amazon Alexa for hands-free control
- Compact size and affordability compared to other smart display options
Cons:
- Camera resolution may not be as high as some other devices
- Limited app support for third-party applications and services",4.0 out of 5 stars
D. Kodgis,"Reviewed in the United States on September 1, 2024","It is simple to use and would be simple to set up but the brightness level comes at 50% so it is very hard to see. With glasses on I could barely make out the pull down settings. I was able to put brightness up to make it easy. 4 buttons on top from left: mute, down volume, up volume, and finally to the right side, camera on or off with a slide button. Easy. It did not take my setup name from the email I got telling me to set it up before it even came. Easy enough to change in the app. Good luck with the brightness setting at set up. Small footprint! Great sound!",5.0 out of 5 stars
MT,"Reviewed in the United States on July 12, 2024","The Amazon Echo Show has completely transformed how I manage my day! This smart device does it all, it's my personal assistant, entertainment hub, and smart home controller all rolled into one sleek package.
Setting it up was a breeze. Within minutes, I was enjoying voice-controlled access to music, weather updates, and even recipes while cooking. The display is crisp and responsive, perfect for watching videos or checking my calendar at a glance.
I love how seamlessly it integrates with my other smart home devices. From adjusting lights to checking security cameras, the Echo Show makes controlling my home effortless. The voice recognition is impressively accurate, even in noisy environments.
One of my favorite features is the video calling. It’s like having a face-to-face conversation with loved ones, and the sound and picture quality are excellent. Plus, the skills and apps available through Alexa constantly expand its capabilities.
If you’re looking to add convenience and connectivity to your home, the Amazon Echo Show is a must-have. It’s intuitive, versatile, and has become an indispensable part of my daily life. Highly recommended for anyone ready to embrace smart home technology!",5.0 out of 5 stars
Colleen,"Reviewed in the United States on August 20, 2024",Never had an alexa device before and I was looking into security doorbells and got this with the blink doorbell camera. The set up was easy. It's easy to use. The quality of the device is great. Alexa is sensitive to picking up other voices if it hears someone else even on my phone saying Alexa. Very useful when I want to know the weather or updated news and even to play music. Absolutely love my Alexa device and would recommend it to anyone looking for an affordable device to set their security up to.,5.0 out of 5 stars
Mary Trotta,"Reviewed in the United States on December 8, 2023","Honestly haven't opened it yet. Been so busy. Hopefully my bad luck doesn't get me! Excellent price. I've wanted one for a while too!!! Thanks to Cyber Monday I cannot believe the price I paid! Awesome, fast shipping even during Black Friday and Cyber Monday. Let's hope it works great 😊
P L E A S E - - - READ MY EXPERIENCE UPDATE AFTER USING IT FOR 2 WKS. The disappointment started hours after plugging it in 2 Saturdays ago (Today is Dec 25th, 2023)
**UPDATE DECEMBER 25TH, 2023**
MAJOR disappointment.
It needs every subscription under the sun to enjoy 99% of it fully. Even ""Find my Phone"" is a charge! My ""Google Bot"" does not charge me for that.
It glitches a lot. In the 2 weeks it's been plugged in I've had to hard boot it 3 times.
AMAZON music sub or forget using it to play music you want. They support so many platforms... Not YouTube Red.
I bought the blink system, no pun intended, the cameras echo through the ECHO. 4 camera on sale too and so disappointed.
All games want you to pay for a service to use it fully.
No tier service plans... Just 25 bucks for this, 4.99 for that, 19.99 for this.. Like make a tier system or something.
It does not work friendly through the app or the ECHO itself. There is no way to have it on adaptive lighting and even wake it up and have the screen brighten a bit. Literally, no option for it. Like come on who can see that dark screen.. If you prompt it I should give off light.
It's not as friendly in its demeanor as ""The Google Bot"". No personality. No swearing. I asked it about a serious local news situation that the country is aware of for Vegas since the 6th of Dec, it told me ""Not sure what you're asking for"" my ""Google Bot"" gave me a 15 min break down of the first min of the horrible situation at my alma mater to the latest news. Sad.
The technology using it to do video calls, garbage. My tech abilities are expert level so no it's no my internet. My call with my mom and my husband both skipping, freezing. On their end and mine. Oh and forget adding all of your contacts.. That's a charge too. Otherwise you get 10 contacts it saves on itself only.
I'm so sad. I really was excited for this newer technology since I've had my ""Google Bot"" for six years.. It does more and knows more than this Echo.
The charges are the absolute worst for me. Find my phone? Really? Give me a break.
The speaker, not good over 50 to 60% ((60% is the highest you can go without it being tingy. I adjusted the mids, nothing changes... Even the little ask me the animal of the day if you want to keep going it does.. And shows you more animal sounds. But if you want MORE you have to pay for the service... For animal sounds..... Come on.
The smooth transition of screen to screen in where it flips through news..... Sadly lagging and skipping.
--IN CLOSING - - It's nothing of what I expected in speed. It's 6 feet from my modem.... It's not my connection...for the skipping screens. Lagging stories on the news when you ask it what's the story? Video calls... Useless. IT'S NOT even WORTH the sale price I got it for. Not even close.
The abilities it has to run your whole house, garage doors, emergency help, smoke, CO, thermostat list us longer than I've ever seen. If I can't even have me tell me what my local university updates are without it faking to even kno about it, who thinks I would roll the dice and pay all these subs and get more electronics to make the long list of things actually work.
1 star for technology for 2023
0 stars for personality, voice choice
0 stars for everything having a subscription montky cost.
0 stars for ease of use
0 stars for quality - freezing, skipping, lagging video play.
0 for sound.
0 for ease of app use with it
0 for BLINK app to use with Alexa
3 for looks, esthetic wise
2 for functions like making the screen brighter on adaptive lighting when touching it or voice prompting it
0 for cost of subs, extra gear.
1 for all it can do but at the price of each monthly cost to have them. Too afraid to buy the extras and add a subscription to it too.
4 stars for pre set up before even having it sent to me. Through email. Impressed, and that was the last time I was.
0 for more free options for even things like voices of Alexa, diff prompt names for Alexa, are all words I'd use every day but Ziggy do I went with that and still certain words I say pick it up and listen.
Overall average score for me (above stars) 2 stars all around.
Sincerely - - - - -
Disappointed in Prime/Amazon/Amazon's Customer Service.
***UPDATE: December 31, 2023***
Glitches every day. I have to reboot it at least once a day. It gets stuck in broken half screen is black, loops. There is a glitch that happens every day after I do a routine in the afternoon and gets stuck doing this weird clock I don't normally see.
I'm calling Customer Service and getting a replacement. If that too is garbage, it's being returned and I want a refund.",1.0 out of 5 stars
Jeff Lines,"Reviewed in the United States on August 2, 2024","After several months of ownership, I thought I would post a review. I purchased this model particularly because it was to have support for Matter over Thread. Home automation is my the main thing I use this for with Apple products and Apple Home being my system of choice as the main control. I have an Echo Show 5 in the kitchen because that is the area where you are most likely to have your hands full and need to give a voice command. I also have a program that is basically a timer where the command is ""Run Distiller"" and it turns on the distiller and after three and a-half hours turns it off. So with that as the basis, I have a couple improvements that I have come across that are needed.
The first is a long time issue I have had with the both the 3rd generation and previous generation of Show 5 and that has to do with the total reliance on needing to be connected to the internet. This makes for a reliability issue for any program that has multiple steps and time passage between steps because ANY interruption of the internet causes that program to fail ... so then our distiller doesn't shut off until it is out of water and we have water all over the counter and crud on the bottom of the distiller that is not as easily cleaned out. It would be nice if when a program is initiated, that all steps are internalized in the Show and made local so programs ... once started ... never fail to complete. As a matter of fact, it would be nice if there wasn't such a total reliance on the internet. As it stands right now, if you have an internet outage, you have NO local capability with the Show and it simply turns into a rock.
We have also noticed that the voice recognition is not as good as it is with Siri ... and what is odd is it seems to have gotten worse with the newer version. Since our Show device is a kitchen appliance ... it gets used as a timer frequently. At least it used to be used for that. Now it doesn't seem to respond to the attention (i.e. Alexa) command from across the room the way it used to and so we have gotten to where we use Siri more for that ... but that means the iPhone needs to be sitting on the counter instead of a pocket.
The third item I guess you could say is bleeding edge for Matter. I have noticed the most recent version of Apple Home has a feature where you can select what the primary Matter Hub so I believe Apple has implemented the Matter Admin features. I don't see anything like that with the Show. In addition, I believe this feature, once properly implemented, will mean that once you set a Matter device, it will be available on all Matter platforms in your home. I believe the other issue is that Amazon is going to have to step away from the total dependence on the cloud because the ability to control a Thread based device with a Matter hub is supposed to all be local.
Anyway, these issues really do need resolution in my mind so that's why I'm giving it the rating I have for now. Some of this may be able to be resolved with firmware ... but the local capability might require some additional changes to the hardware as well so for now I'm not going to hold my breath.",3.0 out of 5 stars
Matt,"Reviewed in the United States on July 16, 2023","We had a first generation Echo Show in our kitchen which died recently so I ordered this as a replacement, not realizing how small it is. It's about the size of a standard alarm clock, which is too small for our kitchen. Rather than returning it, though, I decided to keep it for the bedside table, which appears to be what it was made for. I then ordered an Echo Show 8 for the kitchen, which is a much better size for there.
Anyway, having this on the nightstand is nice, because not only does it function as a clock, but I can ask it about the weather, the news, etc. in the morning. The bluetooth speaker has very good sound for its size. Overall, it's a great purchase. Except...
It's got a couple of really annoying flaws that severely limit its usefulness. Ugh. Amazon, I really hope you're listening here. At least the first of these should be fixable with a simple software update. The second, I'm not as sure if it's a software problem or a hardware issue, but I hope that it will at least be updated by the next model. While I'm probably not going to return this one, I can't see myself buying another one of these (or recommending it to other people) until these issues get fixed.
So, first problem... Using it as a bluetooth speaker. I like to play music from Apple Music on my iPad, and I was hoping to use this for that. Yes you *can* link your Apple Music account directly into the Echo Show, but that's got a couple of flaws – first, you can't browse, you have to tell Alexa what to play, and second, if you've got your own music that you've uploaded to Apple Music because it's not in the main Apple Music library (or another app entirely), there is as far as I can tell no way to access it. So, using the Echo Show as a bluetooth speaker it is. Except...
Once you pair your iPad with Alexa, it will very loudly announce that it's connected. ""Now connected to Matt's iPad"" it says very loudly. If I had it connected previously and I start using my iPad after leaving it sit for a while (say, I was listening the night before and I pick up my iPad in the morning to glance at the news), even if I'm not playing audio, it will make the same announcement again (which, totally unexpected like that, gives me a good jump scare). Disconnect the iPad and it makes a loud notification sound (for a while it was saying ""Disconnected from Matt's iPad"" but I seem to have managed to at least turn that off... I'm not even sure how). It does the same if I connect and disconnect my phone.
I don't want this. It's super annoying. I've tried every way that I can find to turn these bluetooth announcements off, and I can't do it. I've searched the internet and found lots of other people complaining of the same issue, but Amazon hasn't fixed it. Some of those have suggested turning off notifications as the solution, but I've tried that (even going as far as power cycling my Echo Show to make it reboot), and I *still* get the bluetooth announcements. They just won't go away.
So, first thing this needs before I'll give it a good rating... Amazon, please do away with these bluetooth announcements, or at least make it possible for me to disable them. Honestly, I'd prefer not to have to completely disable notifications to do it (there's no fine grain control over notifications, it's either all on or all off, which is a problem itself), but if that's how it has to be whatever. Just get rid of these unnecessary and annoying bluetooth announcements.
Then, there's what is actually a much bigger problem, but may require a hardware update to fix... The auto-dimming.
So, in theory, I like and want the auto-dimming feature. I don't want this to be at full brightness all night while the room is dark. In the dark it goes very dim, but that makes it readable in the dark without being annoying or a distraction from sleep. That's good.
Based on how this performs, though, I have to assume that the light sensor that controls the auto-dimming is on the front and very directionally focused. It doesn't pick up on ambient light at all.
So if I turn on the bedside lamp, which happens to be located behind the Echo Show 5 on my table? It doesn't pick up on it, it still thinks the room is dark, and it keeps the display so dim that it's totally unreadable in the lamp light. I use my bedside lamp a lot when I'm in the bedroom, so that is a HUGE problem. Even if I have both the overhead light and the bedside lamp on and the screen is bright, the moment I turn the overhead light off (but leave the bedside lamp on), it goes so dark as to be unreadable.
But even when I'm using the overhead light... If I even happen to stand or sit so that I'm positioned between the overhead light and the Echo Show unit, it dims the display. Not nearly as dim as it goes in the dark room or with the bedside lamp, but still dim enough to make it significantly harder to read.
So basically, I can only read the screen easily with the room brightly lit or totally dark, with light directly pointed at the unit or no light at all. Anywhere in between and it becomes unreadable. Of course I could ""fix"" this problem by turning auto-dimming off entirely, but then it would be brightly lit all through the night. Which I don't want either. Right now the only setting for this is either on or off, no in-between, no adjusting the sensitivity, nothing.
So Amazon, I don't know if this means that you need more light sensors on the unit than you currently have (maybe one facing the back of the unit as well), or if it's just a software tweak to make it more (or less? I don't even know) sensitive, but SOMETHING needs to be done about this. A screen that I can't read isn't useful to me.
Oh, and finally, this is more minor but what is up with the white power cord on my black/""charcoal"" device? I didn't buy a white Echo Show because I didn't want a white Echo Show. The power cord should match the device. Way to cheap-out, Amazon.
Fix these problems and I'll feel much better about the Echo Show 5 and happily recommend it to others as a bedside device. With these issues, though, I'm sorry, but I can't recommend it.",2.0 out of 5 stars
