Profile Name,Date,Data,Star
Chuckster0,"2 hours ago | Sep 7, 2024 2:46 PM","I use this hub to compliment my Neat doorbell. It works great and has a bunch of features I will never use. I can at least now yell at the kids to, “Get off my lawn!”",Rated 5 out of 5 stars
XavierS,"9 hours ago | Sep 7, 2024 7:54 AM","Great product love it, easy to use and compatible with more brands",Rated 5 out of 5 stars
Baetodm,"21 hours ago | Sep 6, 2024 7:43 PM",Had some issues getting it to connect to my WiFi but once you get past the mesh router it worked fine!,Rated 4 out of 5 stars
Danny,"21 hours ago | Sep 6, 2024 7:09 PM",Works great and helps with recipes and timers.  Music is nice through the speaker.,Rated 5 out of 5 stars
Barb,"1 day ago | Sep 6, 2024 11:25 AM",I got one of these for Christmas several years ago i knew just the basics not everything it could do ! Then the kids came over and started doing things with it and I’ve just really enjoyed it so much . A friend with Macular degradation has a hard time seeing to control items tvs radios what ever so I got him one of these google nest hints and he has loved it . He is 85 so goes to show you can teach an old dog new tricks ! Then his neighbor wanted one so we’re having a ball ! Yes i would recommend this to everyone from kids to elderly,Rated 5 out of 5 stars
RebelSteveD,"1 day ago | Sep 6, 2024 11:22 AM","Nice little unit, very easy to set up. If a can just get my cameras to show……",Rated 5 out of 5 stars
Ashley,"1 day ago | Sep 6, 2024 9:45 AM",I love that it pulls up my doorbell camera. It also plays music. You can also watch videos. You can also talk through your doorbell camera too. It connects well with all my devices. I can tell it to change my thermostat temperature and i can tell it to turn on my tv and smart lights. Love!,Rated 5 out of 5 stars
Adithya,"1 day ago | Sep 5, 2024 9:32 PM","The Google Nest Hub is a compact smart display with a 7-inch screen, offering voice control via Google Assistant, smart home management, and photo slideshows. It's user-friendly and fits well in any room.",Rated 5 out of 5 stars
Ezra,"2 days ago | Sep 4, 2024 6:26 PM","It's pretty good but it seems a bit slow when accessing other applications. Not sure why, I have contacted google and they said this is ""normal."" I guess maybe they need to update their processing chip in this device.",Rated 3 out of 5 stars
JeanpaulS,"5 days ago | Sep 1, 2024 7:18 PM",thia is my best friend. when im home alone shes still there to keep me occupies with reminders and to help me with my grocery list!,Rated 5 out of 5 stars
Bryceypie,"6 days ago | Sep 1, 2024 12:18 PM","This actually has some great audio to the speakers along with treble and bass. I really enjoy being able to connect it to my Nest Doorbell and use it as a camera and audio to see whats going on. Connecting it to netflix is a strange feature, but ends up being pretty cool when cooking for awhile in the kitchen. Can connect to Apple music which is great! Controls all google home devices too like thermostat and speakers/cameras.",Rated 5 out of 5 stars
Andrea123,"1 week ago | Aug 30, 2024 2:09 PM",It works when it does want to…..do not waste your money on this crap hub.,Rated 1 out of 5 stars
ChelseaD,"1 week ago | Aug 30, 2024 1:58 PM","I absolutely love the Nest Hub! The speaker quality is impressive for its size, providing clear and vibrant sound. It essentially offers all the convenience of the Google Home app without needing to use your phone, making it an indispensable addition to my smart home setup.",Rated 5 out of 5 stars
ncrssqueeker,"1 week ago | Aug 30, 2024 12:40 PM",I was given this Google Hub by my hubby so I could keep an eye on the cameras and the weather while I work. I moved to this from an Amazon Show and I really like it. The screen is the perfect size. It's overall footprint is minimal on my desk. It has a ton of features on it and I am sure I am not using most of them.,Rated 5 out of 5 stars
Summer1,"1 week ago | Aug 30, 2024 12:34 PM",It's perfect for my needs. I love that I can see what I'm asking on the screen.,Rated 5 out of 5 stars
JacminanG,"1 week ago | Aug 30, 2024 10:27 AM",Love it! Agreat purchase. Love  Enjoy  lovely  Great,Rated 5 out of 5 stars
Cstjean,"1 week ago | Aug 28, 2024 10:12 PM",I had two strikes for being late to my job. Once I bought this display it helped me become on time and also is the hub of my whole room / house setup. Definitely need a Google home in your house!,Rated 5 out of 5 stars
Ursula,"1 week ago | Aug 28, 2024 7:04 AM",The Google Hub is great. Connects to many different brand products.  I'm not tech savvy but have a lot of gadgets and I can do mist things with ease.,Rated 5 out of 5 stars
NickV,"1 week ago | Aug 26, 2024 8:43 AM",Let Google into your life Let them know the information you want all day let them track you with their cameras and microphones,Rated 4 out of 5 stars
dlbroussard,"2 weeks ago | Aug 23, 2024 3:56 PM",Ok display and the software is doesn't run smooth at all.,Rated 3 out of 5 stars
dlbroussard,"2 weeks ago | Aug 23, 2024 3:56 PM",Ok display and the software is doesn't run smooth at all.,Rated 3 out of 5 stars
