Profile Name,Date,Data,Star
Kassidy,"Reviewed in the United States on August 15, 2024","I was definitely a bit hesitant at first, but when my Fitbit died I figured it was time to give this a try. Price was way more affordable than buying from the store. Product came quickly and looked BRAND NEW. Besides a generic box, watch came with accessories and nicely packaged. I’m so happy I purchased this product. Don’t let the ‘refurbished’ title scare you, has all the same features/look as a new watch with half of the price. I do wish battery life was extended, my Fitbit lasted 2x as long as my apple watch. However, I love the extended features including reading/sending texts, being able to accurately track specific workouts, track sleep, and take calls. If you’re in the market for a watch, this is the one!",5.0 out of 5 stars
Jake,"Reviewed in the United States on October 8, 2023","This isn't a long term review, but if anything changes I'll update it. As of now the watch is amazing. I see after one person mentioned presentation, that improved greatly with mine lol. Packaging aside, everything is working great, battery life is 100%. The entire watch looks and feels brand new from the apple store. The first day had me seriously concerned about the battery lasting though, but apparently the watch was just doing a lot of downloading and setting up in the background which was decreasing the battery by at least 20% per hour which I thought seemed nuts. After changing some settings and getting things set up efficiently plus the set up process finalizing, everything is perfect. Under normal circumstances it's been on for over an hour now with a few text alerts coming through etc. and battery is still 100%. At this rate it should last a solid amount of time. The apps on this are really cool. The health stuff like heart monitoring and blood oxygen levels are awesome to have. The workout apps are set up pretty nice as well. It would be nice if there were a better way to do updates and whatnot though than doing it via your iphones bluetooth. Like youtube reviews etc. mention it's sooooo slow. I thought something was wrong with the watch at first. Set up and downloading watchOS 10 take a solid 3-4 hours. The install is beyond slow doing it via bluetooth. Going through this thing with a fine tooth comb and getting every single app optimized for battery efficiency etc. took a good 12 plus hours and a ton of youtube videos all mentioning different little tips and tricks. Lots of troubleshooting occurred too. The complications on the watches face screen weren't functioning right which required to reset the location and privacy data in the phone plus a couple other steps. The watch was doing a lot of weird stuff that was destroying it's battery and wasting storage at rapid speeds. That's all just apple, nothing to do with it being renewed or the seller etc. They all run the same software in them regardless. Just being real about it, the set up process of this watch wasn't pleasant and kinda made me disappointed in the purchase initially but once I got that out of the way it's working incredibly well. Also this being a cellular version, you need to contact your carrier in advance and register this with them via the IMEI number from the phone's about section. You'll just get errors when trying to set up cellular prior to that. All in all though, the watch is great, and I love the design, especially how easy it is to switch out straps of whatever style or color you want. Those are much cheaper than I expected them to be as well so I immediately grabbed a handful of different options. Definitely recommend anyone interested in an apple watch to try this. It shows up in brand new condition, these only came out less than a year ago so even original parts are still very lightly used with a long life ahead of them. Even with a few frustrations, it gets two thumbs up from me.",5.0 out of 5 stars
Andrea C,"Reviewed in the United States on August 6, 2024","The watch is just like brand new, and I couldn't be happier with it. It's all set up, and the apps and features work perfectly—you'd never guess it's refurbished! It's an amazing watch at a fantastic price, and I would definitely recommend it to anyone looking for a great deal.",5.0 out of 5 stars
Tyler pearce,"Reviewed in the United States on August 29, 2024","Was Alittle iffy about getting a refurbished watch but bit the bullet and seen this third party source as a great choice and everything came as described watch is in great condition, just on a little note the charger doesn’t work well but they offer to replace it so that’s great service !!!",5.0 out of 5 stars
Marcos,"Reviewed in the United States on August 7, 2024","I love the fact that you can purchase a protection plan on refurbished items. Hoping to never use.
This watch is super awesome. Please read or get to know all the amazing features. Well worth it. This came in like new and works perfectly. Well worth the cost. My favorite thing is that I don’t have to have my phone with me all the time. Amazing how many incredible things this does , especially the apps and interactive health features.",5.0 out of 5 stars
Len Mc,"Reviewed in the United States on July 7, 2024","Watch arrived in packaged in a very simple brown card board box. So don’t get put off by this since it is not the white glove service you may have experienced from Apple. If you have an older iPhone please ensure the watch is compatible with your latest iOS. In my case I not had an excuse to upgrade my phone :) Once downloading the app to my phone it was easy to set up the iWatch and has worked well. Condition was excellent, no scratches or marks and band appeared to be new.",5.0 out of 5 stars
ℕ𝕒𝕡𝕒𝕪𝕤𝕙𝕟𝕚 𝕄𝕚𝕝𝕝𝕖𝕣,"Reviewed in the United States on September 3, 2024","First things first did anyone that bought this product have trouble with the fitness app not track ur steps, the heart rate app not show you ur heart rate and then not be able to add ur own watch face like picture faces?? Other than those issues it works great battery life is 100%. I need the heart rate app the work bc that is a major need. Customizing is a big thing for me and I can’t to that and I work all day everyday and want to see how may steps I get. It’s a comfortable fit. The color is what I wanted size is not to big not to small. Its also saying I have no contact witch I do. Just need help with those issues please and thank u",4.0 out of 5 stars
Marilín,"Reviewed in the United States on August 4, 2024",Great quality for the price! I would have liked to receive it in an original box instead of a barton box .. but again the price makes up for it. The only thing I dont love is that the calls quality is not amazing and the battery of course has a shorter life so it doesn’t last as long. A part from that I’ve had no other issues.,4.0 out of 5 stars
Mark,"Reviewed in the United States on August 24, 2024",I bought two one smaller and one larger for my wife and I. Hers came with the fast charge capable USB-C. Mine came with the USB-A that hasn’t been sold since Apple Watch 7. I understand it’s refurbished but….,4.0 out of 5 stars
Oldest kid,"Reviewed in the United States on August 20, 2024","I was initially hesitant to buy a refurbished Apple Watch, however the price was definitely a deciding factor. I received my watch yesterday and it was in great shape! Looks brand new. Took me a while to set up but it was well worth it. If your thinking about buying a refurbished model, I highly recommend this seller.",5.0 out of 5 stars
anna,"Reviewed in the United States on August 30, 2024","I was skeptical that it was going to work as any store-bought Apple Watch, but it has gone above and beyond my expectations. It works as it is supposed to, and it is a super convenient utility.",5.0 out of 5 stars
conradb212,"Reviewed in the United States on July 5, 2024","When my four-year-old Apple Watch Series 6 died after swimming laps in a pool, I didn't want to buy a new Apple Watch Series 9, which no longer has the blood oxygen sensor functionality. So for much less money I got this Series 8 Apple Watch in excellent condition. Transferring from an old Apple Watch to a new(er) one is far more cumbersome as Apple's brief, chirpy ""instructions"" imply, but eventually I got it done. The sole downside of this otherwise like new watch was that Battery Health was only at 84%. Apple must have changed the Apple Watch OS since I got it, because now it shows 100%...",4.0 out of 5 stars
Ricky M.,"Reviewed in the United States on August 27, 2024",The watch is pretty much brand new and I found no cosmetic issues. The battery health is at 88% which is not a big deal. I will definitely purchase another refurbished product through amazon in the future.,5.0 out of 5 stars
