Profile Name,Date,Data,Star
Honest Abe,"Reviewed in the United States on July 22, 2021","I have read the reviews and I see that some people hate these bulbs but I must say that these are the best bulbs that I have had. They are rock solid and they work exceptionally well with Alexa and our Amazon Home. The quality of the bulbs can't be beaten. Now, what are some of the downfalls of LIFX? Well as some have commented, getting the bulb to connect to wifi and subsequently Alexa is a little more involved than most light bulbs but to me, it wasn't crazy or insurmountable, and once connected, the connection is flawless and reliable. The thing is that you have to scan a QR code for each light and go through the setup process individually for each light which can seem like a hassle but it's really not (it's just not instant gratification right out of the box). To me, that's the biggest issue if you can even call it an issue. The lights are expensive but get what you pay for. They work great, the color range is incredible. I have tried other brands and nothing compares. I can tell Alexa to do virtually anything with those lights and it's done. There are no connectivity issues ...I mean none!!! If you can afford it....I would get these lights. I know you will be satisfied and I believe the value will be worth the cost. I'm not wealthy or have money to just through around on light bulbs but it is my belief that these will last me a long time with minimal upkeep and hassle.",5.0 out of 5 stars
Adam,"Reviewed in the United States on May 22, 2022","Bulb is bright without being overly bright. Didn’t want something I had to shield my eyes if I looked at it.

Had some initial trouble pairing straight to homekit so I paired it with the Lifx app. Bulb would be discovered in homekit when I scanned the code, but then would just time out instead of adding to the home.
Lifx app worked great. Tons of features homekit doesn’t actually offer yet, but my inner nerd wanted it with all my other smart devices.
Reset the bulb via the Lifx app. Then paired straight to homekit and worked flawlessly. I don’t have very many WiFi smart devices (mostly ZWave and run nodered to pair to homekit which could be part of my initial struggles) so I’m just thinking it was a fluke.
Have enjoyed this bulb very much. My 4 year old gets a kick out of asking Siri to change the color.",5.0 out of 5 stars
Karli,"Reviewed in the United States on August 12, 2024","Some smart bulb technology is not compatible with Apple Home, but these are!! It's so easy to use and the app is awesome. It offers the full spectrum of visible light, and a color wheel, as well as different shades of white to use throughout the day. I truly love these bulbs and am happy to see their prices becoming more reasonable over the years.",5.0 out of 5 stars
S. Gilmore,"Reviewed in the United States on November 29, 2023","Pros and Cons: Each bulb is individually addressable over WiFi so no hub is needed, although this means that large deployments can easily overwhelm lower-end networks and it also limits their top-notch iOS app to only a single phone. Their Apple HomeKit integration is so-so as it gives access to only a small subset of the full power of the bulbs but it does enable multi-user access to the entire network of bulbs, including remote access. Despite those limitations, and although they're less popular in the market, I still believe LIFX is the category leader: their bulbs are bright and their colors are truer and deeper and they support and integrate with other smart platforms.",4.0 out of 5 stars
Brandon,"Reviewed in the United States on October 14, 2021","I'm guessing some of the negative reviews are written by boomers or people who are tech-illiterate. I purchased a single light and received it yesterday. Plugged it into my standing lamp, turned it on, downloaded the LIFX app (android), and began the setup process.
The setup was ridiculously easy and straightforward. It auto-recognized the light, I had to put in my wifi password, and 'bam' it's done. It simply can not be any easier than that.
Easy to control through the app. The colors look great. Love all the color configurations and the ability to change the brightness. You can really set the mood in your room. My favorite feature by far is the ability to schedule your lights. With the winter months nearly here and the sunrise happening later, I can schedule the light to begin to fade in to maximum brightness over the course of 10 minutes to help me wake up before the sun rises.
I should not that I haven't updated the firmware since everything works perfectly out of the box. Typically on devices such as this you don't want to update the firmware unless you have to.
My only pain point (4 stars) was the value for money. They are a little expensive. Not sure if I'm paying more for the tech or the brand but I was happy enough that I ordered the 4-pack today so set some more up in my room.",5.0 out of 5 stars
Mea,"Reviewed in the United States on November 30, 2023","I use a Linux desktop as my daily driver. This review and my rating of the LIFX light bulbs is mostly concerned with that... using them with Linux. I was pretty delighted to learn after installing them, I could ping them directly over wifi. You *can* use them with a cloud based home automation system, but my net connection is pretty flaky, so I *LOVE* that I can ping them directly.
I was able to find a node.js package that did most of the heavy lifting and provided a simple API to turn them on, turn them off and change their colour. I *think* it can also setup animations, but I'm not really into that. I saw a reference to a python package, but I don't do python anymore.
I was able to find the docs (they're not perfect, but they're good enough) so I'll probably add a Janet or Clojure package... cause... you know... lisp.
The don't seem to be the brightest bulbs I've seen, but they're good enough for my living room. You might be sad if you tried to light a 14' x 28' condo with just two bulbs. I would say go with 6 because blue and purple seemed to be dimmer than green and red. That might be a feature of human colour perception or maybe it's the LEDs in the bulb. But when I tried out my Commodore 64 colour scheme, the cyan was MUCH brighter than the blue.
I would love it if these things were a bit cheaper, but they're cheap enough that I bought a few. I rated ""value for money"" at four stars. I'm happy with the purchase and definitely don't feel like I was ripped off.
So... if you're a Linux person and you want to do coloured light bulbs like all your iProduct friends, these are great. If you grok node or bash, it's pretty straight forward to make them change color at a certain time of day, when your spouse emails you or the CI/CD pipeline stalls (again.)",5.0 out of 5 stars
Derek,"Reviewed in the United States on August 14, 2024","LIFX are the only people who make these right tbh - capable of saturated and unsaturated colors alike at every brightness, and power supplies that don't flicker like mad because you dared to have a gaming PC on the same circuit. If you want to actually use the colors of your smart bulbs, get these. The cheaper brands are fine for warm -> cool white or basic primary colors, but have insanely bad color reproduction as brightness lowers.",5.0 out of 5 stars
CSSD,"Reviewed in the United States on September 8, 2021","ABSOLUTELY NO CUSTOMER SUPPORT & bulbs become obsolete (unusable) quickly
They have a whole bunch of articles on their website, but absolutely no way to contact anyone directly with a question.
Bought a bunch of the LIFX minis a couple of years ago. Less than a year in, one became unresponsive. Did all the troubleshooting, nothing worked. Customer service was there, but pretty much said there was nothing they could do. Waste of money, but the rest still worked.
Recently bought this set of 2 lights. App had a super hard time setting them up (had to reset them -- which thankfully I knew might be the issue, then eventually one set up in the app). As I was setting them up, I noticed my older bulbs needed a firmware update, so I did that... and ALL of them became unresponsive. Tried resetting multiple times, finally got the app to recognize one, but it can't be used unless it's added to HomeKit which requires a number... which is supposed to be printed on the product, but is not. So now I have 1 new bulb that works, but 4 old ones that won't do anything.
TOTAL waste of money. Software AND hardware is super buggy, and worst is that there's no more customer support! Once you buy the stuff, you're on your own, and apparently once the bulbs become a few years old, new firmware will render them useless. No way to revert them to how they were before.
Get another brand!",1.0 out of 5 stars
RobS,"Reviewed in the United States on August 26, 2024","I've had these going for a number of years now, and I can say, if you can find them, they're worth buying.",5.0 out of 5 stars
johnny,"Reviewed in the United States on September 2, 2024",Easy to set up and control from my phone.,5.0 out of 5 stars
