Profile Name,Date,Data,Star
MarkoS,"1 week ago | Aug 31, 2024 8:11 AM",Love my new google nest hub max.  Order it online went to the store to pick it up didn't have to wait not even 15 minutes and it was in my hand and out the dor . Great service,Rated 5 out of 5 stars
Art406,"1 week ago | Aug 30, 2024 6:39 PM","This is our 3rd Google Hub Max, very happy & satisfied with all my purchase.",Rated 5 out of 5 stars
CesarB,"1 week ago | Aug 30, 2024 2:35 PM","The setup was quick and easy. 
I use it daily while I make food for the kiddos.",Rated 5 out of 5 stars
Marmar,"1 week ago | Aug 30, 2024 12:03 PM",All I can say is I love it. Easy to hook up & sound quality is amazing!! Purchased one for my mom & I & mom loves it as well!!!,Rated 5 out of 5 stars
Dshah,"1 week ago | Aug 30, 2024 11:52 AM","Large  display, enjoying , very easy to use. Customer service was very good, helped me with the decision. 
decision",Rated 4 out of 5 stars
MonteM,"1 week ago | Aug 26, 2024 11:10 PM","Great picture and easy to use with all my other smart products as outdoor cameras, doorbell and light bulbs. I love how i can control music from the hub to my speakers and mini hubs throughout the house. Even the bathrooms, every room is a concert",Rated 5 out of 5 stars
JohansM,"2 weeks ago | Aug 23, 2024 9:34 PM",Best for smart home the response is quick and the latest version is easy to use,Rated 5 out of 5 stars
GFNY,"2 weeks ago | Aug 23, 2024 11:37 AM",Great product for quick view of days events and weather.,Rated 5 out of 5 stars
LgFan,"2 weeks ago | Aug 18, 2024 10:49 PM","Pretty good overall.  My main complaint is that I have to have the camera on to use gestures.  I don't like having the camera on at all times.
Had been looking at this for some time and when they knocked $100 off the price, I added $30 in reward certificates so it just cost $100.  Certainly worth that.",Rated 4 out of 5 stars
XenoCain,"3 weeks ago | Aug 13, 2024 4:57 PM","I love all my other Nest products, but this thing is absolutely useless! I bought this months ago and finally set it up. Unfortunately, I'm past the return window or I would return it. It can't do anything effectively. 

The interface is awful, the search search system crashes all the time, the screen times out and doesn't save where you left off, you can't jump between apps or 'background' anything and come back to it, hardly any apps are available for it. I don't understand what Google's goal for this product is if it can't at least do what a phone or tablet can.

I can't think of a single good reason to buy this product. I would have been way better off just buying a tablet and a stand for it.",Rated 1 out of 5 stars
BettyB,"1 month ago | Aug 9, 2024 7:24 PM",It’s so handy and convenient whenever I have a question or a need to hear a song on my mind.,Rated 5 out of 5 stars
RosaM,"1 month ago | Aug 9, 2024 11:27 AM",Great and easy product to have at the house love it,Rated 5 out of 5 stars
4Cujo,"1 month ago | Aug 9, 2024 11:14 AM",This was a great purchase and upgrade from the earlier Hub version.  The price was incredible!,Rated 5 out of 5 stars
suhey,"1 month ago | Aug 9, 2024 10:16 AM","The Nest Hub Max is the perfect product for my home office.  I can steam iHeart Radio, Apple Music, as well as view my family photos on a larger screen.",Rated 5 out of 5 stars
Tido54,"1 month ago | Aug 7, 2024 4:36 PM",Great item work good with youtube music would recommend,Rated 5 out of 5 stars
Villageanne,"1 month ago | Aug 5, 2024 3:09 PM",Last Christmas I replaced both our daughters Google Home Hub with the Google Max. Last week I replaced my husbands and I also purchased myself one.  The Google MAX does so much more than the smaller Google Hub. It has a camera and microphone making it easy to chat live with the Grandkids. I am still learning what all it do but I’ve learned that I can have Google find just about anything quicker than I can open an APP. Google even opens YouTube to my specified music or video.  I love it. My husband uses his in bedroom for an alarm clock.  I use mine mostly in living room studying.  It is more expensive than the home hub but goes on sale making it affordable. It is larger and more attractive in both rooms.,Rated 4 out of 5 stars
Natasha,"1 month ago | Aug 2, 2024 11:08 PM",Way better than the Pixel!  The Pixel does not offer home monitoring. Hopefully they don’t discontinue this one.,Rated 5 out of 5 stars
ChristopherS,"1 month ago | Aug 2, 2024 4:15 PM","Its like having a small interactive tv! If youre thinking about buying one, its worth it. I use it more than i thought I would.",Rated 5 out of 5 stars
Ranger1,"1 month ago | Jul 30, 2024 4:46 PM",Great screen quality and the sound quality is crisp and gets fairly loud!,Rated 5 out of 5 stars
Simba,"1 month ago | Jul 30, 2024 12:31 PM","The Nest Hub Max is like having a helpful assistant in your home. This charcoal-colored smart display fits nicely in most rooms and does a lot more than you might expect. The 10-inch screen is crisp and clear, great for watching recipes while cooking or checking your calendar. Video calls are a breeze - just say ""Hey Google, call Mom"" and you're connected. The camera quality is good, making it easy for friends and family to see you clearly. Sound-wise, it's impressive for its size. The built-in speakers and subwoofer pump out decent audio, whether you're listening to music or watching videos. Google Assistant is the star here. It responds quickly to voice commands, helping you set timers, control smart home devices, or get quick answers to questions. On the downside, privacy might be a concern for some. There's a camera and microphone involved, though you can turn these off. Also, while it's not cheap, it offers good value for what it does.
Keep in mind, you'll get the most out of this if you're already using Google services or have other smart home devices.",Rated 5 out of 5 stars
JohnH,"1 month ago | Jul 27, 2024 3:20 PM",An exellent device! The sound quality is so much better than expected. Sometime google is a bit finicky but otherwise well worth it.,Rated 5 out of 5 stars
RoseS,"1 month ago | Jul 26, 2024 1:30 PM","Awesome product, great to listen to outdoors and screen very visable",Rated 5 out of 5 stars
JenniferB,"1 month ago | Jul 18, 2024 8:29 PM","Oh my , it is AMAZING!!! 
I ABSOLUTELY LOVE IT,  My child as well!! Google did it BIG ON THIS ONE! 
A MUST HAVE!! It does EVERYTHING!",Rated 5 out of 5 stars
BennyJ,"1 month ago | Jul 16, 2024 7:44 AM","Okay so now this is a review that you can really sink your teeth into so grab a quick seat.

So why should you get this, its a smart speaker, camera, assistant, and internet encyclopedia and we haven't even gotten to the back of the box. You can use your voice, the  touch screen, and hand gestures to interface with it and its all extremely responsive and accurate. 

This is what you need if you are looking for the first piece of your smart home project. Look no further!",Rated 5 out of 5 stars
Allan,"1 month ago | Jul 12, 2024 12:26 PM",Love the vividness and clarity of the hoots and versatility of this item,Rated 5 out of 5 stars
Sarah,"1 month ago | Jul 10, 2024 1:11 PM",I love it and can see that clear camera when I use nest app.,Rated 5 out of 5 stars
GingerFanboy,"2 months ago | Jun 28, 2024 8:35 PM",Google products have come a long way! and the wife loves it for the picture display easy selling point guys wink wink,Rated 5 out of 5 stars
