Profile Name,Date,Data,Star
JohnS,"8 hours ago | Sep 7, 2024 9:12 AM","Very happy with this purchase. Love the smart operating system because it auto changes app by program viewing memory. Nintendo Switch looks great, streaming works the best I've ever had, and controller for My Sony Blu ray player controls seamlessly. I have a small living room, so speakers are fine standalone but rocks my world when digitally connected to existing stereo. I would recommend purchase of this TV.",Rated 5 out of 5 stars
JonnetteL,"22 hours ago | Sep 6, 2024 7:40 PM","Absolutely informative, genuine and fun experience with Dana the day we purchased our tv & soundbar!! Thank you for helping us Dana!",Rated 5 out of 5 stars
Spark,"1 day ago | Sep 6, 2024 2:05 PM",Great picture and sound quality. Fits perfectly.  75 inch was too big.,Rated 5 out of 5 stars
EddieS,"1 day ago | Sep 6, 2024 1:06 PM",This Sony has the all around besttv I ve had for life but it.,Rated 5 out of 5 stars
Romaine,"1 day ago | Sep 6, 2024 10:51 AM",I would buy again!! I recommend this TV it's on the expensive side but worth every dollar!,Rated 5 out of 5 stars
MiguelA,"1 day ago | Sep 5, 2024 9:35 PM",Truly the best tv for the ps5 and it’s like having your own movie theater,Rated 5 out of 5 stars
MarioH,"2 days ago | Sep 4, 2024 6:43 PM","Beautiful display and awesome graphics, my kids and I spend our time binge watching One piece.",Rated 5 out of 5 stars
RyanB,"3 days ago | Sep 4, 2024 11:24 AM",Sony crushed it yet again! Never been disappointed with a Sony TV! This one makes a great addition to our newly redesigned living room!,Rated 5 out of 5 stars
vmum,"3 days ago | Sep 4, 2024 8:34 AM","I love the sony products and other products TV, refrigerator",Rated 5 out of 5 stars
LuisA,"5 days ago | Sep 2, 2024 2:48 PM",Really good quality pictures and easy to download all apps,Rated 5 out of 5 stars
PegC,"5 days ago | Sep 2, 2024 3:07 AM",Very satisfied with my purchase and the overall assistance in choosing our TV and the installation.,Rated 5 out of 5 stars
SamJ,"5 days ago | Sep 1, 2024 9:23 PM","It wasn't as good as the last TV. I really thought it had three d caught it, but it did it and it was a lot smaller than my other one",Rated 1 out of 5 stars
InderpreetS,"1 week ago | Aug 30, 2024 6:57 PM","It’s a wonderful tv I suggested my friend Mr Arun Prakash also 

Also I bought earlier for my friend

If you say 

In this I made three purchases of this tv",Rated 5 out of 5 stars
