Profile Name,Date,Data,Star
JacobB,"2 weeks ago | Aug 23, 2024 8:45 AM",This this does what I ask it to do.it protects my PC from all things airborne and keeps my smokers home smelling great. Yesterday I had some frozen pizza smoke up and the smoke was absorbed very quickly. I use the heat for my bathroom. My fav part is that I can operate from my phone and the remote. Two thumbs up!,Rated 5 out of 5 stars
phone2018,"3 weeks ago | Aug 11, 2024 8:48 PM",the dyson smart tower is reasonably  it cools of the room well,Rated 5 out of 5 stars
YafetJ,"1 month ago | Aug 7, 2024 2:34 PM",Please don’t buy this brand they don’t honor their warranty they device don’t even last 3month They are bad in customer service I shipped my air purifier July 2 and they told me i will get my device in two weeks but this is the 5th week and I didn’t hear from them I don’t recommend any of there devices and I will not buy there devices ever,Rated 1 out of 5 stars
Joeboy,"1 month ago | Aug 2, 2024 8:34 PM","This brilliant system not only purifies your air, but plays with comfort temperatures too. Love it!",Rated 5 out of 5 stars
LandonG,"1 month ago | Jul 14, 2024 9:21 PM",Works so great in our house. We have a dog and it helps so much.,Rated 5 out of 5 stars
MsDacia,"2 months ago | Jul 7, 2024 8:17 PM","I love that is works with Alexa. It is a little loud once you go to 8, but no other complaints.",Rated 5 out of 5 stars
ElenaN,"2 months ago | Jul 3, 2024 2:45 PM","This tower provides great air circulation. You can feel the difference in room temperature almost instantly. I know fans are not the same as ACs. However, this one manages to keep my top-floor bedroom 2 degrees cooler during hot summer days. The mobile app is also very handy.",Rated 5 out of 5 stars
KariK,"2 months ago | Jul 2, 2024 11:13 AM",Feeling great about all of your purchases is the best feeling any company can give. Best Buy does that!,Rated 5 out of 5 stars
FidelA,"2 months ago | Jun 25, 2024 12:56 PM",I love this machine!! Its awesome at cleaning contaminants from the air. The heater works great except I use mine too much cuz this is my 3rd one in 7 years. Im a smoker and this machine is one of the best.on the market to clean the air.,Rated 5 out of 5 stars
Kyle,"2 months ago | Jun 23, 2024 7:10 PM",Have been using this all year round. Love the heater capabilities and being able to control via the app. Keeps the air quality nice and clean.,Rated 5 out of 5 stars
AlexesB,"2 months ago | Jun 23, 2024 6:03 PM",Excellent Air purifier plus the heater and fan combo.,Rated 5 out of 5 stars
AmandaC,"2 months ago | Jun 16, 2024 8:01 AM",Works really well . We use it in my son’s Nursey and we never smell his dirty diapers! And his room is always a nice temp. It is a little loud though the higher you put the fan so we always keep the fan on the lowest setting which is a little unfortunate,Rated 5 out of 5 stars
KyleE,"2 months ago | Jun 15, 2024 4:09 PM",very nice but very pricey. I like how quite it is. This fall the heater came in very handy to heat up a cooler room in the home.,Rated 5 out of 5 stars
Jlop,"2 months ago | Jun 12, 2024 4:23 AM",Works very well in my room. I have a dog and it really makes a difference.,Rated 5 out of 5 stars
EleanorP,"3 months ago | Jun 7, 2024 3:59 PM",Easy to use. No assembly required. Just a quick plug in to outlet.,Rated 4 out of 5 stars
Subuy,"3 months ago | May 31, 2024 4:29 PM","Bought this filter since I was living with a friend who had a cat and I was allergic to them, this thing helped me so much, made my room its own breathing space and in the winter the heat mode would keep my room warm all winter long.",Rated 5 out of 5 stars
Gamer,"3 months ago | May 24, 2024 11:41 PM","Too glitchy, not consistent. Still couldn’t breathe well, didn’t notice difference. For the price, you’d expect perfect.",Rated 1 out of 5 stars
April,"3 months ago | May 24, 2024 7:25 PM",Doesn't really cool a room well.  But it does heat.  Noisy at lower levels.  Not sure about how it filters the air.  It gives readings but I don't think it's accurate.,Rated 2 out of 5 stars
IlianaG,"3 months ago | May 23, 2024 10:56 PM","We live in top floor high rise apt , it gets really hot on sunny days & supper cold on winter days . This a great invesment for those tipical days ! Today defently was a must . My AC broke down it got supper hot in my apt over 90 degree in month of may . Long day for maintance to fix it . I forgor about my AC dyson , it completed cooled my living room FAST.. you can feel the diffeence right away . I will buy a few more for some other rooms when my husbad loves the cold so i sometimes put in my side the heater . Saves from putting the whole place warm. I use it & love it",Rated 5 out of 5 stars
DPAS,"4 months ago | May 3, 2024 3:56 PM",Awe clean fresh air now i live in a very dusty area and this has been a life saver,Rated 5 out of 5 stars
ThomasC,"4 months ago | Apr 30, 2024 8:12 AM","I bought this due to the high pollen count in my state this spring. I set it up in my living room. It was easy to assemble, all I had to do was put the filter in place. The Dyson App is great. The App tells you the quality of the air in the room. I keep the fan on 5 setting and it is very quiet. Be very careful when you take it out of the box not to throw away the remote. It is very small and can be overlooked, otherwise I am happy I purchased this item.",Rated 5 out of 5 stars
BabacarC,"4 months ago | Apr 26, 2024 3:35 PM",Easy to move around my apartment. Practical and efficient,Rated 4 out of 5 stars
RichardG,"4 months ago | Apr 14, 2024 9:13 AM","Wanted to have an option to cool an upstairs master bedroom.  Set the fan up around 3pm.  Temp outside was 85 degrees.  After running the fan on the lowest cool setting for 4 hours, the temp in the room actually got hotter than it was outside!   The circulated air from the fan felt no different from a conventional fan, and it did absolutely nothing to change the overall temperature in the room.  After owning 3 different Dyson vacuums over the last 10-15 years, I am VERY disappointed with the performance of this product.  This will definitely have me considering other options the next time I need to replace one of the vacuums.",Rated 1 out of 5 stars
MaryP,"5 months ago | Apr 5, 2024 6:02 PM",100/100 best thing I could ever buy and the purifier is so refreshing,Rated 5 out of 5 stars
JonathanA,"5 months ago | Apr 3, 2024 9:40 PM","Whatever you do, do not buy Dyson Hot+Cool systems if you are hoping to have a long-lasting product with adequate customer support. I have gone through several, and they consistently break down immediately outside of the warranty period (and Dyson offers terrible customer support for them). If you're looking for air purifiers, there are better (cheaper and longer-lasting) options, and there are better options for heating as well. It would be a great device, and I would give it 5 stars, but for the fact that it fails so completely in relatively short order.",Rated 1 out of 5 stars
Albundies,"5 months ago | Mar 31, 2024 12:02 AM",Wanted a heater to keep my apartmer cozy. This is the perfect choice and hepa filter is a plus!,Rated 5 out of 5 stars
jdang813,"5 months ago | Mar 30, 2024 12:52 AM",Love it so far we’ve been using distilled water to prevent mold,Rated 5 out of 5 stars
JJ24,"5 months ago | Mar 23, 2024 12:29 AM",I love this heater air purifier unit. It’s easy to use and really heats and cools well.,Rated 5 out of 5 stars
Excellent,"5 months ago | Mar 22, 2024 4:33 PM",Great fan - blows good hot air as well as cold. Powerful machine. Very quiet.,Rated 5 out of 5 stars
FirL,"5 months ago | Mar 21, 2024 12:48 PM",Fan works as expected. Replacement filters seem expensive!,Rated 4 out of 5 stars
