Profile Name,Date,Data,Star
Sidney Lawrence,"Reviewed in the United States on October 23, 2023","Since it was the ""Pro Version"" , I was a little hesitant. It was an easy install, I followed the instructions and there was no problem. It's still learning our routine but I'm completely happy and would definitely recommend this Thermostat !!!!",5.0 out of 5 stars
TennisDrum,"Reviewed in the United States on April 7, 2017","I finally jumped onto the Nest bandwagon and love it. Easy to install in a few minutes. Came with a back plate to cover up the area my old thermostat covered. Set up is a breeze and really well thought out. Quickly learns your patterns and can be set to anticipate the temperature changes so that when you wake up in the morning the adjustment has already been made. Part of set up is telling it your ZIP code, so it knows the weather (and can tell you) so it anticipates how hard the system needs to work to heat or cool and whether it will need to be on AC or Heat. iPhone app is a breeze and well thought out.

Since getting the Nest, I've also purchased some WeMo devices and they all work together well. The WeMo app found the Next thermostat on our network and now I can use the single iPhone app to control all of that (don't have to go back to the Nest app if I don't want to). Haven't gotten the Amazon Echo/Dot but that's likely next and will make using these devices even easier.",5.0 out of 5 stars
bobfp,"Reviewed in the United States on February 22, 2024",The previous Nest didn’t last but a year. Google had some issues with a number of them. Ours was part of a new HVAC System that we had installed. Went through hoops over the phone. Finally we were offered a replacement free. However the Google representative wanted our credit card information and said once we returned the bad one they would credit our account. Told him that I would not go that way and that didn’t make sense and politely hung up. I just purchased another through Amazon. Works great so far.,5.0 out of 5 stars
Blessed by God !!!,"Reviewed in the United States on July 14, 2024",We so love this device.,5.0 out of 5 stars
C. Roberts,"Reviewed in the United States on October 2, 2020","I really liked Nest better before Google bought them. The software on the device was simple, elegant and worked the first time. Not so with Google - it takes at least two or three tries to get these Nest devices added to your existing account. I have no idea why it fails the first two, three and fourth times...and then magically it works - it's just a bad design and does not give you confidence in the device. The hardware installation was easy - but Google needs to update the package instructions...you guys stopped including the cool little screw driver that used to come with the Nest devices but you left it in the installation page as a part you include in the packaging. Once it's up and running, its great....but you need to be patient with it and not give up after the first couple of failed phone app equipment adds. Keep your phone is close proximity to the device - it attempts to add it that way - and sometimes it fails and have to keep trying....with each try it gets a bit further in the installation, finally getting on your wifi and getting it on the phone app. Overall - I loved Nest from the first day - you can see Googles hand here...and they messed up a very elegant and well designed device, but at the end of the day after a few try's it worked",4.0 out of 5 stars
HULKGAMECRIT,"Reviewed in the United States on May 13, 2024","outside the fact google dared to use motherboard components that cant survive even a year of use, theres some pretty large flaws with the app.

you cant sync ur nest to your phone in the case of a problem, you cannot connect the nest to your pc via usb to troubleshoot anything on the device even tho it has a usb port . the app cannot tell when wifi has died. it enters an endless loop of hunting for a signal or blaming ur house when the device fails its job

there no firmware updates online, so if anything bad happens during an installation or upgrade ur basically sol, this imo is unbelievable

outside all of this, the app cant easily tell if ur home via ur phone, it maybe senses only once or twice a day max meaning it always runs the ac for hours until finally entering evo mode. its a simple api call but maybe google felt like they wanted to save money so they limited the interaction. they should have come up with a better solution. its a power waster.

take away: go find a smart thermostat that aint a google product. the name of the game is useful functionality, easy programming, easy repair, and easy diagnostic. google was sloppy on everything involved and now im facing rmas because i decided to trust them",1.0 out of 5 stars
moore,"Reviewed in the United States on March 29, 2024","Nest makes a very nice thermostat but like anything that is solid state
Lightning will burn them up. Still if used correctly it will save you money on electricity. I have 3 units on three Nest and please.",5.0 out of 5 stars
Broham Dingleberry,"Reviewed in the United States on December 7, 2016","Easy setup (read below if you have a two wire system without a C (common) wire), awesome interface, top notch quality, what else can I say? Love that I can control so many features from my laptop and smartphone. I also have three Nest Protect smoke and CO detectors which are monitored by the same app. Nest/Google hit not just a home run, but a grand slam out of the park with these two products.

-------------------

If you have a conventional two-wire system like me (Rc and W1), this is exactly what you need to get your smart thermostat working!

When I removed my Honeywell digital thermostat (non wifi), it had only two leads connected: Rc and W1. Not knowing anything about the latest generation of wifi thermostats, I went ahead and ordered the Nest Pro Gen III thermostat. Upon setup, I ran into two codes; e73 and e74. Essentially, they had to do with no power going to the unit. my VIN and VOC were 2.50 so I dug around on the internet, which led me to this transformer.

One lead went to C (24v common) and the other to Rh (see my photo of the interface's digital connection diagram). You may need to swap between Rc and Rh if you still have a error code readout. After plugging in the transformer, the VIN AND VOC read 34.17!!! Remember to plug this transformer into a surge protected outlet to prevent a possible damaged thermostat.",5.0 out of 5 stars
Capt Bob,"Reviewed in the United States on November 27, 2023","March 2024 update: Removed 2 stars. Reason 1. The app frequently wants me to log in again. A real pain. The checkin requires me to turn on cookies and allow Javascript both of which comprises my security. In addition I greatly dislike Google’s constant spying on mre. Reason 2. I cannot turn off the Greenies programmed into the app that constantly want to invade my thermostat settings and influence what I buy.

This is the fourth one I have installed n my house. It is fairly easy to set up. The app is really good.

The thermostat as it clearly states in the description requires the C wire. However, if you have a two wire system, you can purchase an optional device that connects at the furnace and allows the thermostat to function with only two wires.

I am using this with a three remote sensors ($100 for 3 on Amazon) in my upstairs. The thermostat itself is mounted in the hall. A sensor is mounted in a different bedroom. On the app, you can see all four temperatures. The awesome feature is that the main thermostat or any one of the sensors can be chosen as the control for the temperature. One of my bedrooms runs cooler than the rest so the sensor in this bedroom is the controlling temperature.

Another feature I like is that it lights up when a person walks near it. This feature makes it easy for my wife or I to find our way to the bathroom in the middle of the night. The light is dim enough such that the sleeping partner is not disturbed.

The remote control from anywhere on the internet is a great feature as well. If you go away, you can control the thermostat from anywhere.

The learning feature works well although once in a while if we are too inactive watching tv in the evening it suddenly starts getting cold. I would not change this feature, because it can save a lot of fuel. I can put up with unintended cooling once in a while.

Making a temperatures setpoint change manually is very easy…spin the dial cw for increase or ccw for decrease.

Setting schedules is easy on the app and a little cumbersome on the dial, but possible and reasonable. I like the ability to copy one day’s schedule to another day. Given we are retired, I made one schedule, copied it and pasted it sx more times.

When you walk near the thermostat, the setpoint and actual temperature display. The setpoint is easy to see from ten feet away, to see the current temperature you need to be at normal reading distance…about three feet for me.

Being made by Google, I suspect that more data than I wish is being collected and added to thier database. I elected to minimize my exposure by putting the thermostats on my guest WiFi which limits any access to my sensitive equipment such as my computer. As a retired security industry guy, that you place all home control devices such as tv streamers (Firestick, Hulu, Apple TV, etc), appliances, power plug controllers, etc. on the guest WiFi as well. Most modern routers allow for at least one guest network.",3.0 out of 5 stars
Consumer,"Reviewed in the United States on July 11, 2023","I've been waiting to write this, because I wanted to give the thermostat some time to ""learn"". After living with it for over a year I can say there are two things I like about the thermostat, the look, and the ability to operate it remotely.
I have an irregular on-call/travel schedule so I am not home for set times and dates from week to week, but when I am home I don't want to worry about the thermostat changing the temperature for me. Depending on the settings, the Nest will eventually learn what times it thinks it needs to turn on/off Heating/AC and then start changing the temperature on it's own. Even if you're home and override that by setting it to a different temperature, it will change the temperature all on it's own. Eventually I got tired of fighting it and set the thermostat to manual mode. The learning/schedule might be better for someone that is home for set times/days throughout the week/month. I can't seem to get mine to run the fan only mode without turning on the AC or Heat. If you want to turn on the FAN only for your central air, after the fan runs for a pre-determined amount of time it will run the heat/ac as it sees fit.
The remote access feature is nice when it works. When I first set it up I registered it with an email address I use for login type memberships. I loaded the app on my phone and it worked great for the fist few months. Eventually my login stopped working and I was unable to remote operate my thermostat. When I contacted Nest support they told me I had to create and use a ""Google"" account to log in. I explained that I had been using another email account to log in for months and they advised that I was no longer allowed to use a different email because it's a google product and they're not going to change that. So now I have a google account that I really only created and use for this silly thermostat.",3.0 out of 5 stars
Derek,"Reviewed in the United States on August 28, 2023","This was super easy to install. The only issue I had was adding it to my google nest app. I added a screenshot from google forums that helped me out. Updating the software on the thermostat itself doesn’t hurt either.

This worked on my system utilizing only a w and an r wire. No c wire was required for mine.",4.0 out of 5 stars
Nancy Shirley,"Reviewed in the United States on September 1, 2023","I’ve used Nest since Gen1. Way over 10yrs now. Never have I had issues connecting to app. Turns out. My iPhone was the problem in setting up the app and connecting to the thermostat. If you have an iPhone, use a friends phone to set it up who has an Android. My next thermostat will be a different brand.",4.0 out of 5 stars
rastitt,"Reviewed in the United States on December 20, 2023",Had one of the version 1 Nest thermostats and it finally decided to quit on me. Ordered this one and other than changing out the wall plate everything worked as it should. Love the ability to turn this to eco mode when we are away a few days. Then on the way home kick it back to normal mode and the house be warm/cool when we get home.,5.0 out of 5 stars
S. Smith,"Reviewed in the United States on April 24, 2024",Screws & screwdriver were missing.,3.0 out of 5 stars
susan thomas,"Reviewed in the United States on August 28, 2024",Stopped working withing 8 months of installation. No phone # to reach Google Nest either.,2.0 out of 5 stars
Rick James Bish,"Reviewed in the United States on August 11, 2020","Installed two of thee in my RV and they are working great. The wiring for the original Thermostats was 12vdc, which is what is sent to signal the AC. I had to provide 24vac to the Nest since that is what it requires. This was done with $13 24vac transformer. I then had to turn that back into 12vdc. I did this with a set of 4 relays. The end result works great and its a huge upgrade from the original slide type thermostat, which was not accurate on temperature at all and had my AC running much longer than necessary.

My only complaint so far about this device is the restrictions on the Farsight feature. The display can obviously show multiple lines, you can tell that with the weather option, which shows a large number for current outside temp and then three smaller temps below that for later in the day. They could easily show the inside and target temp as well as fan speed all on one screen.

Be warned that in most cases you cannot just swap out your existing RV Thermostat with the Nest. Check what voltage and whether its AC or DC at your current thermostat first. If its not 24vac then you will need other components.",5.0 out of 5 stars
Stephen Bonneau,"Reviewed in the United States on July 18, 2024","I am beyond furious with Google and their appalling customer service. We had them send us a replacement Nest thermostat because our original unit stopped working. To our disbelief, the replacement they sent us was defective. We immediately sent it back, following all their instructions to the letter.

Weeks went by, and instead of resolving the issue, Google had the audacity to claim that we never returned the defective unit! As a result, they charged us a whopping $250 for the replacement. Despite our numerous attempts to prove that we did send it back, they continue to give us the runaround.

Their refusal to acknowledge their mistake and return our money is absolutely unacceptable. This whole ordeal has been a nightmare, and we are left $250 out of pocket for a faulty product that we returned! Shame on you, Google, for your blatant disregard for customer service and for essentially stealing money from your customers. Avoid this company at all costs!",1.0 out of 5 stars
JGarcia,"Reviewed in the United States on November 8, 2023",Literally 6 months after I purchased this item an Error appeared on the app and stated ‘you are no longer connected to the Nest Device’. When I tried troubleshooting via nest.com the issue persisted as no option was available to resolve this issue! Bummer cause I really like this device! I later found out after doing hours of research that this Nest Version will encounter this issue after 6 months of use… no matter what you do! Funny story it was exactly 8 months later. I contacted the seller with the hopes of getting a new version or a refurbished one! Especially since this is something out of my control! Wait and see approach in the next few days! 🤔😳😀 Follow Up: 1 month later after speaking with customer service; I need to buy a temporary system because Nest requires the defected device be returned in order to provide a replacement! Something about they’d refund me the cost I paid for the temporary system 🤷‍♂️🤦‍♂️ The circle continues…,2.0 out of 5 stars
Mark W.,"Reviewed in the United States on August 14, 2024","Wont keep a constant temperature. I have health issues and need dependable temperature control without having to constantly turn on the air conditioning. I have had issues with my Google account for years ( another issue) and I cannot log into the Nest app without a Google password. ( I hate internet hackers!) Anyway, will probably go back to old school thermostat b/c Im tired of the constant hassle of keeping an eye on this thing to make sure my house works properly",1.0 out of 5 stars
dogalwaysstaringatme,"Reviewed in the United States on September 4, 2024",What an amazing failure since google took over nest. While the instructions and installation went fine. It stopped there. Due to a software error you are unable to invite family members to this product - this rendering this feature useless. Only the main household owner can use it. Look at user community board - many people with this issue and support is shockingly bad.,1.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on May 20, 2023",Sometimes the unit out smarts itself and cuts on too much and drops/raise the temperature higher than we like,4.0 out of 5 stars
CUSTOMER FROM THE 209 AREA,"Reviewed in the United States on January 20, 2024",The convenience of operating it from your iphone,5.0 out of 5 stars
William D. Stephens,"Reviewed in the United States on July 25, 2022","Do not buy if you do not check compatibility on Google Nest website. Return was easy but I had 2 the basic and the learning (because I was told it would compatible). Neither were when our tech came to install. I had a nest at our last home and they are good. we were told that Honeywell is better and less problems something about how some systems (nest) will turn your heat on to maintain the charge on the device and some systems do not like this and will keep running for a short time causing problems.

Tech support was nice and started to help until they wanted me to start testing the wires and get into the blower.

Anyways.",3.0 out of 5 stars
Grace,"Reviewed in the United States on September 5, 2024",It has never stayed connected to our WiFi. Therefore is useless to be able to use as a smart thermostat. We’ve tried everything and all other electronics and smart decorators stayed connected to WiFi.,1.0 out of 5 stars
Calie Huynh,"Reviewed in the United States on October 24, 2023",I love this! Easy to install. Very chic looking. Able to control it everywhere. Highly recommend,5.0 out of 5 stars
Edwin Salgado,"Reviewed in the United States on November 18, 2022","I received a sealed Nest Pro directly for Google. Upon opening the package, it was missing the following.
Metal backplate, only came with 2 long screws also missing the screwdriver. Could not find a phone number to contact Google Nest.
I installed the thermostat anyway for my business with other screws as I needed it to be installed right away as the existing old thermostat was not working properly. If that was not the case, I would have returned the nest thermostat back and pick it up from the store.",3.0 out of 5 stars
Paradise,"Reviewed in the United States on December 3, 2018","Okay, this is one awesome thermostat: it's a piece of art, feels good to operate, installs in minutes, etc.

My minor grief is the AI. One day I turned the heat on early and it's been turning the heat on that time ever since -- even if I get up every day and turn it back down -- a few minutes later the AI cranks the heat back up.

I'm going to setup a manual schedule. Oh well...",4.0 out of 5 stars
MastiffMama,"Reviewed in the United States on May 8, 2020","We updated our HVAC system from an 80% unit to a 96% high-efficiency unit. We thought this would be a perfect time to also update our old thermostat. The first thing we noticed out of the box is how beautiful it is. As we played with it, we found Eco mode, which helps you find and maintain the most energy-efficient temperature for your home at all times. We set how high and how low we'd like the temperatures based on when we saw the little leaf (an indicator of energy-efficient temperature) and our system is now learning when we are home and when we are gone, so it can have the temperature in the house wherever we like it by the time we get there :) It's wonderful!",5.0 out of 5 stars
Just Some Guy,"Reviewed in the United States on September 2, 2018","I have the C wire issue, even though the install process said it would work without it. Not awesome, Nest, that is seriously false advertising.

I received a thermostat that had already been unboxed and used. The long install screws were covered in drywall dust from being installed already, and one of the small screws was missing, as were the stickers to label the wires. More on that next.

Anyway, the battery was completely drained and the thermostat took hours to charge also.

As I followed the app to install, the part came to take a picture of the current wiring, so I did that. Then I put my phone down and finished disassembling the old thermostat. When I picked up my phone, the app had signed out and lost the picture because I had to re-start the whole process. Not cool, Nest. Fortunately I was able to recover the photo by browsing the app cache on my phone, which is far too technical for most users. Overall, my experience has been very poor. I'm waiting for a C wire adapter to be delivered tomorrow to get the system working again. I'll continue to use the system, but my initial rating is terrible because of how much I paid for false advertising and already been used equipment for full price.",2.0 out of 5 stars
Amazon-Buyer,"Reviewed in the United States on July 20, 2023","Nest thermostats are great products, I’m sure many would agree. A great control device that will help to reduce energy cost and contribute to home comfort.",5.0 out of 5 stars
HDRG2020,"Reviewed in the United States on March 15, 2020","Very easy to install. Please note that the “Pro” series is meant to be installed by a pro... I was still able to do it, but keep that in mind. Perhaps use Google to understand that part further. Pairing to Alexa was a breeze. The app is intuitive. Very happy we spent a little more and went with the nest.

Install note: House built in 2005. Had a white wire in old thermostat plugged into “E”. Instructions said to put that in the asterisk port. That wire was actually “W1” for heat control. That isn’t the fault of anyone, just a note in case you run into it.",5.0 out of 5 stars
B. Ogatiy,"Reviewed in the United States on July 24, 2016","Installed easy. Then it had a blowout of some sort. Had to get a replacement. Nest recommended to call a technician, which I did and he found nothing wrong. Nest then had me add a common wire, and since that time has worked, sort of worked.

While it does work as a thermostat, the advanced features of power saving are not very good. I find that I must walk by this thermostat so that it will turn on the AC. If I'm home but don't walk by it the house slowly warms. I've set specific schedules and it sort of conforms to them, at the points set (time and temp) but not necessarily between those points.

So overall, it wasn't a simple install due to the additional wire that they claimed in the beginning wouldn't be needed, but was. Nest did offer to pay for the common wire to be installed though (I installed it myself).

I wouldn't recommend this, it's just too costly, had problems, and just doesn't work right without constant manual intervention.

It does however seem to work mostly as a manual thermometer, at least when someone is home and willing to walk by it frequently. Else it doesn't work.

For instance, at times I want it to maintain a temperature, and it won't. Yeah, just reading this makes me knock it down another star to two. It's at best a 2 star product, but mostly hype and marketing, without much substance.",2.0 out of 5 stars
Randy D.,"Reviewed in the United States on May 1, 2019","I bought this unit for a condo that I am using for a short term rental, but decided I would install it at my home and use the Nest thermostat I had at home and move it to the condo. The 2 Nest thermostats I currently have at home work very well and I like being able to change and set them from my phone. I felt that both the ease of use for my guests and my ability to adjust temperature both for arrivals and departures would save me money in the long run. While I have not had this particular unit long I have confidence that it will work as well as the others. I appreciated a fast delivery.",5.0 out of 5 stars
Tung D Phan,"Reviewed in the United States on June 13, 2024","Bought thermostate approximately 6 months. First, it worked well then suddenly got error w5.
I opened the ticket through google support link since last week and choose the option ""call back"" because it indicated agent will call back < 1 minute. However, I did not get any call from google support to resolve my issue. Did anyone get the same situation? By any chance, you know google direct support # that I can call?",1.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on February 25, 2024",The termostat is good but not for heat pump systems that has AUX Heating. Can't turn on the Aux Heating and the eco learn overrides your settings every 3 hrs.,2.0 out of 5 stars
Edouard Greiss,"Reviewed in the United States on September 26, 2022","The package didn't include all the items listed, was missing a screwdriver and the installation metal plate, I used the installation plastic plate which was in the box and bought a screw driver to complete the installation.
The installation was super easy and the thermostat itself is working great",5.0 out of 5 stars
NikiO,"Reviewed in the United States on August 19, 2020","My husband and I were very excited when we purchased the nest thermostat until, we went to install it. We had never looked up a YouTube video for it thinking since it was a pricey product the instructions would be clear. They’re not. You have to charge the thermostat for a few hours before installing. Then it doesn’t come with a mini usb charger so I had to scramble to look for one since we don’t have android products at home. The device is great once you get it to work. I just wish the instructions were a little more clear.",5.0 out of 5 stars
Ken Decker,"Reviewed in the United States on October 21, 2020","We're invested in Alexa universe so we wanted a smart thermostat to manage our household HVAC. Ecobee is less expensive and has many featured, but I really enjoyed the elegant interface of a modern thermostat with an old-school ring control (in addition to the smart features). Installation was very straightforward. The materials they provided were first rate. The thermostat has worked flawlessly since installation. The Nest app works well and integration into Alexa was easy. We now can voice control the thermostat from anywhere in the house. An excellent purchase overall.",5.0 out of 5 stars
Juan A. Herrera,"Reviewed in the United States on January 16, 2023",I was very skeptical to install this myself. I did it without problems after watching several videos. It work great and synchs with the Google dot. Well worth the buy. The plate covered the old hole completely.,5.0 out of 5 stars
Idania fonseca,"Reviewed in the United States on July 3, 2022","Este producto no me gusta mucho,el aire central de la casa desde que lo instalé ha sido un problema y cuando llego a casa después de mi trabajo parece que tengo una estufa prendida dentro pues el calor es insoportable ya que supuestamente detecta que no hay personas dentro y se apaga ,,tuve que volver a mi viejo termostato convencional.,no sé si alguien más le habrá sucedido igual 😩",3.0 out of 5 stars
justsomeone,"Reviewed in the United States on March 30, 2020","Amazing product, great setup. Crem de le crem, best of the best right? Yes! Except, they are not compatible with G-Suite email addresses. According to Google staff, there is no plan in the back-log to support G Suite users. Only buy these if you have a regular gmail.com account that you use with Google Home; if you plan to configure the thermostat as part of your smart home.",4.0 out of 5 stars
WC 2022/3 list,"Reviewed in the United States on November 9, 2023","It forces you to use a google profile and open that profile up to data collection and use. Then sends you down a setup path that leads to a dead end which requires professional set up. A call to ""google tech support"" has left me on hold 35 minutes now. still not resolved",2.0 out of 5 stars
jimmy collins,"Reviewed in the United States on August 24, 2023",LOVE THE THEROSTAT WORKS WELL EASY TO USE,5.0 out of 5 stars
Seymour Barthelus,"Reviewed in the United States on February 18, 2023",Easy to install,4.0 out of 5 stars
Antonette Tin,"Reviewed in the United States on March 23, 2023",Perfect for controlling the house temperature especially when your away. I used it in a business home we’re staff don’t care about turning thermostat and opening up the windows and wasting energy,5.0 out of 5 stars
David,"Reviewed in the United States on July 13, 2023",Install went ok but getting the nest app to work was a disaster!,3.0 out of 5 stars
AMIR KHAN,"Reviewed in the United States on August 30, 2023",Very complicated,3.0 out of 5 stars
Joanne S,"Reviewed in the United States on July 1, 2024",I bought two of these. One is working fine. The other has stopped working after a little more than a year. It’s too expensive to last for such a short time. There is no way to reach customer service.,1.0 out of 5 stars
Ciprian Secuiu,"Reviewed in the United States on December 14, 2020",I was looking for a good thermostat for a central gas heating. This is the easiest to use and also give you option to use it online. The only problem you have to keep in mind it is the power supply. The thermostat it is using a lot of power so you need a 24 VA power supply to connect in to the common slot. Prior to order it make sure you have a more than 24VA to the Nest.,5.0 out of 5 stars
Drew Bourrut,"Reviewed in the United States on May 11, 2023","It always wants to figure out if I'm home. And if it thinks I'm not,it changes the heat/cool settings.",3.0 out of 5 stars
G. Cacciatore,"Reviewed in the United States on February 29, 2020","Great Thermostat. First couple of weeks while it learns can be a bit quirky, however once settled it performs nicely. The app is nicely laid out and makes managing the device straight forward. I use mine with a Heat Pump/Boiler configuration. What I like so far, in the winter if the Heat Pump is taking to long to heat the NEST will the Boiler to kick in and assist. Tech support is scripted so be prepared to perform those common steps when and if you call.",5.0 out of 5 stars
Becker Fernandez,"Reviewed in the United States on October 22, 2018","I ran into trouble when I installed the Ness T3008, somehow I had installed the cables in a certain order that the heater was not working. I called customer service and provided a ""before"" picture when originally installed, that helps tremendously. Make sure to take a picture of the cable layout before de-install the old thermostat. I called the customer support center and the lady walked me through step until the device was installed correctly.",4.0 out of 5 stars
Dan J. Henderson,"Reviewed in the United States on September 12, 2018","This is an excellent thermostat that I can control from anywhere with my smartphone, which is especially important for me since I have mobility limitations. It's hard for me to get up and down the stairs. My bedroom is upstairs and the thermostat is downstairs. Now I don't have to make the trip to change the temperature. I can also turn the air conditioning/furnace off during the day when I'm at work and turn it on again when I start the drive back home. My one concern is that, since it's connected to my WiFi network, it might be an access point for hackers.",5.0 out of 5 stars
Igor,"Reviewed in the United States on October 14, 2019",Had no C wire on my AC unit. After wasting a few days trying to figure out why the AC didn’t run after I put it in I had to call customer service at Nest. Overall took a long time to get it to run and multiple phone calls. Nest eventually scheduled a technician to come out and run C wire at their cost. Super happy with the product now. But it did take a month from when I acquired it to make it work.,5.0 out of 5 stars
Aleksandr Yartsev,"Reviewed in the United States on April 26, 2023",Supper fast delivery. Thermostat installation flawless if you follow directions. Working properly like advertised.,5.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on July 30, 2024",Don’t waste your money. The phone app stopped working after 9 months. Junk!,1.0 out of 5 stars
Emily H,"Reviewed in the United States on June 21, 2019","I love the Nest thermostat! We held off for a long time, but I’m so glad we went for it. Helpful to control temps away, especially traveling in winter and warming up house before getting home. I love the Eco mode to automatically save energy when you leave. Super easy to use, low profile. We had the easier wiring with only a few questions. My electrician in-law installed it- not sure if we would have otherwise with zero experience. Saving money already- highly recommend!!",5.0 out of 5 stars
Amanda,"Reviewed in the United States on March 5, 2019","I still have the issue where the thermostat has a mind of its own. It decided to set the house temperature to 50 degrees! I’ve double checked all of the settings, turned off WiFi, turned off all of the special features. Software is up to date. It is just weird!

The thermostat is behaving now, so I added more stars.",4.0 out of 5 stars
Devin B.,"Reviewed in the United States on March 29, 2023",Great Product. I have these both at my home and in our companies office.,5.0 out of 5 stars
Jacquelyn Smithwick,"Reviewed in the United States on September 30, 2022",Be sure to get an electrician install this for you. Need to be certain the wiring is right for it so either properly I,5.0 out of 5 stars
junglejim,"Reviewed in the United States on December 6, 2019",This thing is really nice. Simple design reminiscent of the fruit company. Works really well. The only down side was it took a tad longer and more research to install than I would have liked but that was a little on me. I have a unit that took some research to find what wires went where. And my unit had a few more wires than most of the units described in the installation instructions.,5.0 out of 5 stars
monicak,"Reviewed in the United States on November 6, 2023","Bought two, both are steel plate, screwdriver and 4 screws. Saw another review like this, surprised there aren’t more. Steel plate is an important part.",2.0 out of 5 stars
