Profile Name,Date,Data,Star
Ron Sieloff,"Reviewed in the United States on June 27, 2024","Solid build. Good construction. Easy to replace filter. Quiet. Love to app. Easy to use. Digital readout allows you to monitor progress. Amazed at how sensitive the readout was to simple things like cooking in another room. Upon increased reading, the fan speeds up until the number goes back down. Fan changes are super quiet, you don’t even know the fan is running. It works and works well. Hardest thing is remembering to shut it off if you open the windows (no sense filtering the universe and using up your filter capacity scrubbing the neighborhood air LOL). I bought a second unit based on satisfaction. Can’t comment on odor reduction, but it certainly excels at particulate removal and I love the fact I can read the level on the meter.",5.0 out of 5 stars
Keith,"Reviewed in the United States on August 20, 2024","Love this unit. The auto mode is great. 2nd it picks up any traces of bad air. It kicks on. Or run it on the highest setting and it’s makes the air real clean!!!
We have an older house. Not the first owners. Got the old farm smell. We live in the country so plenty of smells and bad air. This was a huge upgrade for this living room. Love the app, super easy to use. Control the unit when you are not home. Filter is of high quality. Works really well. You can turn the lights off and go dark. It’s not that loud, if on 4 it’s a bit loud but if you think about it. Beyond worth it. Super easy to change the filter. Looks great. The price was is worth it. I worked at a school for 2 years where fire smoke is a real threat. The school would run these all the time. They really work. When you clean and replace the filters. The proof is all over the screens. If you don’t believe me try it. Women based company. Just be sure to get the right size unit for the room, depending on the room size. There are all kinds of air purifiers on the market. They all scrub the air. Just some have sensors. Some have better filters. They all do the same thing. Just some have more stages of filtration. Mode buttons. Sleep modes, timer setting and best of all is auto mode.",5.0 out of 5 stars
Wyatt,"Reviewed in the United States on July 12, 2023","1-Year Update:

I've had 2 Everest Air units in my 1-bedroom apartment for a little over a year now and thought I'd come back to update. All in all, I can say this is still a 5-star product and still one of the best on the market. Everything I said originally still is true to this day. No issues whatsoever to report with either unit. The one and only negative thing I can possibly find is the cost of the replacement filters, which are $99 each, and never seem to go on sale. I have to change both filters pretty much twice a year. The first change I did I tried an off-brand that was less than 1/2 the price, but they did not fit the unit quite right and left a gap, and noticeably did not perform as well. When I just changed them a few days ago I bit the bullet and spent the $200 on the real filters and it was nice to have them fit snugly into the machines.

---

Original Review:

Love my Levoit EverestAir! I researched air purifiers for over a month, trying to determine which had the best performance, quality filter, and lots of modern features. I watched hours of video reviews, sorted through articles, and evaluated each, including Levoit, of course, Dyson, Mila, Molekule, Coway, and Blueair, just to name the most popular that I looked at. When it came down to it, the Levoit EverestAir has the best of what I was looking for – so much so that I just ordered a second one to put in my bedroom!

FILTRATION: Like another reviewer mentioned, starting at the filter and then working your way back is best, and the filter on this thing is a beast! It is massive and has a large amount of carbon pellets that you can actually see. Many other brands use a tiny sheet of carbon that does almost nothing to capture VOCs or odors, but Levoit packed a ton of carbon pellets into this filter. Plus, the laser air quality monitoring is the best you can get. It reacts almost immediately, maybe a 5-10 second delay, to any change in the air quality. I notice that it kicks up right when I expect it to.

DESIGN: It is definitely not a ""small"" machine, but it also isn't the largest. It is sleek and looks nice in my living room, considering it is powerful enough to clean my entire 900 sq.ft. apartment. The display gives you all of the information you need without being an obnoxiously bright touchscreen monitor. I really like that you can control the display or enable the ""light detection"" mode which would be great for a bedroom as it automatically lowers the fan speed and turns off the display when it gets dark.

APP: The app is great, I have had a Levoit Core 200 for several years and it is still running perfectly to this day, which also uses the same app as the EverestAir. However, the main difference is the EverestAir app is PACKED with features. You can view everything you can on the machine itself, like air quality %, PM1.0, 2.5, and 10, change the fan speed or place it in auto mode, view the filter life, and turn the display on or off.

PRICE: Considering some of the competitors like Dyson and Molekule can reach $800 after tax, the EverestAir is a great value! Of course the sticker shock can be a bit jarring, but overall it is 100% worth it.

DOES IT HELP PURIFY: It sure does! I suffer from severe seasonal allergies in both the spring and fall, and when I was home, I did not have to take any allergy medications, eye drops, or nose sprays whatsoever and I have EverestAir to thank for that! I sleep better and my furniture stays cleaner with the particulates being filtered out of the air before they have a chance to settle. My apartment is brand new and there was a bit of construction dust still in the air, in the carpet, and on the walls, and I am confident this is keeping that at bay, too, while the carbon is absorbing any Formaldehyde offgassing from the fresh paint.

THE BOTTOM LINE: If you're on the fence about ordering the EverestAir and are looking at any of the brands I mentioned, absolutely buy the EverestAir! You will not regret it.",5.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on July 4, 2024","We live in the desert so I bought this to remove some of the dust that gets into the house. It works great. It removes almost all the dust and any dusty smells that go with it. It is a larger machine and can remove almost all the dust in half of the whole house. I put it on high in the morning when I get up. Within an hour I kick it down to ""Auto"" mode as it has lowered the dust to almost nothing. Auto mode controls the fan according to how much dust it senses. It works very well. The sleep mode drops it so quiet I have to check it sometimes to see if it is actually running. The Wifi just makes it easier so I don't have to get up to change it. I can just pull it up on my phone and use the app to adjust it. We just bought this so its not been used enough to rate durability. It seems to be well built, but only time will tell. Its not cheap enough to just go out and buy another if it dies, so I'm hoping it lasts. Further posts will be made if it breaks.",5.0 out of 5 stars
SLM,"Reviewed in the United States on October 14, 2021","I have owned this product for less than 24 hours as of this writing. More updates as I have more to say/remember to do them. Also, I will be very verbose, the sort of in-depth information I want when I am researching products over $99 for purchase, so you really know what's going on. Hopefully it helps, but it may be TL;DR for some.

My background: I am not a smoker and never have been. I was raised by a chain smoker and have spent the majority of my life around second hand smoke from parents, family and friends. I have stress induced asthma and have also been through experimental chemotherapy that has apparently permanently damaged my lungs. Over time, my lungs are slowly degrading, and as they do I become more and more sensitive to more and more things, which trigger my lungs to get irritated and produce phlegm to coat my lungs and prevent the irritation, which causes me to cough more and more over time. (It has been a lot of fun having this sort of lung disorder during the pandemic, let me tell you.)

""Well, why don't you see a doctor then?"" you may reasonably ask. My experience with doctors in the past has consisted of watching both my mother and grandmother die with (no joke) 30+ prescriptions each all at once (with 3 to 5 doctors all prescribing simultaneously and admitting to me in private that A) they were not consulting with one another, and B) nobody on earth could possibly keep track of the side effects of so many prescriptions at once), and my uncle wasn't far off that number when he died. I also have repeated personal experience with the medical industry that strongly supports my experience and belief that going to the doctor is going to be a financially insane choice (whether or not I have insurance) that I get little to nothing out of regardless. So I choose to avoid doctors and the medical/drug big business establishment like the plague whenever possible.

When I realized recently that my lungs were noticeably irritated all the time when I was in my own home, but I was fine if I went outside, I decided it was time to step up my game. Enter this unit, which I researched before buying.

My unit is brand new, not a returned unit. Upon turning it on, it told me that my air in all areas of the house tested was as good as it gets, with a reading of 001. This did not please me, because I know it's nowhere near that good. So I did an update of the firmware to see if that would fix the issue, and it did. The new display read 005, which was significantly lower than I expected, but the unit reduced that to 3, then 2, then 1 relatively quickly.

Within about 15 minutes, the air in my (door closed) office started to smell noticeably different. Lighter, cleaner, fresher, more neutral. I was surprised. I also noted that over the next few hours, my coughing decreased significantly as long as I stayed in my office.

When bed time came, I put the unit in my bedroom and turned it on full blast with the doors closed while I went to the kitchen to have a snack. At first, the bedroom registered 5. The unit quickly brought it down to 1. I noted that my coughing increased when I was in parts of the house that had not had the benefit of this device to clean the air.

Returning to my bedroom after my snack, I noted that once again, there was a nice difference in how the air smelled in my bedroom compared to my kitchen.

Normally it takes me a while to stop coughing enough to fall asleep when I got to bed each night, but last night while there was still coughing before sleep, it was markedly less, which my girlfriend commented on today. This morning, I woke up to the pleasant realization that my lungs did not feel irritated for the first time in a long time. I hadn't even realized how irritated my lungs were when I would usually awaken until it was gone.

Moved the unit into my home office again, and turned it back on. It started at 5, and again rapidly cleaned the air until it was at 1. Then I began doing more experiments. I noted that when the AC kicks on, it goes from 1 to 2 or 3. When it turns off, the unit returns it to 1. When I open the door to my office, it goes to 2, and then back to 1 when I close it. When my cat walks into my office, it goes from 1 to 2 if I close the door after him, and stays there for as long as he is moving around. If I pet him, it goes to 3.

Thinking this level of sensitivity was too good to be true, I decided to try further experiments. I closed my office door again, waited until it settled down, and sprayed some air freshener in my office. No change - it evaporated. Just as expected. Then I went down the hall and into my living room and lit a stick of natural compressed sandalwood powder incense. I returned to my office and closed the door. Within 2 minutes, this unit detected the incense in the air, rising to a 4-5-6 and then back to 3 when the AC turned off. The next AC cycle, it jumped into the teens, and then into the 20's, 30's, 40's as the smoke got going during the next cycle. When the count hit 45, it turned the ring green and stepped the fan up a notch.

I found that I could watch the numbers go up when the AC was on, and down when it was off. It got up to around 86 at one point, and the ring sometime before that turned orange and stepped the speed up another notch. Now that the incense has burned out, it's dropping, with highs in the 50's, and lows i the 20's and cycling lower each time the AC kicks on again. It's been interesting to see it power up and down to match the particulates in the air.

Build quality seems good, but the bottom can come off easier than I'd like. A couple times now I have tried to lift it only to find that it had un-screwed and the bottom and filter were not lifted with the rest of the unit. Easily fixed in a second or less, but if the bottom had a bit of ""click into place"", this would not happen when moving the unit.

It is so quiet in sleep mode that last night when we went to bed, after I had it running on high for a few minutes while we had our snack before bed, that even three feet from it, my girlfriend could not tell if it was running and asked. This was with the AC not active. That's pretty darned quiet. It also was no issue for me to handle, and I am extremely sensitive to sound when I am trying to sleep.

The top two levels of fan speed are relatively loud, with the highest speed being louder than my AC when it's kicked in. It is, however, the most smooth and beautiful white noise I have ever encountered, and I am an audio engineer.

So far my experience with this is almost entirely good. Here;s what I don't like.

1. The bottom unscrews too easily. No big deal, but irksome.
2. The sensor didn't work when I got it until I updated the firmware, which forced me to download the app, sign up, and then give the app location permissions and blue tooth permissions. I also naturally had to sign it into my wifi network. I didn't want to use the app, or give the app these permissions. The app, however, will not run without them. Ostensibly, it uses location data to give you a report on local 2.5um particulate levels in your area (which it does), but I don't know what else it is being used for, and I don't much like having my location tracked by Google and every other company on earth these days.

So far so good. It appears that particulates in my house are probably not as much of an issue as what those particulates are made of, and that I need to be more focused on reducing VOCs in the air in my house. But so far this unit has helped me breathe significantly better, and I'm very happy with how well it works.",5.0 out of 5 stars
Thomas,"Reviewed in the United States on July 4, 2024","LEVOIT Air Purifiers for Home Large Room Up to 1980 400s model is quiet, even on middle fan mode you can hardly tell it's on. Huge filter with plenty of surface area that has a cleanable pre filter. Lasts literally a year or more without replacing. Auto controls will auto set speeds as it's dust laser detects particles in the air. Pulls very little power & energy star rated. I keep it on medium 24x7 and so far so good. I would recommend it for living room or bedroom and must have for a dorm. This thing is hepa rated and catches mold etc.",4.0 out of 5 stars
Tech49,"Reviewed in the United States on June 9, 2023","Update August 2024 -- Levoit sent me a replacement for the issue. I'm updating my review to reflect the great customer service provided.

Update July 2024 -- Unfortunately my air purifier has started making a nasty grinding noise coming the air sensor on the left side. I have included a video of what it sounds like. It's loud/jarring enough that it has woken me up several times in the middle of the night. Disconnecting the purifier from power for a couple hours is the only thing that seems to help but the issue comes back randomly. I've reached out to Levoit for help but they've giving me the runaround.

Original Review -- I've owned so many air purifiers from BlueAir to Levoit to Dyson to Mila. The Levoit EverestAir has been the best so far for several reasons:

1. The filter itself. Always start with the filter and work your way backwards with air purifiers. Some really fancy air purifiers (like one from a company that sound like molecule) don't really filter much of anything and its pure hype. The Levoit Everest has a high quality HEPA-13 filter that also has proper granules of activated carbon to absorb VOCs. It also has a fabric type ""seal"" around the filter so it's snug when you install it to minimize unfiltered air bypass. There is also a nice pre-filter (which you should clean weekly or every 2 weeks) that catches the bigger particles that would otherwise degrade the life of the main HEPA filter.

2. The sensors. They're really accurate and respond instantly to changes in air quality. When I say instant, I don't mean 5 seconds, I mean within 1 second. The app also shows you these readings in realtime with accurate historic information as well. The sensors do not measure temperature, humidity, or VOCs, but I found that this is actually a good thing; the VOC and Humidity/temp sensors suffer from drift over time and will lose their calibration and accuracy. These are advanced laser-based (not infrared like in most other air purifiers) particle sensors that will last the life of the unit.

(updated June 14th 2023):
One big thing to note: this unit doesn't sugarcoat. The particle sensors are so precise that you will constantly get readings in the PM1.0, 2.5, and 10 ranges. This is perfectly normal of any living space as stuff is constantly being generated; even by yourself. The air purifiers that give you 0s for any of these readings for more than a few seconds are indicative of infrared sensors that are less accurate.

3. How quiet it is. Even on level ""3"" which is the highest that it can go automatically, it's not loud. At level ""1"", you just hear a low hum. It's amazing how quiet it is. Things start to get loud when you use ""turbo"" mode, but you'd only use that mode in case of an emergency.

(updated June 14th 2023):
4. The app. It's far more feature rich than I was expecting. It's so fast and responsive that you can get away with keeping the screen locked perpetually (if you have kids or nosy dogs) and just using the app and automations to control the air purifier. It also doesn't mind if you're using a separate IoT wifi network. (for those ultra concerned about security) there are no features lost by using a secure IoT network.",5.0 out of 5 stars
Cv,"Reviewed in the United States on August 3, 2024","The Levoit 600S Smart WiFi Air Purifier has been an outstanding addition to my home! The air quality improvement was noticeable within hours, efficiently removing allergens, dust, and pet dander.

The smart technology sets it apart. The Bluetooth and WiFi capabilities, along with the user-friendly Levoit app, allow me to monitor air quality and adjust settings from anywhere.

The unit is impressively quiet and has a sleek, modern design that fits perfectly in any room. The advanced filtration system ensures comprehensive air purification, and maintenance is straightforward with easy-to-replace filters.

Overall, the Levoit 600S Smart WiFi Air Purifier offers exceptional performance and smart features. It has significantly improved my home's air quality, and I couldn't be happier. Highly recommended!",5.0 out of 5 stars
R.Tintinger,"Reviewed in the United States on September 11, 2022","First of all from reading the reviews on this machine is deceiving because most of the reviews are for the 400 machine, not the 600, although the 600 does have favorable likes, from all the positive reads on this machine it sounded almost to good to be true, I already have 5 air cleaners in the house ranging from $160-$600 not to mention a whole house filtration electrostatic cleaner, what I liked about this machine is that it has a drum 360° filtration Hepa 13 filter..very easy to clean and change out, the machine is almost silent until you move up to speed #3, where this machine falls short and fails in its highly Touted AirSight Plus ‘’Laser Smart Sensor’’ technology claims to be so accurate is 2x as accurate as an ‘’infrared laser , great claim only the one I purchased, only detected 5ppm for the first minute than dropped down to 1, that was in our den, than I decided to put it in our bedroom, thickly piled carpet lots of traffic same exact results started out on 5 than dropped to 1 again, same thing in the spare bedroom, living room than I ever shook the pets planet he sleeps on, I know it’s full of dust and dander and shook it right up against the sensor…same exact result, another 5 than after a min it dropped to a 1, than I took it down into the basement again 5-1 reading, than finally opened the big sliding patio door and put the machine right up against the screen , it’s got to show a different reading than 5-1…but no, so there is an astronomical coincidence all of the rooms I tested this in, my den, living room, bedroom basement and then outside all had the same exact reading, or it’s not functioning correctly so I called Amazon customer service and they Concurred and sent me out a replacement so I just received it, brand new, opened it today set it up and immediately again the sensor started out on 5 and within a minute dropped down to 1…this machine has a major major major flaw, it’s AirSight Plus technology is not working properly, I’ve seen YouTube videos showing detected readings as high as 80+ ppm and than the longer the Levoit 600s unit ran, that number would drop down until eventually red (bad air quality) ring dropped down to yellow than the blue ring (good air) was finally present, so somewhere these are working, and I also took the replacement machine in 4 different rooms plus the pets bed shake test and patio screen door test…again all rooms plus outside air 5-1 , not 5,4,3,2,1, it would 100% of the time go from 5-1, another defective unit, I hope this is an isolated situation but I have a feeling I will be returning the replacement also.
Update;
I sent the first one back within the 30 days, Amazon sent me out a replacement, this one works as promised, the laser smart sensor works as described, I have had it now for over 3 months and it has been working like a charm, once again Amazon has amazing customer support they took back the first one and in two days had the replacement just wanted to give it sometime before doing another update, this is my favorite easy to use efficient air cleaner yet, the 360° filter is so easy to replace I have asthma and this has helped me breathe much better, if they made one of these even bigger with this type of circular drum filter, I would buy it in a heartbeat",5.0 out of 5 stars
Texas Son,"Reviewed in the United States on August 16, 2024","Pros:
Moves a ton of air
Noise is not too bad for the volume of air it moves. The air moving across the fan blades is fine, it's the air moving through the filter that makes the noise.
Alexa integration

Cons:
VeSync network is laggy
Air quality detection is not very good
Display mounted on the top where you can't see it unless you are right next to it.

I bought this unit for my ""cigar room."" It is rated for 3X the square footage of my room and it really moves a lot of air. If you are close to it then it is obviously going to be noisy, so be realistic before complaining. Do you want a quiet or do you want it to move a lot of air?

It filters really well, even though I don't have the ""smoke filter"" in it, and there is no doubt it's going to have a positive effect on the cigar smell.

I have my unit about 3 or 4 feet off the floor because the cigar smoke goes up, not down, and it works much better that way. In fact I can see it drawing the smoke toward it from 5 feet away. For non-smokers, I'm sure on the floor is fine.

However…

The sensor to detect smoke and adjust is not very good at all. Depending on the cigar, I can be 5 feet away from the unit and it tells me the air quality is ""good."" Good? Really? I have an older Taotronics unit I bought 3 or 4 years ago that responds to the smoke just as well, even at its age, so I always have to change the speed manually, through Alexa (see complaints on that, below). Understandably, most people won't be happy with this, but I would be setting it to high anyway because I want it to filter as much smoke out of the air as it possibly can. I don't think any unit is going to be sensitive enough to do that. In fact, a sensitivity setting should absolutely be included on these units.

As others have complained, Alexa tells me the unit is off-line way too much, but I think this is a problem with the VeSync network, not the unit itself. I have a toaster oven that also uses VeSync and it often behaves the same way. Anyway, even though it says it's off-line, it will usually respond 30 or so seconds later. For the most part, the response time is very laggy. Only once has it responded normally, within one or 2 seconds. But again, I blame VeSync.

The display is kind of cool, but it's on the top where literally no one will see it unless they are right next to it. So, beyond using it for manual control, it's 95% useless. It's one of those ""I wonder what the air quality is? I don't know, let me whip out my phone, open the app, log in and look. Or I have to get up and walk over to the machine."" A side-mounted air quality digital display would have been a smart addition.

If I post an update, it won't be because something good happened. :-)",4.0 out of 5 stars
